calls , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1796
check1 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1744
check2 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1608
confluence , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1760
empty , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1736
fibonacci05 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1756
garbagecollection , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1604
hanoi4 , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1760
oddeven , comp-exec , cafeobj-a , 0 , 28.12 , 3924 , 1792
order , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1756
revelt , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1796
searchinconditions , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1792
soundnessofparallelengines , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1736
tautologyhard , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1780
tricky , comp-exec , cafeobj-a , 0 , 0.20 , 3924 , 1672
calls , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1776
check1 , comp-exec , cafeobj-b , 0 , 0.20 , 3924 , 1796
check2 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1784
confluence , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1796
empty , comp-exec , cafeobj-b , 0 , 0.20 , 3924 , 1796
fibonacci05 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1604
garbagecollection , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1740
hanoi4 , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1836
oddeven , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1796
order , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1696
revelt , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1796
searchinconditions , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1760
soundnessofparallelengines , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1792
tautologyhard , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1672
tricky , comp-exec , cafeobj-b , 0 , 0.40 , 3924 , 1740
calls , comp , clean , 0 , 0.20 , 3924 , 1788
calls , exec , clean , 0 , 0.10 , 2020 , 56
calls , comp , clean-hack , 0 , 0.20 , 3924 , 1836
calls , exec , clean-hack , 0 , 0.10 , 2020 , 56
check1 , comp , clean , 0 , 0.20 , 3924 , 1672
check1 , exec , clean , 0 , 0.10 , 2020 , 56
check1 , comp , clean-hack , 0 , 0.20 , 3924 , 1564
check1 , exec , clean-hack , 0 , 0.10 , 2020 , 60
check2 , comp , clean , 0 , 0.20 , 3924 , 1760
check2 , exec , clean , 0 , 0.10 , 2020 , 56
check2 , comp , clean-hack , 0 , 0.20 , 3924 , 1604
check2 , exec , clean-hack , 0 , 0.10 , 2020 , 56
confluence , comp , clean , 0 , 0.20 , 3924 , 1668
confluence , exec , clean , 0 , 0.10 , 2020 , 60
confluence , comp , clean-hack , 0 , 0.20 , 3924 , 1776
confluence , exec , clean-hack , 0 , 0.10 , 2020 , 56
empty , comp , clean , 0 , 0.20 , 3924 , 1776
empty , exec , clean , 0 , 0.10 , 2020 , 56
empty , comp , clean-hack , 0 , 0.20 , 3924 , 1740
empty , exec , clean-hack , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1784
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , clean-hack , 0 , 0.20 , 3924 , 1668
fibonacci05 , exec , clean-hack , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean , 0 , 0.20 , 3924 , 1732
garbagecollection , exec , clean , 0 , 0.10 , 2020 , 56
garbagecollection , comp , clean-hack , 0 , 0.20 , 3924 , 1668
garbagecollection , exec , clean-hack , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1756
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean-hack , 0 , 0.20 , 3924 , 1796
hanoi4 , exec , clean-hack , 0 , 0.10 , 2020 , 56
oddeven , comp , clean , 0 , 0.20 , 3924 , 1784
oddeven , exec , clean , 0 , 0.10 , 2020 , 56
oddeven , comp , clean-hack , 0 , 0.20 , 3924 , 1736
oddeven , exec , clean-hack , 0 , 0.20 , 3924 , 1776
order , comp , clean , 0 , 0.20 , 3924 , 1760
order , exec , clean , 0 , 0.10 , 2020 , 56
order , comp , clean-hack , 0 , 0.20 , 3924 , 1732
order , exec , clean-hack , 0 , 0.10 , 2020 , 60
revelt , comp , clean , 0 , 0.20 , 3924 , 1736
revelt , exec , clean , 0 , 0.10 , 2020 , 56
revelt , comp , clean-hack , 0 , 0.20 , 3924 , 1796
revelt , exec , clean-hack , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean , 0 , 0.20 , 3924 , 1788
searchinconditions , exec , clean , 0 , 0.10 , 2020 , 56
searchinconditions , comp , clean-hack , 0 , 0.20 , 3924 , 1792
searchinconditions , exec , clean-hack , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean , 0 , 0.20 , 3924 , 1744
soundnessofparallelengines , exec , clean , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , clean-hack , 0 , 0.20 , 3924 , 1604
soundnessofparallelengines , exec , clean-hack , 0 , 0.10 , 2020 , 60
tautologyhard , comp , clean , 0 , 0.20 , 3924 , 1792
tautologyhard , exec , clean , 0 , 0.10 , 2020 , 60
tautologyhard , comp , clean-hack , 0 , 0.20 , 3924 , 1780
tautologyhard , exec , clean-hack , 0 , 0.10 , 2020 , 56
tricky , comp , clean , 0 , 0.20 , 3924 , 1784
tricky , exec , clean , 0 , 0.10 , 2020 , 56
tricky , comp , clean-hack , 0 , 0.20 , 3924 , 1776
tricky , exec , clean-hack , 0 , 0.10 , 2020 , 56
calls , comp , haskell , 0 , 1.10 , 3924 , 1736
calls , exec , haskell , 0 , 0.10 , 2020 , 56
check1 , comp , haskell , 0 , 1.20 , 3924 , 1732
check1 , exec , haskell , 0 , 0.10 , 2020 , 56
check2 , comp , haskell , 0 , 1.10 , 3924 , 1792
check2 , exec , haskell , 0 , 0.10 , 2020 , 56
confluence , comp , haskell , 0 , 1.10 , 3924 , 1784
confluence , exec , haskell , 0 , 0.10 , 2020 , 60
empty , comp , haskell , 0 , 1.10 , 3924 , 1776
empty , exec , haskell , 0 , 0.10 , 2020 , 60
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1876
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 56
garbagecollection , comp , haskell , 0 , 1.20 , 3924 , 1608
garbagecollection , exec , haskell , 0 , 0.10 , 2020 , 60
hanoi4 , comp , haskell , 0 , 1.30 , 3924 , 1724
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
oddeven , comp , haskell , 0 , 1.20 , 3924 , 1560
oddeven , exec , haskell , 0 , 0.20 , 3924 , 1736
order , comp , haskell , 0 , 1.10 , 3924 , 1740
order , exec , haskell , 0 , 0.10 , 2020 , 56
revelt , comp , haskell , 0 , 1.20 , 3924 , 1792
revelt , exec , haskell , 0 , 0.10 , 2020 , 56
searchinconditions , comp , haskell , 0 , 1.20 , 3924 , 1872
searchinconditions , exec , haskell , 0 , 0.10 , 2020 , 56
soundnessofparallelengines , comp , haskell , 0 , 1.10 , 3924 , 1792
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 2020 , 56
tautologyhard , comp , haskell , 0 , 1.10 , 3924 , 1776
tautologyhard , exec , haskell , 0 , 0.10 , 2020 , 56
tricky , comp , haskell , 0 , 1.20 , 3924 , 1736
tricky , exec , haskell , 0 , 0.10 , 2020 , 56
calls , comp-exec , lnt , 0 , 1.30 , 3924 , 1876
check1 , comp-exec , lnt , 0 , 1.30 , 3924 , 1740
check2 , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
confluence , comp-exec , lnt , 0 , 1.30 , 3924 , 1792
empty , comp-exec , lnt , 0 , 1.30 , 3924 , 1872
fibonacci05 , comp-exec , lnt , 0 , 1.40 , 3924 , 1776
garbagecollection , comp-exec , lnt , 0 , 1.30 , 3924 , 1756
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
oddeven , comp-exec , lnt , 0 , 1.30 , 3924 , 1792
order , comp-exec , lnt , 0 , 1.20 , 3924 , 1668
revelt , comp-exec , lnt , 0 , 1.20 , 3924 , 1736
searchinconditions , comp-exec , lnt , 0 , 1.30 , 3924 , 1832
soundnessofparallelengines , comp-exec , lnt , 0 , 1.30 , 3924 , 1792
tautologyhard , comp-exec , lnt , 0 , 1.40 , 3924 , 1736
tricky , comp-exec , lnt , 0 , 1.30 , 3924 , 1664
calls , comp-exec , lotos , 0 , 0.60 , 3924 , 1832
check1 , comp-exec , lotos , 0 , 0.60 , 3924 , 1832
check2 , comp-exec , lotos , 0 , 0.60 , 3924 , 1792
confluence , comp-exec , lotos , 0 , 0.70 , 3924 , 1732
empty , comp-exec , lotos , 0 , 0.60 , 3924 , 1736
fibonacci05 , comp-exec , lotos , 0 , 0.60 , 3924 , 1668
garbagecollection , comp-exec , lotos , 0 , 0.80 , 3924 , 1784
hanoi4 , comp-exec , lotos , 0 , 0.70 , 3924 , 1760
oddeven , comp-exec , lotos , 0 , 0.70 , 3924 , 1872
