calls , comp , clean , 0 , 0.20 , 10076 , 1844
calls , exec , clean , 0 , 0.10 , 4080 , 76
check1 , comp , clean , 0 , 0.20 , 10076 , 1904
check1 , exec , clean , 0 , 0.10 , 4080 , 80
check2 , comp , clean , 0 , 0.20 , 10076 , 1900
check2 , exec , clean , 0 , 0.10 , 4080 , 76
closure , comp , clean , 0 , 0.40 , 10076 , 1788
closure , exec , clean , 0 , 0.10 , 4080 , 76
confluence , comp , clean , 0 , 0.20 , 10076 , 1792
confluence , exec , clean , 0 , 0.10 , 4080 , 76
empty , comp , clean , 0 , 0.20 , 10076 , 1880
empty , exec , clean , 0 , 0.10 , 4080 , 80
garbagecollection , comp , clean , 0 , 0.20 , 10076 , 1844
garbagecollection , exec , clean , 0 , 0.10 , 4080 , 80
hanoi4 , comp , clean , 0 , 0.20 , 10076 , 1840
hanoi4 , exec , clean , 0 , 0.10 , 4080 , 80
oddeven , comp , clean , 0 , 0.20 , 10076 , 1728
oddeven , exec , clean , 0 , 0.10 , 4080 , 76
order , comp , clean , 0 , 0.20 , 10076 , 1720
order , exec , clean , 0 , 0.10 , 4080 , 80
revelt , comp , clean , 0 , 0.20 , 10076 , 1896
revelt , exec , clean , 0 , 0.10 , 4080 , 80
searchinconditions , comp , clean , 0 , 0.20 , 10076 , 1892
searchinconditions , exec , clean , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , clean , 0 , 0.20 , 10076 , 1844
soundnessofparallelengines , exec , clean , 0 , 0.10 , 4080 , 80
tautologyhard , comp , clean , 0 , 0.20 , 10076 , 1844
tautologyhard , exec , clean , 0 , 0.10 , 4080 , 76
tricky , comp , clean , 0 , 0.20 , 10076 , 1788
tricky , exec , clean , 0 , 0.10 , 4080 , 80
calls , comp , haskell , 0 , 1.60 , 10076 , 1792
calls , exec , haskell , 0 , 0.10 , 4080 , 80
check1 , comp , haskell , 0 , 1.40 , 10076 , 1788
check1 , exec , haskell , 0 , 0.10 , 4080 , 80
check2 , comp , haskell , 0 , 1.40 , 10076 , 1848
check2 , exec , haskell , 0 , 0.10 , 4080 , 80
closure , comp , haskell , 0 , 3.50 , 10076 , 1792
closure , exec , haskell , 0 , 0.10 , 4080 , 80
confluence , comp , haskell , 0 , 1.40 , 10076 , 1792
confluence , exec , haskell , 0 , 0.10 , 4080 , 76
empty , comp , haskell , 0 , 1.40 , 10076 , 1848
empty , exec , haskell , 0 , 0.10 , 4080 , 80
garbagecollection , comp , haskell , 0 , 1.50 , 10076 , 1908
garbagecollection , exec , haskell , 0 , 0.10 , 4080 , 80
hanoi4 , comp , haskell , 0 , 1.80 , 10076 , 1904
hanoi4 , exec , haskell , 0 , 0.10 , 4080 , 80
oddeven , comp , haskell , 0 , 1.60 , 10076 , 1844
oddeven , exec , haskell , 0 , 0.20 , 10076 , 1792
order , comp , haskell , 0 , 1.40 , 10076 , 1728
order , exec , haskell , 0 , 0.10 , 4080 , 76
revelt , comp , haskell , 0 , 1.60 , 10076 , 1720
revelt , exec , haskell , 0 , 0.10 , 4080 , 80
searchinconditions , comp , haskell , 0 , 1.40 , 10076 , 1764
searchinconditions , exec , haskell , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp , haskell , 0 , 1.40 , 10076 , 1896
soundnessofparallelengines , exec , haskell , 0 , 0.10 , 4080 , 80
tautologyhard , comp , haskell , 0 , 1.40 , 10076 , 1792
tautologyhard , exec , haskell , 0 , 0.10 , 4080 , 76
tricky , comp , haskell , 0 , 1.60 , 10076 , 1840
tricky , exec , haskell , 0 , 0.10 , 4080 , 76
calls , comp-exec , lnt , 0 , 2.40 , 10076 , 1892
check1 , comp-exec , lnt , 0 , 1.40 , 10076 , 1904
check2 , comp-exec , lnt , 0 , 1.40 , 10076 , 1848
closure , comp-exec , lnt , 0 , 2.90 , 10076 , 1724
confluence , comp-exec , lnt , 0 , 1.40 , 10076 , 1844
empty , comp-exec , lnt , 0 , 1.40 , 10076 , 1840
garbagecollection , comp-exec , lnt , 0 , 1.50 , 10076 , 1888
hanoi4 , comp-exec , lnt , 0 , 1.50 , 10076 , 1904
oddeven , comp-exec , lnt , 0 , 1.40 , 10076 , 1728
order , comp-exec , lnt , 0 , 1.40 , 10076 , 1840
revelt , comp-exec , lnt , 0 , 1.40 , 10076 , 1788
searchinconditions , comp-exec , lnt , 0 , 1.40 , 10076 , 1888
soundnessofparallelengines , comp-exec , lnt , 0 , 1.40 , 10076 , 1884
tautologyhard , comp-exec , lnt , 0 , 1.50 , 10076 , 1724
tricky , comp-exec , lnt , 0 , 1.40 , 10076 , 1904
calls , comp-exec , lotos , 0 , 0.70 , 10076 , 1788
check1 , comp-exec , lotos , 0 , 0.70 , 10076 , 1720
check2 , comp-exec , lotos , 0 , 0.70 , 10076 , 1792
closure , comp-exec , lotos , 0 , 1.90 , 10076 , 1724
confluence , comp-exec , lotos , 0 , 0.70 , 10076 , 1888
empty , comp-exec , lotos , 0 , 0.70 , 10076 , 1904
garbagecollection , comp-exec , lotos , 0 , 0.70 , 10076 , 1788
hanoi4 , comp-exec , lotos , 0 , 0.80 , 10076 , 1728
oddeven , comp-exec , lotos , 0 , 0.70 , 10076 , 1844
order , comp-exec , lotos , 0 , 0.70 , 10076 , 1900
revelt , comp-exec , lotos , 0 , 0.70 , 10076 , 1896
searchinconditions , comp-exec , lotos , 0 , 0.70 , 10076 , 1788
soundnessofparallelengines , comp-exec , lotos , 0 , 0.70 , 10076 , 1904
tautologyhard , comp-exec , lotos , 0 , 0.80 , 10076 , 1880
tricky , comp-exec , lotos , 0 , 0.70 , 10076 , 1888
calls , comp-exec , maude , 0 , 0.30 , 10076 , 1892
check1 , comp-exec , maude , 0 , 0.10 , 4080 , 80
check2 , comp-exec , maude , 0 , 0.10 , 4080 , 76
closure , comp-exec , maude , 0 , 0.60 , 10076 , 1844
confluence , comp-exec , maude , 0 , 0.10 , 4080 , 80
empty , comp-exec , maude , 0 , 0.10 , 4080 , 76
garbagecollection , comp-exec , maude , 0 , 0.10 , 4080 , 80
hanoi4 , comp-exec , maude , 0 , 0.10 , 4080 , 76
oddeven , comp-exec , maude , 0 , 3.90 , 10076 , 1840
order , comp-exec , maude , 0 , 0.30 , 10076 , 1880
revelt , comp-exec , maude , 0 , 0.10 , 4080 , 76
searchinconditions , comp-exec , maude , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , comp-exec , maude , 0 , 0.10 , 4080 , 76
tautologyhard , comp-exec , maude , 0 , 0.10 , 4080 , 76
tricky , comp-exec , maude , 0 , 0.10 , 4080 , 80
calls , comp , mcrl2-jitty , 0 , 0.50 , 10076 , 1792
calls , exec , mcrl2-jitty , 0 , 0.20 , 10076 , 1844
calls , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
calls , exec , mcrl2-jittyc , 0 , 13.61 , 10076 , 1904
check1 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
check1 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
check1 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
check1 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1724
check2 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
check2 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
check2 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
check2 , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1844
closure , comp , mcrl2-jitty , 0 , 0.50 , 10076 , 1728
closure , exec , mcrl2-jitty , 0 , 2.90 , 10076 , 1848
closure , comp , mcrl2-jittyc , 0 , 0.50 , 10076 , 1792
closure , exec , mcrl2-jittyc , 0 , 13.41 , 10076 , 1692
confluence , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
confluence , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
confluence , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
confluence , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1792
empty , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
empty , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
empty , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
empty , exec , mcrl2-jittyc , 0 , 9.41 , 10076 , 1904
garbagecollection , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
garbagecollection , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
garbagecollection , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
garbagecollection , exec , mcrl2-jittyc , 0 , 10.91 , 10076 , 1844
hanoi4 , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
hanoi4 , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
hanoi4 , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
hanoi4 , exec , mcrl2-jittyc , 0 , 12.21 , 10076 , 1792
oddeven , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
oddeven , exec , mcrl2-jitty , 0 , 9.11 , 10076 , 1732
oddeven , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
oddeven , exec , mcrl2-jittyc , 0 , 17.62 , 10076 , 1792
order , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
order , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
order , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
order , exec , mcrl2-jittyc , 0 , 9.61 , 10076 , 1884
revelt , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
revelt , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
revelt , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
revelt , exec , mcrl2-jittyc , 0 , 9.91 , 10076 , 1888
searchinconditions , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
searchinconditions , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
searchinconditions , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
searchinconditions , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1892
soundnessofparallelengines , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , exec , mcrl2-jittyc , 0 , 9.51 , 10076 , 1840
tautologyhard , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 76
tautologyhard , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 76
tautologyhard , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 80
tautologyhard , exec , mcrl2-jittyc , 0 , 11.01 , 10076 , 1844
tricky , comp , mcrl2-jitty , 0 , 0.10 , 4080 , 80
tricky , exec , mcrl2-jitty , 0 , 0.10 , 4080 , 80
tricky , comp , mcrl2-jittyc , 0 , 0.10 , 4080 , 76
tricky , exec , mcrl2-jittyc , 0 , 11.51 , 10076 , 1764
calls , comp , ocaml , 0 , 0.30 , 10076 , 1900
calls , exec , ocaml , 0 , 0.10 , 4080 , 80
check1 , comp , ocaml , 0 , 0.10 , 4080 , 76
check1 , exec , ocaml , 0 , 0.10 , 4080 , 76
check2 , comp , ocaml , 0 , 0.10 , 4080 , 80
check2 , exec , ocaml , 0 , 0.10 , 4080 , 80
closure , comp , ocaml , 0 , 0.60 , 10076 , 1764
closure , exec , ocaml , 0 , 0.30 , 10076 , 1848
confluence , comp , ocaml , 0 , 0.10 , 4080 , 80
confluence , exec , ocaml , 0 , 0.10 , 4080 , 76
empty , comp , ocaml , 0 , 0.10 , 4080 , 80
empty , exec , ocaml , 0 , 0.10 , 4080 , 80
garbagecollection , comp , ocaml , 0 , 0.10 , 4080 , 76
garbagecollection , exec , ocaml , 0 , 0.10 , 4080 , 76
hanoi4 , comp , ocaml , 0 , 0.10 , 4080 , 76
hanoi4 , exec , ocaml , 0 , 0.10 , 4080 , 76
oddeven , comp , ocaml , 0 , 0.10 , 4080 , 76
oddeven , exec , ocaml , 0 , 0.20 , 10076 , 1720
order , comp , ocaml , 0 , 0.10 , 4080 , 80
order , exec , ocaml , 0 , 0.10 , 4080 , 76
revelt , comp , ocaml , 0 , 0.10 , 4080 , 80
revelt , exec , ocaml , 0 , 0.10 , 4080 , 80
searchinconditions , comp , ocaml , 0 , 0.10 , 4080 , 76
searchinconditions , exec , ocaml , 0 , 0.10 , 4080 , 80
soundnessofparallelengines , comp , ocaml , 0 , 0.10 , 4080 , 76
soundnessofparallelengines , exec , ocaml , 0 , 0.10 , 4080 , 76
tautologyhard , comp , ocaml , 0 , 0.20 , 10076 , 1888
tautologyhard , exec , ocaml , 0 , 0.10 , 4080 , 76
tricky , comp , ocaml , 0 , 0.10 , 4080 , 76
tricky , exec , ocaml , 0 , 0.10 , 4080 , 76
calls , comp , opal , 0 , 2.80 , 10076 , 1888
calls , exec , opal , 0 , 0.10 , 4080 , 76
check1 , comp , opal , 0 , 0.70 , 10076 , 1728
check1 , exec , opal , 0 , 0.10 , 4080 , 80
check2 , comp , opal , 0 , 0.60 , 10076 , 1724
check2 , exec , opal , 0 , 0.10 , 4080 , 80
closure , comp , opal , timeout , 120.01 , 10076 , 1892
confluence , comp , opal , 0 , 0.70 , 10076 , 1904
confluence , exec , opal , 0 , 0.10 , 4080 , 80
empty , comp , opal , 0 , 0.60 , 10076 , 1728
empty , exec , opal , 0 , 0.10 , 4080 , 76
garbagecollection , comp , opal , 0 , 1.10 , 10076 , 1900
garbagecollection , exec , opal , 0 , 0.10 , 4080 , 76
hanoi4 , comp , opal , 0 , 1.40 , 10076 , 1892
hanoi4 , exec , opal , 0 , 0.10 , 4080 , 80
oddeven , comp , opal , 0 , 0.90 , 10076 , 1720
oddeven , exec , opal , 0 , 0.10 , 4080 , 80
order , comp , opal , 0 , 0.70 , 10076 , 1892
order , exec , opal , 0 , 0.10 , 4080 , 76
revelt , comp , opal , 0 , 0.90 , 10076 , 1884
revelt , exec , opal , 0 , 0.10 , 4080 , 76
