add8 , comp , clean , kill-13 , 4.00 , 3924 , 1776
add16 , comp , clean , kill-13 , 2.80 , 3924 , 1824
add32 , comp , clean , kill-13 , 6.71 , 3924 , 1780
benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1788
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1728
benchexpr20 , exec , clean , 0 , 0.10 , 2020 , 56
benchexpr22 , comp , clean , 0 , 0.30 , 3924 , 1784
benchexpr22 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym10 , comp , clean , 0 , 0.30 , 3924 , 1660
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 56
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1872
benchsym20 , exec , clean , 0 , 0.40 , 3924 , 1728
benchsym22 , comp , clean , 0 , 0.30 , 3924 , 1684
benchsym22 , exec , clean , 0 , 1.60 , 3924 , 1716
benchtree10 , comp , clean , 0 , 0.20 , 3924 , 1788
benchtree10 , exec , clean , 0 , 0.40 , 3924 , 1788
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1828
benchtree20 , exec , clean , 0 , 0.30 , 3924 , 1824
benchtree22 , comp , clean , 0 , 0.20 , 3924 , 1600
benchtree22 , exec , clean , 0 , 0.40 , 3924 , 1776
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1764
binarysearch , exec , clean , 0 , 2.90 , 3924 , 1764
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1720
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1732
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1736
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1728
bubblesort720 , exec , clean , 0 , 0.40 , 3924 , 1868
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1752
bubblesort1000 , exec , clean , 0 , 1.30 , 3924 , 1792
dart , comp , clean , 0 , 0.20 , 3924 , 1732
dart , exec , clean , 0 , 0.10 , 2020 , 52
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1792
evalexpr , exec , clean , 0 , 0.10 , 2020 , 52
evalsym , comp , clean , 0 , 0.20 , 3924 , 1792
evalsym , exec , clean , 0 , 26.12 , 3924 , 1660
evaltree , comp , clean , 0 , 0.20 , 3924 , 1664
evaltree , exec , clean , 0 , 0.10 , 2020 , 52
factorial5 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial5 , exec , clean , 0 , 0.10 , 2020 , 56
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1868
factorial6 , exec , clean , 0 , 0.10 , 2020 , 52
factorial7 , comp , clean , 0 , 0.20 , 3924 , 1716
factorial7 , exec , clean , 0 , 0.10 , 2020 , 52
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1764
factorial8 , exec , clean , 0 , 0.10 , 2020 , 52
factorial9 , comp , clean , 0 , 0.20 , 3924 , 1780
factorial9 , exec , clean , 0 , 0.10 , 2020 , 56
fib32 , comp , clean , 0 , 0.20 , 3924 , 1736
fib32 , exec , clean , 0 , 1.20 , 3924 , 1768
fibfree , comp , clean , 0 , 0.30 , 3924 , 1872
fibfree , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1724
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , clean , 0 , 0.20 , 3924 , 1788
fibonacci18 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci19 , comp , clean , 0 , 0.20 , 3924 , 1768
fibonacci19 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci20 , comp , clean , 0 , 0.20 , 3924 , 1732
fibonacci20 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci21 , comp , clean , 0 , 0.20 , 3924 , 1732
fibonacci21 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi8 , comp , clean , 0 , 0.20 , 3924 , 1788
hanoi8 , exec , clean , 0 , 0.10 , 2020 , 52
hanoi12 , comp , clean , 0 , 0.20 , 3924 , 1788
hanoi12 , exec , clean , 0 , 0.10 , 2020 , 52
hanoi16 , comp , clean , 0 , 0.20 , 3924 , 1820
hanoi16 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi20 , comp , clean , 0 , 0.20 , 3924 , 1792
hanoi20 , exec , clean , 0 , 0.10 , 2020 , 52
intnat , comp , clean , 0 , 3.80 , 3924 , 1660
intnat , exec , clean , 0 , 0.10 , 2020 , 56
langton6 , comp , clean , 0 , 0.40 , 3924 , 1768
langton6 , exec , clean , 0 , 0.10 , 2020 , 52
langton7 , comp , clean , 0 , 0.40 , 3924 , 1768
langton7 , exec , clean , 0 , 0.10 , 2020 , 56
logic3 , comp , clean , 0 , 0.20 , 3924 , 1780
logic3 , exec , clean , 0 , 0.10 , 2020 , 52
maa , comp , clean , 0 , 0.50 , 3924 , 1792
maa , exec , clean , 0 , 0.10 , 2020 , 56
merge , comp , clean , 0 , 0.20 , 3924 , 1736
merge , exec , clean , 0 , 0.10 , 2020 , 48
mergesort10 , comp , clean , 0 , 0.20 , 3924 , 1784
mergesort10 , exec , clean , 0 , 0.10 , 2020 , 52
mergesort100 , comp , clean , 0 , 0.20 , 3924 , 1784
mergesort100 , exec , clean , timeout , 360.00 , 3924 , 1740
mergesort1000 , comp , clean , 0 , 0.20 , 3924 , 1752
mergesort1000 , exec , clean , 0 , 0.10 , 2020 , 56
missionaries2 , comp , clean , 0 , 0.20 , 3924 , 1724
missionaries2 , exec , clean , 0 , 0.10 , 2020 , 52
missionaries3 , comp , clean , 0 , 0.20 , 3924 , 1660
missionaries3 , exec , clean , 0 , 0.10 , 2020 , 48
mul8 , comp , clean , kill-13 , 1.60 , 3924 , 1732
mul16 , comp , clean , kill-13 , 2.50 , 3924 , 1748
mul32 , comp , clean , kill-13 , 4.30 , 3924 , 1740
omul8 , comp , clean , kill-13 , 1.60 , 3924 , 1768
omul32 , comp , clean , kill-13 , 4.30 , 3924 , 1732
permutations6 , comp , clean , 0 , 0.20 , 3924 , 1732
permutations6 , exec , clean , 0 , 0.10 , 2020 , 56
permutations7 , comp , clean , 0 , 0.20 , 3924 , 1784
permutations7 , exec , clean , 0 , 0.10 , 2020 , 52
quicksort10 , comp , clean , 0 , 0.20 , 3924 , 1732
quicksort10 , exec , clean , 0 , 0.10 , 2020 , 56
quicksort100 , comp , clean , 0 , 0.20 , 3924 , 1728
quicksort100 , exec , clean , timeout , 360.01 , 3924 , 1824
quicksort1000 , comp , clean , 0 , 0.20 , 3924 , 1552
quicksort1000 , exec , clean , 0 , 0.10 , 2020 , 52
revnat100 , comp , clean , 0 , 0.20 , 3924 , 1600
revnat100 , exec , clean , 0 , 0.10 , 2020 , 52
revnat1000 , comp , clean , 0 , 0.20 , 3924 , 1736
revnat1000 , exec , clean , 0 , 0.10 , 2020 , 56
revnat10000 , comp , clean , 0 , 0.20 , 3924 , 1764
revnat10000 , exec , clean , 0 , 0.10 , 2020 , 52
sieve20 , comp , clean , 0 , 0.20 , 3924 , 1764
sieve20 , exec , clean , 0 , 0.10 , 2020 , 56
sieve100 , comp , clean , 0 , 0.20 , 3924 , 1780
sieve100 , exec , clean , 0 , 0.10 , 2020 , 52
sieve1000 , comp , clean , 0 , 0.20 , 3924 , 1776
sieve1000 , exec , clean , 0 , 0.20 , 3924 , 1764
sieve2000 , comp , clean , 0 , 0.20 , 3924 , 1828
sieve2000 , exec , clean , 0 , 0.10 , 2020 , 52
sieve10000 , comp , clean , 0 , 0.20 , 3924 , 1748
sieve10000 , exec , clean , 0 , 0.10 , 2020 , 52
tak18 , comp , clean , 0 , 0.20 , 3924 , 1764
tak18 , exec , clean , 0 , 0.10 , 2020 , 52
tak36 , comp , clean , 0 , 0.20 , 3924 , 1736
tak36 , exec , clean , 0 , 0.40 , 3924 , 1780
add8 , comp , haskell , 0 , 159.98 , 3924 , 1824
add8 , exec , haskell , 0 , 0.10 , 2020 , 56
add16 , comp , haskell , 0 , 141.74 , 3924 , 1596
add16 , exec , haskell , 0 , 0.10 , 2020 , 52
add32 , comp , haskell , 0 , 167.31 , 3924 , 1732
add32 , exec , haskell , 0 , 0.10 , 2020 , 48
benchexpr10 , comp , haskell , 0 , 1.60 , 3924 , 1788
benchexpr10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , haskell , 0 , 1.70 , 3924 , 1792
benchexpr20 , exec , haskell , 0 , 1.20 , 3924 , 1660
benchexpr22 , comp , haskell , 0 , 1.60 , 3924 , 1772
benchexpr22 , exec , haskell , 0 , 4.50 , 3924 , 1664
benchsym10 , comp , haskell , 0 , 1.60 , 3924 , 1776
benchsym10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 0 , 1.60 , 3924 , 1868
benchsym20 , exec , haskell , 0 , 0.80 , 3924 , 1768
benchsym22 , comp , haskell , 0 , 1.60 , 3924 , 1872
benchsym22 , exec , haskell , 0 , 2.70 , 3924 , 1772
benchtree10 , comp , haskell , 0 , 1.60 , 3924 , 1724
benchtree10 , exec , haskell , 0 , 0.10 , 2020 , 48
benchtree20 , comp , haskell , 0 , 1.60 , 3924 , 1724
benchtree20 , exec , haskell , 0 , 6.53 , 3924 , 1776
benchtree22 , comp , haskell , 0 , 1.60 , 3924 , 1772
benchtree22 , exec , haskell , 0 , 31.23 , 3924 , 1824
binarysearch , comp , haskell , 0 , 1.50 , 3924 , 1740
binarysearch , exec , haskell , 0 , 8.42 , 3924 , 1824
bubblesort10 , comp , haskell , 0 , 1.30 , 3924 , 1780
bubblesort10 , exec , haskell , 0 , 0.10 , 2020 , 56
bubblesort20 , comp , haskell , 0 , 1.30 , 3924 , 1736
bubblesort20 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , haskell , 0 , 1.20 , 3924 , 1716
bubblesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 0 , 1.20 , 3924 , 1720
bubblesort720 , exec , haskell , 0 , 0.80 , 3924 , 1788
bubblesort1000 , comp , haskell , 0 , 1.20 , 3924 , 1780
bubblesort1000 , exec , haskell , 0 , 1.90 , 3924 , 1788
dart , comp , haskell , 0 , 1.20 , 3924 , 1872
dart , exec , haskell , 0 , 0.10 , 2020 , 52
evalexpr , comp , haskell , 0 , 1.40 , 3924 , 1776
evalexpr , exec , haskell , 0 , 1.20 , 3924 , 1824
evalsym , comp , haskell , 0 , 1.50 , 3924 , 1728
evalsym , exec , haskell , 0 , 43.56 , 3924 , 1660
evaltree , comp , haskell , 0 , 1.40 , 3924 , 1788
evaltree , exec , haskell , 0 , 4.80 , 3924 , 1788
factorial5 , comp , haskell , 0 , 1.10 , 3924 , 1596
factorial5 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial6 , comp , haskell , 0 , 1.10 , 3924 , 1788
factorial6 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial7 , comp , haskell , 0 , 1.20 , 3924 , 1736
factorial7 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial8 , comp , haskell , 0 , 1.10 , 3924 , 1788
factorial8 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial9 , comp , haskell , 0 , 1.10 , 3924 , 1660
factorial9 , exec , haskell , 0 , 0.40 , 3924 , 1868
fib32 , comp , haskell , 0 , 1.40 , 3924 , 1736
fib32 , exec , haskell , 0 , 4.71 , 3924 , 1776
fibfree , comp , haskell , 0 , 1.70 , 3924 , 1784
fibfree , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 0 , 1.10 , 3924 , 1660
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 0 , 1.10 , 3924 , 1776
