add8 , comp , clean , 1 , 8.31 , 10076 , 1736
add16 , comp , clean , kill-13 , 6.61 , 10076 , 1912
add32 , comp , clean , 1 , 13.02 , 10076 , 1736
benchexpr10 , comp , clean , 0 , 0.30 , 10076 , 1916
benchexpr10 , exec , clean , 0 , 0.10 , 4080 , 76
benchexpr20 , comp , clean , 0 , 0.30 , 10076 , 1776
benchexpr20 , exec , clean , 255 , 0.10 , 4080 , 76
benchexpr22 , comp , clean , 0 , 0.20 , 10076 , 1856
benchexpr22 , exec , clean , 255 , 0.10 , 4080 , 76
benchsym10 , comp , clean , 0 , 0.20 , 10076 , 1736
benchsym10 , exec , clean , 0 , 0.10 , 4080 , 80
benchsym20 , comp , clean , 0 , 0.20 , 10076 , 1912
benchsym20 , exec , clean , 0 , 0.40 , 10076 , 1856
benchsym22 , comp , clean , 0 , 0.20 , 10076 , 1908
benchsym22 , exec , clean , 0 , 1.50 , 10076 , 1892
benchtree10 , comp , clean , 0 , 0.20 , 10076 , 1852
benchtree10 , exec , clean , timeout , 360.09 , 10076 , 1800
benchtree20 , comp , clean , 0 , 0.20 , 10076 , 1896
benchtree20 , exec , clean , timeout , 360.08 , 10076 , 1800
benchtree22 , comp , clean , 0 , 0.20 , 10076 , 1852
benchtree22 , exec , clean , timeout , 360.09 , 10076 , 1908
binarysearch , comp , clean , 0 , 0.20 , 10076 , 1844
binarysearch , exec , clean , 0 , 2.50 , 10076 , 1800
bubblesort10 , comp , clean , 0 , 0.20 , 10076 , 1780
bubblesort10 , exec , clean , 0 , 0.10 , 4080 , 80
bubblesort20 , comp , clean , 0 , 0.20 , 10076 , 1856
bubblesort20 , exec , clean , 0 , 0.10 , 4080 , 76
bubblesort100 , comp , clean , 0 , 0.20 , 10076 , 1856
bubblesort100 , exec , clean , 0 , 0.10 , 4080 , 76
bubblesort720 , comp , clean , 0 , 0.20 , 10076 , 1904
bubblesort720 , exec , clean , 0 , 0.30 , 10076 , 1852
bubblesort1000 , comp , clean , 0 , 0.20 , 10076 , 1800
bubblesort1000 , exec , clean , 0 , 0.80 , 10076 , 1888
dart , comp , clean , 0 , 0.20 , 10076 , 1912
dart , exec , clean , 0 , 0.10 , 4080 , 80
evalexpr , comp , clean , 0 , 0.20 , 10076 , 1888
evalexpr , exec , clean , 255 , 0.10 , 4080 , 80
evalsym , comp , clean , 0 , 0.20 , 10076 , 1740
evalsym , exec , clean , 0 , 23.52 , 10076 , 1856
evaltree , comp , clean , 0 , 0.20 , 10076 , 1856
evaltree , exec , clean , 255 , 0.40 , 10076 , 1852
factorial5 , comp , clean , 0 , 0.20 , 10076 , 1892
factorial5 , exec , clean , 0 , 0.10 , 4080 , 80
factorial6 , comp , clean , 0 , 0.20 , 10076 , 1736
factorial6 , exec , clean , 0 , 0.10 , 4080 , 76
factorial7 , comp , clean , 0 , 0.20 , 10076 , 1736
factorial7 , exec , clean , 0 , 0.10 , 4080 , 76
factorial8 , comp , clean , 0 , 0.20 , 10076 , 1908
factorial8 , exec , clean , 0 , 0.10 , 4080 , 76
factorial9 , comp , clean , 0 , 0.20 , 10076 , 1852
factorial9 , exec , clean , 255 , 0.10 , 4080 , 80
fib32 , comp , clean , 0 , 0.20 , 10076 , 1732
fib32 , exec , clean , 0 , 1.00 , 10076 , 1844
fibfree , comp , clean , 0 , 0.30 , 10076 , 1888
fibfree , exec , clean , 0 , 0.10 , 4080 , 76
fibonacci05 , comp , clean , 0 , 0.20 , 10076 , 1852
fibonacci05 , exec , clean , 0 , 0.10 , 4080 , 80
fibonacci18 , comp , clean , 0 , 0.20 , 10076 , 1888
fibonacci18 , exec , clean , 0 , 0.10 , 4080 , 76
fibonacci19 , comp , clean , 0 , 0.20 , 10076 , 1908
fibonacci19 , exec , clean , 0 , 0.10 , 4080 , 76
fibonacci20 , comp , clean , 0 , 0.20 , 10076 , 1888
fibonacci20 , exec , clean , 0 , 0.10 , 4080 , 76
fibonacci21 , comp , clean , 0 , 0.20 , 10076 , 1900
fibonacci21 , exec , clean , 0 , 0.10 , 4080 , 76
hanoi8 , comp , clean , 0 , 0.20 , 10076 , 1776
hanoi8 , exec , clean , 0 , 0.10 , 4080 , 76
hanoi12 , comp , clean , 0 , 0.20 , 10076 , 1844
hanoi12 , exec , clean , 0 , 0.10 , 4080 , 76
hanoi16 , comp , clean , 0 , 0.20 , 10076 , 1796
