permutations6 , exec , clean , 0 , 0.10 , 2020 , 48
permutations7 , comp , clean , 0 , 0.20 , 3924 , 1736
permutations7 , exec , clean , 0 , 0.20 , 3924 , 1736
quicksort10 , comp , clean , 0 , 0.20 , 3924 , 1724
quicksort10 , exec , clean , 0 , 0.10 , 2020 , 56
quicksort100 , comp , clean , 0 , 0.20 , 3924 , 1868
quicksort100 , exec , clean , timeout , 360.18 , 3924 , 1768
quicksort1000 , comp , clean , 0 , 0.20 , 3924 , 1600
quicksort1000 , exec , clean , timeout , 360.12 , 3924 , 1732
revnat100 , comp , clean , 0 , 0.20 , 3924 , 1784
revnat100 , exec , clean , 0 , 0.10 , 2020 , 52
revnat1000 , comp , clean , 0 , 0.20 , 3924 , 1776
revnat1000 , exec , clean , 0 , 0.30 , 3924 , 1768
revnat10000 , comp , clean , 0 , 0.20 , 3924 , 1748
revnat10000 , exec , clean , 0 , 168.02 , 3924 , 1660
sieve20 , comp , clean , 0 , 0.20 , 3924 , 1724
sieve20 , exec , clean , 0 , 0.10 , 2020 , 52
sieve100 , comp , clean , 0 , 0.20 , 3924 , 1776
sieve100 , exec , clean , 0 , 0.10 , 2020 , 52
sieve1000 , comp , clean , 0 , 0.20 , 3924 , 1768
sieve1000 , exec , clean , 0 , 0.20 , 3924 , 1660
sieve2000 , comp , clean , 0 , 0.20 , 3924 , 1660
sieve2000 , exec , clean , 0 , 0.50 , 3924 , 1660
sieve10000 , comp , clean , 0 , 0.20 , 3924 , 1748
sieve10000 , exec , clean , 0 , 60.26 , 3924 , 1776
tak18 , comp , clean , 0 , 0.20 , 3924 , 1776
tak18 , exec , clean , 0 , 0.10 , 2020 , 52
tak36 , comp , clean , 0 , 0.20 , 3924 , 1780
tak36 , exec , clean , 0 , 0.50 , 3924 , 1776
add8 , comp , haskell , 0 , 161.00 , 3924 , 1748
add8 , exec , haskell , 0 , 0.10 , 2020 , 52
add16 , comp , haskell , 0 , 142.25 , 3924 , 1872
add16 , exec , haskell , 0 , 0.10 , 2020 , 56
add32 , comp , haskell , 0 , 168.91 , 3924 , 1776
add32 , exec , haskell , 0 , 0.10 , 2020 , 56
benchexpr10 , comp , haskell , 0 , 1.60 , 3924 , 1596
benchexpr10 , exec , haskell , 0 , 0.10 , 2020 , 56
benchexpr20 , comp , haskell , 0 , 1.60 , 3924 , 1720
benchexpr20 , exec , haskell , 0 , 1.20 , 3924 , 1748
benchexpr22 , comp , haskell , 0 , 1.60 , 3924 , 1776
benchexpr22 , exec , haskell , 0 , 4.40 , 3924 , 1784
benchsym10 , comp , haskell , 0 , 1.60 , 3924 , 1772
benchsym10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 0 , 1.60 , 3924 , 1788
benchsym20 , exec , haskell , 0 , 0.70 , 3924 , 1788
benchsym22 , comp , haskell , 0 , 1.70 , 3924 , 1768
benchsym22 , exec , haskell , 0 , 2.70 , 3924 , 1776
benchtree10 , comp , haskell , 0 , 1.60 , 3924 , 1784
benchtree10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 0 , 1.60 , 3924 , 1868
benchtree20 , exec , haskell , 0 , 6.51 , 3924 , 1596
benchtree22 , comp , haskell , 0 , 1.60 , 3924 , 1724
benchtree22 , exec , haskell , 0 , 31.23 , 3924 , 1664
binarysearch , comp , haskell , 0 , 1.60 , 3924 , 1764
binarysearch , exec , haskell , 0 , 8.41 , 3924 , 1768
bubblesort10 , comp , haskell , 0 , 1.20 , 3924 , 1824
bubblesort10 , exec , haskell , 0 , 0.10 , 2020 , 48
bubblesort20 , comp , haskell , 0 , 1.20 , 3924 , 1780
bubblesort20 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , haskell , 0 , 1.30 , 3924 , 1780
bubblesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 0 , 1.30 , 3924 , 1788
bubblesort720 , exec , haskell , 0 , 0.80 , 3924 , 1784
bubblesort1000 , comp , haskell , 0 , 1.20 , 3924 , 1772
bubblesort1000 , exec , haskell , 0 , 1.90 , 3924 , 1780
