add8 , comp , clean , kill-13 , 4.00 , 3924 , 1768
add16 , comp , clean , kill-13 , 2.80 , 3924 , 1724
add32 , comp , clean , kill-13 , 6.81 , 3924 , 1784
benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1792
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1676
benchexpr20 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1724
benchexpr22 , exec , clean , 0 , 0.10 , 2020 , 56
benchsym10 , comp , clean , 0 , 0.20 , 3924 , 1772
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1824
benchsym20 , exec , clean , 0 , 0.40 , 3924 , 1728
benchsym22 , comp , clean , 0 , 0.20 , 3924 , 1788
benchsym22 , exec , clean , 0 , 1.60 , 3924 , 1776
benchtree10 , comp , clean , 0 , 0.20 , 3924 , 1776
benchtree10 , exec , clean , 0 , 0.40 , 3924 , 1740
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1728
benchtree20 , exec , clean , 0 , 0.30 , 3924 , 1764
benchtree22 , comp , clean , 0 , 0.20 , 3924 , 1724
benchtree22 , exec , clean , 0 , 0.40 , 3924 , 1768
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1776
binarysearch , exec , clean , 0 , 2.90 , 3924 , 1724
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1732
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1824
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1660
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1776
bubblesort720 , exec , clean , 0 , 0.40 , 3924 , 1736
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1776
bubblesort1000 , exec , clean , 0 , 1.30 , 3924 , 1664
dart , comp , clean , 0 , 0.20 , 3924 , 1776
dart , exec , clean , 0 , 0.10 , 2020 , 52
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1736
evalexpr , exec , clean , 0 , 0.10 , 2020 , 56
evalsym , comp , clean , 0 , 0.20 , 3924 , 1732
evalsym , exec , clean , 0 , 26.22 , 3924 , 1592
evaltree , comp , clean , 0 , 0.20 , 3924 , 1724
evaltree , exec , clean , 0 , 0.10 , 2020 , 52
factorial5 , comp , clean , 0 , 0.30 , 3924 , 1868
factorial5 , exec , clean , 0 , 0.10 , 2020 , 52
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1780
factorial6 , exec , clean , 0 , 0.10 , 2020 , 56
factorial7 , comp , clean , 0 , 0.20 , 3924 , 1768
factorial7 , exec , clean , 0 , 0.10 , 2020 , 52
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1868
factorial8 , exec , clean , 0 , 0.10 , 2020 , 52
factorial9 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial9 , exec , clean , 0 , 0.10 , 2020 , 52
