add8 , comp , clean , 1 , 11.11 , 10076 , 1760
add16 , comp , clean , 1 , 9.91 , 10076 , 1792
add32 , comp , clean , 1 , 21.42 , 10076 , 1856
benchexpr10 , comp , clean , 0 , 0.40 , 10076 , 1884
benchexpr10 , exec , clean , 0 , 0.10 , 4080 , 80
benchexpr20 , comp , clean , 0 , 0.40 , 10076 , 1724
benchexpr20 , exec , clean , 0 , 1.80 , 10076 , 1832
benchexpr22 , comp , clean , 0 , 0.40 , 10076 , 1888
benchexpr22 , exec , clean , 0 , 6.71 , 10076 , 1880
benchsym10 , comp , clean , 0 , 0.40 , 10076 , 1884
benchsym10 , exec , clean , 0 , 0.10 , 4080 , 80
benchsym20 , comp , clean , 0 , 0.40 , 10076 , 1792
benchsym20 , exec , clean , 0 , 0.40 , 10076 , 1828
benchsym22 , comp , clean , 0 , 0.40 , 10076 , 1872
benchsym22 , exec , clean , 0 , 1.50 , 10076 , 1788
benchtree10 , comp , clean , 0 , 0.40 , 10076 , 1880
benchtree10 , exec , clean , 0 , 260.96 , 10076 , 1712
benchtree20 , comp , clean , 0 , 0.40 , 10076 , 1828
benchtree20 , exec , clean , timeout , 360.07 , 10076 , 1788
benchtree22 , comp , clean , 0 , 0.40 , 10076 , 1788
benchtree22 , exec , clean , timeout , 360.07 , 10076 , 1872
binarysearch , comp , clean , 0 , 0.40 , 10076 , 1832
binarysearch , exec , clean , 0 , 2.30 , 10076 , 1736
bubblesort10 , comp , clean , 0 , 0.40 , 10076 , 1836
bubblesort10 , exec , clean , 0 , 0.10 , 4080 , 80
bubblesort20 , comp , clean , 0 , 0.40 , 10076 , 1884
bubblesort20 , exec , clean , 0 , 0.10 , 4080 , 80
bubblesort100 , comp , clean , 0 , 0.40 , 10076 , 1828
bubblesort100 , exec , clean , 0 , 0.10 , 4080 , 76
bubblesort720 , comp , clean , 0 , 0.40 , 10076 , 1824
bubblesort720 , exec , clean , 0 , 0.30 , 10076 , 1736
bubblesort1000 , comp , clean , 0 , 0.40 , 10076 , 1788
bubblesort1000 , exec , clean , 0 , 0.90 , 10076 , 1856
closure , comp , clean , 0 , 0.50 , 10076 , 1716
closure , exec , clean , 0 , 0.10 , 4080 , 80
dart , comp , clean , 0 , 0.40 , 10076 , 1824
dart , exec , clean , 0 , 0.10 , 4080 , 76
evalexpr , comp , clean , 0 , 0.40 , 10076 , 1860
evalexpr , exec , clean , 0 , 1.50 , 10076 , 1832
evalsym , comp , clean , 0 , 0.40 , 10076 , 1792
evalsym , exec , clean , 0 , 23.11 , 10076 , 1836
evaltree , comp , clean , 0 , 0.40 , 10076 , 1836
evaltree , exec , clean , 0 , 4.40 , 10076 , 1792
factorial5 , comp , clean , 0 , 0.40 , 10076 , 1824
factorial5 , exec , clean , 0 , 0.10 , 4080 , 80
factorial6 , comp , clean , 0 , 0.40 , 10076 , 1832
factorial6 , exec , clean , 0 , 0.10 , 4080 , 80
