bubblesort20 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1732
bubblesort100 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1724
bubblesort720 , comp-exec , cafeobj-b , 0 , 2.00 , 3928 , 1672
bubblesort1000 , comp-exec , cafeobj-b , 0 , 3.40 , 3928 , 1788
closure , comp-exec , cafeobj-b , 1 , 96.52 , 3928 , 1732
dart , comp-exec , cafeobj-b , 0 , 1409.42 , 3928 , 1608
evalexpr , comp-exec , cafeobj-b , 0 , 0.41 , 3928 , 1792
evalsym , comp-exec , cafeobj-b , 1 , 1550.67 , 3928 , 1668
evaltree , comp-exec , cafeobj-b , 1 , 13.33 , 3928 , 1788
factorial5 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1756
factorial6 , comp-exec , cafeobj-b , 0 , 0.50 , 3928 , 1864
factorial7 , comp-exec , cafeobj-b , 0 , 4.70 , 3928 , 1728
factorial8 , comp-exec , cafeobj-b , 1 , 147.61 , 3928 , 1776
factorial9 , comp-exec , cafeobj-b , 1 , 147.80 , 3928 , 1832
fib32 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1788
fibfree , comp-exec , cafeobj-b , 1 , 249.13 , 3928 , 1672
fibonacci18 , comp-exec , cafeobj-b , 0 , 4.90 , 3928 , 1776
fibonacci19 , comp-exec , cafeobj-b , 0 , 12.21 , 3928 , 1836
fibonacci20 , comp-exec , cafeobj-b , 0 , 31.03 , 3928 , 1784
fibonacci21 , comp-exec , cafeobj-b , 0 , 30.96 , 3928 , 1788
hanoi8 , comp-exec , cafeobj-b , 0 , 0.90 , 3928 , 1756
hanoi12 , comp-exec , cafeobj-b , 0 , 125.59 , 3928 , 1668
hanoi16 , comp-exec , cafeobj-b , timeout , 1800.01 , 3928 , 1752
hanoi20 , comp-exec , cafeobj-b , timeout , 1800.01 , 3928 , 1728
intnat , comp-exec , cafeobj-b , 0 , 4.80 , 3928 , 1756
langton6 , comp-exec , cafeobj-b , 1 , 6.61 , 3928 , 1732
langton7 , comp-exec , cafeobj-b , 1 , 6.71 , 3928 , 1784
logic3 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1776
maa , comp-exec , cafeobj-b , timeout , 1800.06 , 3928 , 1760
merge , comp-exec , cafeobj-b , 0 , 0.50 , 3928 , 1668
mergesort10 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1752
mergesort100 , comp-exec , cafeobj-b , timeout , 1800.09 , 3928 , 1788
mergesort1000 , comp-exec , cafeobj-b , 1 , 115.47 , 3928 , 1776
missionaries2 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1604
missionaries3 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1608
mul8 , comp-exec , cafeobj-b , 0 , 169.96 , 3928 , 1732
mul16 , comp-exec , cafeobj-b , 0 , 973.19 , 3928 , 1756
mul32 , comp-exec , cafeobj-b , timeout , 1800.02 , 3928 , 1768
natlist , comp-exec , cafeobj-b , 0 , 0.20 , 3928 , 1788
omul8 , comp-exec , cafeobj-b , 0 , 171.55 , 3928 , 1788
omul32 , comp-exec , cafeobj-b , timeout , 1800.04 , 3928 , 1788
permutations6 , comp-exec , cafeobj-b , 0 , 955.49 , 3928 , 1724
permutations7 , comp-exec , cafeobj-b , timeout , 1800.04 , 3928 , 1776
quicksort10 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1788
quicksort100 , comp-exec , cafeobj-b , 0 , 0.50 , 3928 , 1792
quicksort1000 , comp-exec , cafeobj-b , 0 , 13.71 , 3928 , 1772
revnat100 , comp-exec , cafeobj-b , 0 , 16.03 , 3928 , 1784
revnat1000 , comp-exec , cafeobj-b , timeout , 1800.07 , 3928 , 1728
revnat10000 , comp-exec , cafeobj-b , 1 , 107.15 , 3928 , 1728
sieve20 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1728
sieve100 , comp-exec , cafeobj-b , 1 , 201.97 , 3928 , 1788
sieve1000 , comp-exec , cafeobj-b , 1 , 197.87 , 3928 , 1728
sieve2000 , comp-exec , cafeobj-b , 1 , 179.16 , 3928 , 1772
sieve10000 , comp-exec , cafeobj-b , 1 , 179.02 , 3928 , 1760
tak18 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1792
tak36 , comp-exec , cafeobj-b , 0 , 0.40 , 3928 , 1728
add8 , comp , clean , kill-13 , 4.10 , 3928 , 1784
add8 , exec , clean , 127 , 0.10 , 2024 , 56
add8 , comp , clean-hack , 141 , 5.30 , 3928 , 1784
add16 , comp , clean , kill-13 , 3.00 , 3928 , 1864
add16 , exec , clean , 127 , 0.10 , 2024 , 56
add16 , comp , clean-hack , 141 , 4.40 , 3928 , 1784
add32 , comp , clean , kill-13 , 7.11 , 3928 , 1608
add32 , exec , clean , 127 , 0.10 , 2024 , 60
add32 , comp , clean-hack , 141 , 9.61 , 3928 , 1788
benchexpr10 , comp , clean , 0 , 0.20 , 3928 , 1604
benchexpr10 , exec , clean , 0 , 0.10 , 2024 , 52
benchexpr10 , comp , clean-hack , 0 , 0.20 , 3928 , 1756
benchexpr10 , exec , clean-hack , 0 , 0.10 , 2024 , 60
benchexpr20 , comp , clean , 0 , 0.20 , 3928 , 1804
benchexpr20 , exec , clean , 255 , 0.10 , 2024 , 56
benchexpr20 , comp , clean-hack , 0 , 0.20 , 3928 , 1780
benchexpr20 , exec , clean-hack , 0 , 0.80 , 3928 , 1752
benchexpr22 , comp , clean , 0 , 0.20 , 3928 , 1776
benchexpr22 , exec , clean , 255 , 0.10 , 2024 , 56
benchexpr22 , comp , clean-hack , 0 , 0.30 , 3928 , 1608
benchexpr22 , exec , clean-hack , 0 , 3.00 , 3928 , 1752
benchsym10 , comp , clean , 0 , 0.30 , 3928 , 1728
benchsym10 , exec , clean , 0 , 0.10 , 2024 , 56
benchsym10 , comp , clean-hack , 0 , 0.20 , 3928 , 1756
benchsym10 , exec , clean-hack , 0 , 0.10 , 2024 , 60
benchsym20 , comp , clean , 0 , 0.30 , 3928 , 1756
benchsym20 , exec , clean , 0 , 0.50 , 3928 , 1672
benchsym20 , comp , clean-hack , 0 , 0.20 , 3928 , 1752
benchsym20 , exec , clean-hack , 0 , 0.90 , 3928 , 1792
benchsym22 , comp , clean , 0 , 0.30 , 3928 , 1780
benchsym22 , exec , clean , 0 , 1.70 , 3928 , 1732
benchsym22 , comp , clean-hack , 0 , 0.20 , 3928 , 1832
benchsym22 , exec , clean-hack , 0 , 2.90 , 3928 , 1836
benchtree10 , comp , clean , 0 , 0.20 , 3928 , 1752
benchtree10 , exec , clean , 255 , 0.40 , 3928 , 1868
benchtree10 , comp , clean-hack , 0 , 0.20 , 3928 , 1792
benchtree10 , exec , clean-hack , 0 , 113.35 , 3928 , 1864
benchtree20 , comp , clean , 0 , 0.20 , 3928 , 1604
benchtree20 , exec , clean , 255 , 0.40 , 3928 , 1728
benchtree20 , comp , clean-hack , 0 , 0.30 , 3928 , 1724
benchtree20 , exec , clean-hack , timeout , 1800.11 , 3928 , 1788
benchtree22 , comp , clean , 0 , 0.20 , 3928 , 1780
benchtree22 , exec , clean , 255 , 0.40 , 3928 , 1864
benchtree22 , comp , clean-hack , 0 , 0.20 , 3928 , 1772
benchtree22 , exec , clean-hack , timeout , 1800.12 , 3928 , 1756
binarysearch , comp , clean , 0 , 0.20 , 3928 , 1732
binarysearch , exec , clean , 0 , 2.90 , 3928 , 1668
binarysearch , comp , clean-hack , 0 , 0.20 , 3928 , 1780
binarysearch , exec , clean-hack , 0 , 3.80 , 3928 , 1728
bubblesort10 , comp , clean , 0 , 0.20 , 3928 , 1832
bubblesort10 , exec , clean , 0 , 0.10 , 2024 , 56
bubblesort10 , comp , clean-hack , 0 , 0.20 , 3928 , 1836
bubblesort10 , exec , clean-hack , 0 , 0.10 , 2024 , 60
bubblesort20 , comp , clean , 0 , 0.20 , 3928 , 1728
bubblesort20 , exec , clean , 0 , 0.10 , 2024 , 56
bubblesort20 , comp , clean-hack , 0 , 0.20 , 3928 , 1784
bubblesort20 , exec , clean-hack , 0 , 0.10 , 2024 , 52
bubblesort100 , comp , clean , 0 , 0.20 , 3928 , 1604
bubblesort100 , exec , clean , 0 , 0.10 , 2024 , 56
bubblesort100 , comp , clean-hack , 0 , 0.20 , 3928 , 1836
bubblesort100 , exec , clean-hack , 0 , 0.10 , 2024 , 56
bubblesort720 , comp , clean , 0 , 0.20 , 3928 , 1728
bubblesort720 , exec , clean , 0 , 0.50 , 3928 , 1832
bubblesort720 , comp , clean-hack , 0 , 0.20 , 3928 , 1752
bubblesort720 , exec , clean-hack , 0 , 0.50 , 3928 , 1792
bubblesort1000 , comp , clean , 0 , 0.20 , 3928 , 1784
bubblesort1000 , exec , clean , 0 , 1.10 , 3928 , 1864
bubblesort1000 , comp , clean-hack , 0 , 0.20 , 3928 , 1792
bubblesort1000 , exec , clean-hack , 0 , 0.90 , 3928 , 1832
closure , comp , clean , 0 , 0.30 , 3928 , 1792
closure , exec , clean , 255 , 0.20 , 3928 , 1836
closure , comp , clean-hack , 0 , 0.30 , 3928 , 1756
closure , exec , clean-hack , 0 , 0.20 , 3928 , 1776
dart , comp , clean , 0 , 0.20 , 3928 , 1728
dart , exec , clean , 255 , 0.10 , 2024 , 52
dart , comp , clean-hack , 0 , 0.20 , 3928 , 1688
dart , exec , clean-hack , 0 , 0.10 , 2024 , 56
evalexpr , comp , clean , 0 , 0.20 , 3928 , 1836
evalexpr , exec , clean , 255 , 0.10 , 2024 , 60
evalexpr , comp , clean-hack , 0 , 0.20 , 3928 , 1756
evalexpr , exec , clean-hack , 0 , 1.30 , 3928 , 1780
evalsym , comp , clean , 0 , 0.20 , 3928 , 1776
evalsym , exec , clean , 0 , 24.92 , 3928 , 1776
evalsym , comp , clean-hack , 0 , 0.20 , 3928 , 1732
evalsym , exec , clean-hack , 0 , 26.02 , 3928 , 1772
evaltree , comp , clean , 0 , 0.20 , 3928 , 1792
evaltree , exec , clean , 255 , 0.10 , 2024 , 60
evaltree , comp , clean-hack , 0 , 0.20 , 3928 , 1724
evaltree , exec , clean-hack , 0 , 2.90 , 3928 , 1728
factorial5 , comp , clean , 0 , 0.20 , 3928 , 1728
factorial5 , exec , clean , 0 , 0.10 , 2024 , 56
factorial5 , comp , clean-hack , 0 , 0.20 , 3928 , 1732
factorial5 , exec , clean-hack , 0 , 0.10 , 2024 , 56
factorial6 , comp , clean , 0 , 0.20 , 3928 , 1728
factorial6 , exec , clean , 0 , 0.10 , 2024 , 56
factorial6 , comp , clean-hack , 0 , 0.20 , 3928 , 1732
factorial6 , exec , clean-hack , 0 , 0.10 , 2024 , 56
factorial7 , comp , clean , 0 , 0.20 , 3928 , 1784
factorial7 , exec , clean , 255 , 0.10 , 2024 , 56
factorial7 , comp , clean-hack , 0 , 0.30 , 3928 , 1788
factorial7 , exec , clean-hack , 0 , 0.10 , 2024 , 56
factorial8 , comp , clean , 0 , 0.20 , 3928 , 1732
factorial8 , exec , clean , 255 , 0.10 , 2024 , 56
factorial8 , comp , clean-hack , 0 , 0.20 , 3928 , 1668
factorial8 , exec , clean-hack , 0 , 0.10 , 2024 , 56
factorial9 , comp , clean , 0 , 0.20 , 3928 , 1832
factorial9 , exec , clean , 255 , 0.10 , 2024 , 56
factorial9 , comp , clean-hack , 0 , 0.20 , 3928 , 1864
factorial9 , exec , clean-hack , 0 , 0.20 , 3928 , 1784
fib32 , comp , clean , 0 , 0.20 , 3928 , 1752
fib32 , exec , clean , 0 , 1.10 , 3928 , 1864
fib32 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
fib32 , exec , clean-hack , 0 , 2.20 , 3928 , 1788
fibfree , comp , clean , 0 , 0.20 , 3928 , 1784
fibfree , exec , clean , 0 , 0.10 , 2024 , 56
fibfree , comp , clean-hack , 0 , 0.20 , 3928 , 1836
fibfree , exec , clean-hack , 0 , 0.10 , 2024 , 56
fibonacci18 , comp , clean , 0 , 0.20 , 3928 , 1732
fibonacci18 , exec , clean , 0 , 0.10 , 2024 , 56
fibonacci18 , comp , clean-hack , 0 , 0.20 , 3928 , 1732
fibonacci18 , exec , clean-hack , 0 , 0.10 , 2024 , 60
fibonacci19 , comp , clean , 0 , 0.20 , 3928 , 1604
fibonacci19 , exec , clean , 255 , 0.10 , 2024 , 56
fibonacci19 , comp , clean-hack , 0 , 0.20 , 3928 , 1776
fibonacci19 , exec , clean-hack , 0 , 0.10 , 2024 , 56
fibonacci20 , comp , clean , 0 , 0.20 , 3928 , 1752
fibonacci20 , exec , clean , 255 , 0.10 , 2024 , 60
fibonacci20 , comp , clean-hack , 0 , 0.20 , 3928 , 1788
fibonacci20 , exec , clean-hack , 0 , 0.10 , 2024 , 60
fibonacci21 , comp , clean , 0 , 0.20 , 3928 , 1604
fibonacci21 , exec , clean , 255 , 0.10 , 2024 , 56
fibonacci21 , comp , clean-hack , 0 , 0.20 , 3928 , 1752
fibonacci21 , exec , clean-hack , 0 , 0.10 , 2024 , 56
hanoi8 , comp , clean , 0 , 0.20 , 3928 , 1780
hanoi8 , exec , clean , 0 , 0.10 , 2024 , 56
hanoi8 , comp , clean-hack , 0 , 0.20 , 3928 , 1836
hanoi8 , exec , clean-hack , 0 , 0.10 , 2024 , 60
hanoi12 , comp , clean , 0 , 0.20 , 3928 , 1604
hanoi12 , exec , clean , 255 , 0.10 , 2024 , 52
hanoi12 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
hanoi12 , exec , clean-hack , 0 , 0.10 , 2024 , 56
hanoi16 , comp , clean , 0 , 0.20 , 3928 , 1604
hanoi16 , exec , clean , 255 , 0.10 , 2024 , 56
hanoi16 , comp , clean-hack , 0 , 0.30 , 3928 , 1868
hanoi16 , exec , clean-hack , 0 , 0.20 , 3928 , 1728
hanoi20 , comp , clean , 0 , 0.20 , 3928 , 1772
hanoi20 , exec , clean , 255 , 0.10 , 2024 , 56
hanoi20 , comp , clean-hack , 0 , 0.20 , 3928 , 1784
hanoi20 , exec , clean-hack , 0 , 3.90 , 3928 , 1788
intnat , comp , clean , 0 , 3.70 , 3928 , 1792
intnat , exec , clean , 0 , 0.10 , 2024 , 56
intnat , comp , clean-hack , 0 , 3.90 , 3928 , 1724
intnat , exec , clean-hack , 0 , 0.10 , 2024 , 60
langton6 , comp , clean , 0 , 0.30 , 3928 , 1772
langton6 , exec , clean , 255 , 0.10 , 2024 , 56
langton6 , comp , clean-hack , 0 , 0.30 , 3928 , 1728
langton6 , exec , clean-hack , 255 , 0.10 , 2024 , 60
langton7 , comp , clean , 0 , 0.30 , 3928 , 1732
langton7 , exec , clean , 255 , 0.10 , 2024 , 52
langton7 , comp , clean-hack , 0 , 0.30 , 3928 , 1864
langton7 , exec , clean-hack , 255 , 0.10 , 2024 , 56
logic3 , comp , clean , 0 , 0.20 , 3928 , 1668
logic3 , exec , clean , 0 , 0.10 , 2024 , 56
logic3 , comp , clean-hack , 0 , 0.20 , 3928 , 1780
logic3 , exec , clean-hack , 0 , 0.10 , 2024 , 56
maa , comp , clean , 0 , 0.40 , 3928 , 1776
maa , exec , clean , 255 , 0.10 , 2024 , 56
maa , comp , clean-hack , 0 , 0.60 , 3928 , 1564
maa , exec , clean-hack , 0 , 5.11 , 3928 , 1864
merge , comp , clean , 0 , 0.20 , 3928 , 1756
merge , exec , clean , 0 , 0.10 , 2024 , 52
merge , comp , clean-hack , 0 , 0.20 , 3928 , 1728
merge , exec , clean-hack , 0 , 0.10 , 2024 , 60
mergesort10 , comp , clean , 0 , 0.20 , 3928 , 1728
mergesort10 , exec , clean , 0 , 0.10 , 2024 , 56
mergesort10 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
mergesort10 , exec , clean-hack , 0 , 0.10 , 2024 , 56
mergesort100 , comp , clean , 0 , 0.20 , 3928 , 1752
mergesort100 , exec , clean , timeout , 1800.09 , 3928 , 1724
mergesort100 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
mergesort100 , exec , clean-hack , timeout , 1800.15 , 3928 , 1668
mergesort1000 , comp , clean , 0 , 0.20 , 3928 , 1864
mergesort1000 , exec , clean , 255 , 0.10 , 2024 , 56
mergesort1000 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
mergesort1000 , exec , clean-hack , timeout , 1800.11 , 3928 , 1604
missionaries2 , comp , clean , 0 , 0.20 , 3928 , 1788
missionaries2 , exec , clean , 0 , 0.10 , 2024 , 56
missionaries2 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
missionaries2 , exec , clean-hack , 0 , 0.10 , 2024 , 56
missionaries3 , comp , clean , 0 , 0.20 , 3928 , 1792
missionaries3 , exec , clean , 0 , 0.10 , 2024 , 56
missionaries3 , comp , clean-hack , 0 , 0.20 , 3928 , 1728
missionaries3 , exec , clean-hack , 0 , 0.10 , 2024 , 60
mul8 , comp , clean , kill-13 , 1.60 , 3928 , 1668
mul8 , exec , clean , 127 , 0.10 , 2024 , 56
mul8 , comp , clean-hack , 141 , 2.10 , 3928 , 1788
mul16 , comp , clean , kill-13 , 2.60 , 3928 , 1688
mul16 , exec , clean , 127 , 0.10 , 2024 , 56
mul16 , comp , clean-hack , 141 , 3.40 , 3928 , 1752
mul32 , comp , clean , kill-13 , 4.50 , 3928 , 1784
mul32 , exec , clean , 127 , 0.10 , 2024 , 56
mul32 , comp , clean-hack , 141 , 6.13 , 3928 , 1604
natlist , comp , clean , 0 , 0.20 , 3928 , 1772
natlist , exec , clean , 255 , 0.10 , 2024 , 56
natlist , comp , clean-hack , 0 , 0.30 , 3928 , 1832
natlist , exec , clean-hack , 0 , 0.10 , 2024 , 60
omul8 , comp , clean , kill-13 , 1.60 , 3928 , 1724
omul8 , exec , clean , 127 , 0.10 , 2024 , 60
omul8 , comp , clean-hack , 141 , 2.10 , 3928 , 1788
omul32 , comp , clean , kill-13 , 4.50 , 3928 , 1752
omul32 , exec , clean , 127 , 0.10 , 2024 , 56
omul32 , comp , clean-hack , 141 , 6.11 , 3928 , 1760
permutations6 , comp , clean , 0 , 0.20 , 3928 , 1864
permutations6 , exec , clean , 255 , 0.10 , 2024 , 56
permutations6 , comp , clean-hack , 0 , 0.20 , 3928 , 1776
permutations6 , exec , clean-hack , 0 , 0.10 , 2024 , 56
permutations7 , comp , clean , 0 , 0.30 , 3928 , 1668
permutations7 , exec , clean , 255 , 0.10 , 2024 , 56
permutations7 , comp , clean-hack , 0 , 0.20 , 3928 , 1796
permutations7 , exec , clean-hack , 0 , 0.20 , 3928 , 1776
quicksort10 , comp , clean , 0 , 0.20 , 3928 , 1864
quicksort10 , exec , clean , 0 , 0.10 , 2024 , 56
quicksort10 , comp , clean-hack , 0 , 0.20 , 3928 , 1732
quicksort10 , exec , clean-hack , 0 , 0.10 , 2024 , 56
quicksort100 , comp , clean , 0 , 0.20 , 3928 , 1784
quicksort100 , exec , clean , timeout , 1800.02 , 3928 , 1792
quicksort100 , comp , clean-hack , 0 , 0.20 , 3928 , 1832
quicksort100 , exec , clean-hack , timeout , 1800.12 , 3928 , 1864
quicksort1000 , comp , clean , 0 , 0.20 , 3928 , 1772
quicksort1000 , exec , clean , 255 , 0.10 , 2024 , 56
quicksort1000 , comp , clean-hack , 0 , 0.20 , 3928 , 1604
quicksort1000 , exec , clean-hack , timeout , 1800.10 , 3928 , 1756
revnat100 , comp , clean , 0 , 0.20 , 3928 , 1788
revnat100 , exec , clean , 0 , 0.10 , 2024 , 60
revnat100 , comp , clean-hack , 0 , 0.20 , 3928 , 1604
revnat100 , exec , clean-hack , 0 , 0.10 , 2024 , 56
revnat1000 , comp , clean , 0 , 0.20 , 3928 , 1604
revnat1000 , exec , clean , 255 , 0.10 , 2024 , 56
revnat1000 , comp , clean-hack , 0 , 0.20 , 3928 , 1780
revnat1000 , exec , clean-hack , 0 , 0.20 , 3928 , 1784
revnat10000 , comp , clean , 0 , 0.20 , 3928 , 1728
revnat10000 , exec , clean , 255 , 0.10 , 2024 , 60
revnat10000 , comp , clean-hack , 0 , 0.20 , 3928 , 1604
