sieve1000 , comp , clean , 0 , 0.20 , 3924 , 1600
sieve1000 , exec , clean , timeout , 360.10 , 3924 , 1768
sieve2000 , comp , clean , 0 , 0.20 , 3924 , 1764
sieve2000 , exec , clean , timeout , 360.10 , 3924 , 1732
sieve10000 , comp , clean , 0 , 0.20 , 3924 , 1772
sieve10000 , exec , clean , timeout , 360.10 , 3924 , 1768
tak18 , comp , clean , 0 , 0.20 , 3924 , 1868
tak18 , exec , clean , 0 , 0.10 , 2020 , 52
tak36 , comp , clean , 0 , 0.20 , 3924 , 1724
tak36 , exec , clean , 0 , 0.50 , 3924 , 1600
benchexpr10 , comp , haskell , 0 , 1.50 , 3924 , 1868
benchexpr10 , exec , haskell , 0 , 0.10 , 2020 , 56
benchexpr20 , comp , haskell , 0 , 1.60 , 3924 , 1772
benchexpr20 , exec , haskell , 0 , 1.20 , 3924 , 1764
benchexpr22 , comp , haskell , 0 , 1.60 , 3924 , 1748
benchexpr22 , exec , haskell , 0 , 4.50 , 3924 , 1724
benchsym10 , comp , haskell , 0 , 1.60 , 3924 , 1728
benchsym10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 0 , 1.60 , 3924 , 1764
benchsym20 , exec , haskell , 0 , 0.80 , 3924 , 1776
benchsym22 , comp , haskell , 0 , 1.60 , 3924 , 1732
benchsym22 , exec , haskell , 0 , 2.70 , 3924 , 1656
benchtree10 , comp , haskell , 0 , 1.60 , 3924 , 1780
benchtree10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 0 , 1.60 , 3924 , 1788
benchtree20 , exec , haskell , 0 , 6.51 , 3924 , 1788
benchtree22 , comp , haskell , 0 , 1.60 , 3924 , 1768
benchtree22 , exec , haskell , 0 , 31.43 , 3924 , 1764
binarysearch , comp , haskell , 0 , 1.50 , 3924 , 1748
binarysearch , exec , haskell , 0 , 4.30 , 3924 , 1788
bubblesort10 , comp , haskell , 0 , 1.20 , 3924 , 1664
bubblesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , haskell , 0 , 1.20 , 3924 , 1764
bubblesort20 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , haskell , 0 , 1.30 , 3924 , 1724
bubblesort100 , exec , haskell , 0 , 0.10 , 2020 , 56
bubblesort720 , comp , haskell , 0 , 1.30 , 3924 , 1764
bubblesort720 , exec , haskell , 0 , 0.80 , 3924 , 1664
bubblesort1000 , comp , haskell , 0 , 1.20 , 3924 , 1772
bubblesort1000 , exec , haskell , 0 , 1.90 , 3924 , 1788
dart , comp , haskell , 0 , 1.30 , 3924 , 1716
dart , exec , haskell , 0 , 0.10 , 2020 , 52
evalexpr , comp , haskell , 0 , 1.40 , 3924 , 1744
evalexpr , exec , haskell , 0 , 1.10 , 3924 , 1764
evalsym , comp , haskell , 0 , 1.50 , 3924 , 1660
evalsym , exec , haskell , 0 , 43.64 , 3924 , 1788
evaltree , comp , haskell , 0 , 1.40 , 3924 , 1768
evaltree , exec , haskell , 0 , 4.80 , 3924 , 1768
factorial5 , comp , haskell , 0 , 1.10 , 3924 , 1732
factorial5 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial6 , comp , haskell , 0 , 1.10 , 3924 , 1660
factorial6 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial7 , comp , haskell , 0 , 1.10 , 3924 , 1784
factorial7 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial8 , comp , haskell , 0 , 1.10 , 3924 , 1872
