permutations6 , comp , clean , 0 , 0.20 , 3924 , 1660
permutations6 , exec , clean , 255 , 0.10 , 2020 , 52
permutations7 , comp , clean , 0 , 0.20 , 3924 , 1776
permutations7 , exec , clean , 255 , 0.10 , 2020 , 52
quicksort10 , comp , clean , 0 , 0.20 , 3924 , 1736
quicksort10 , exec , clean , 0 , 0.10 , 2020 , 52
quicksort100 , comp , clean , 0 , 0.20 , 3924 , 1748
quicksort100 , exec , clean , timeout , 360.01 , 3924 , 1664
quicksort1000 , comp , clean , 0 , 0.20 , 3924 , 1776
quicksort1000 , exec , clean , 255 , 0.10 , 2020 , 56
revnat100 , comp , clean , 0 , 0.20 , 3924 , 1776
revnat100 , exec , clean , 0 , 0.10 , 2020 , 56
revnat1000 , comp , clean , 0 , 0.20 , 3924 , 1724
revnat1000 , exec , clean , 255 , 0.10 , 2020 , 52
revnat10000 , comp , clean , 0 , 0.20 , 3924 , 1768
revnat10000 , exec , clean , 255 , 0.10 , 2020 , 52
sieve20 , comp , clean , 0 , 0.20 , 3924 , 1728
sieve20 , exec , clean , 0 , 0.10 , 2020 , 52
sieve100 , comp , clean , 0 , 0.20 , 3924 , 1824
sieve100 , exec , clean , 0 , 0.10 , 2020 , 56
sieve1000 , comp , clean , 0 , 0.20 , 3924 , 1600
sieve1000 , exec , clean , 0 , 0.20 , 3924 , 1752
sieve2000 , comp , clean , 0 , 0.20 , 3924 , 1596
sieve2000 , exec , clean , 255 , 0.10 , 2020 , 52
sieve10000 , comp , clean , 0 , 0.20 , 3924 , 1724
sieve10000 , exec , clean , 255 , 0.10 , 2020 , 52
tak18 , comp , clean , 0 , 0.20 , 3924 , 1764
tak18 , exec , clean , 0 , 0.10 , 2020 , 52
tak36 , comp , clean , 0 , 0.20 , 3924 , 1748
tak36 , exec , clean , 0 , 0.40 , 3924 , 1868
add8 , comp , haskell , 0 , 159.38 , 3924 , 1752
add8 , exec , haskell , 0 , 0.10 , 2020 , 56
add16 , comp , haskell , 0 , 142.85 , 3924 , 1716
add16 , exec , haskell , 0 , 0.10 , 2020 , 52
add32 , comp , haskell , 0 , 167.73 , 3924 , 1660
add32 , exec , haskell , 0 , 0.10 , 2020 , 52
benchexpr10 , comp , haskell , 0 , 1.60 , 3924 , 1716
benchexpr10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , haskell , 0 , 1.70 , 3924 , 1748
benchexpr20 , exec , haskell , 0 , 1.20 , 3924 , 1868
benchexpr22 , comp , haskell , 0 , 1.60 , 3924 , 1676
benchexpr22 , exec , haskell , 0 , 4.50 , 3924 , 1788
benchsym10 , comp , haskell , 0 , 1.60 , 3924 , 1724
benchsym10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 0 , 1.60 , 3924 , 1764
benchsym20 , exec , haskell , 0 , 0.80 , 3924 , 1716
benchsym22 , comp , haskell , 0 , 1.70 , 3924 , 1768
benchsym22 , exec , haskell , 0 , 2.70 , 3924 , 1784
benchtree10 , comp , haskell , 0 , 1.60 , 3924 , 1724
benchtree10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 0 , 1.60 , 3924 , 1776
benchtree20 , exec , haskell , 0 , 6.50 , 3924 , 1824
benchtree22 , comp , haskell , 0 , 1.70 , 3924 , 1824
benchtree22 , exec , haskell , 0 , 31.34 , 3924 , 1748
binarysearch , comp , haskell , 0 , 1.60 , 3924 , 1600
binarysearch , exec , haskell , 0 , 8.51 , 3924 , 1600
bubblesort10 , comp , haskell , 0 , 1.20 , 3924 , 1776
bubblesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , haskell , 0 , 1.30 , 3924 , 1748
bubblesort20 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , haskell , 0 , 1.20 , 3924 , 1872
bubblesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 0 , 1.20 , 3924 , 1748
bubblesort720 , exec , haskell , 0 , 0.80 , 3924 , 1664
bubblesort1000 , comp , haskell , 0 , 1.20 , 3924 , 1764
bubblesort1000 , exec , haskell , 0 , 1.90 , 3924 , 1736
dart , comp , haskell , 0 , 1.30 , 3924 , 1736
dart , exec , haskell , 0 , 0.10 , 2020 , 52
evalexpr , comp , haskell , 0 , 1.40 , 3924 , 1764
evalexpr , exec , haskell , 0 , 1.10 , 3924 , 1776
evalsym , comp , haskell , 0 , 1.50 , 3924 , 1784
evalsym , exec , haskell , 0 , 43.69 , 3924 , 1868
evaltree , comp , haskell , 0 , 1.40 , 3924 , 1724
evaltree , exec , haskell , 0 , 4.80 , 3924 , 1772
factorial5 , comp , haskell , 0 , 1.10 , 3924 , 1736
factorial5 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial6 , comp , haskell , 0 , 1.10 , 3924 , 1748
factorial6 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial7 , comp , haskell , 0 , 1.10 , 3924 , 1716
factorial7 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial8 , comp , haskell , 0 , 1.10 , 3924 , 1772
factorial8 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial9 , comp , haskell , 0 , 1.10 , 3924 , 1828
factorial9 , exec , haskell , 0 , 0.40 , 3924 , 1660
fib32 , comp , haskell , 0 , 1.50 , 3924 , 1784
fib32 , exec , haskell , 0 , 4.70 , 3924 , 1600
fibfree , comp , haskell , 0 , 1.70 , 3924 , 1596
fibfree , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1772
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 0 , 1.10 , 3924 , 1776
fibonacci18 , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci19 , comp , haskell , 0 , 1.10 , 3924 , 1716
fibonacci19 , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci20 , comp , haskell , 0 , 1.10 , 3924 , 1724
fibonacci20 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 0 , 1.10 , 3924 , 1784
fibonacci21 , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi8 , comp , haskell , 0 , 1.40 , 3924 , 1736
hanoi8 , exec , haskell , 0 , 0.10 , 2020 , 52
hanoi12 , comp , haskell , 0 , 1.40 , 3924 , 1724
hanoi12 , exec , haskell , 0 , 0.10 , 2020 , 56
hanoi16 , comp , haskell , 0 , 1.40 , 3924 , 1720
hanoi16 , exec , haskell , 0 , 0.40 , 3924 , 1792
hanoi20 , comp , haskell , 0 , 1.30 , 3924 , 1764
hanoi20 , exec , haskell , 0 , 6.61 , 3924 , 1724
intnat , comp , haskell , 0 , 23.43 , 3924 , 1736
intnat , exec , haskell , 0 , 0.10 , 2020 , 52
langton6 , comp , haskell , 0 , 2.40 , 3924 , 1724
langton6 , exec , haskell , 0 , 166.13 , 3924 , 1780
langton7 , comp , haskell , 0 , 2.30 , 3924 , 1768
langton7 , exec , haskell , 0 , 343.67 , 3924 , 1788
logic3 , comp , haskell , 0 , 1.20 , 3924 , 1792
logic3 , exec , haskell , 0 , 0.10 , 2020 , 52
maa , comp , haskell , 0 , 5.71 , 3924 , 1752
maa , exec , haskell , 0 , 2.70 , 3924 , 1768
merge , comp , haskell , 0 , 1.40 , 3924 , 1872
merge , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort10 , comp , haskell , 0 , 1.30 , 3924 , 1728
mergesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort100 , comp , haskell , 0 , 1.30 , 3924 , 1716
mergesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort1000 , comp , haskell , 0 , 1.30 , 3924 , 1820
mergesort1000 , exec , haskell , 0 , 0.50 , 3924 , 1552
missionaries2 , comp , haskell , 0 , 1.90 , 3924 , 1748
missionaries2 , exec , haskell , 0 , 0.10 , 2020 , 56
missionaries3 , comp , haskell , 0 , 1.90 , 3924 , 1768
missionaries3 , exec , haskell , 0 , 0.10 , 2020 , 52
mul8 , comp , haskell , 0 , 41.44 , 3924 , 1716
mul8 , exec , haskell , 0 , 0.10 , 2020 , 52
mul16 , comp , haskell , 0 , 63.67 , 3924 , 1732
mul16 , exec , haskell , 0 , 0.40 , 3924 , 1748
mul32 , comp , haskell , 0 , 105.32 , 3924 , 1736
mul32 , exec , haskell , 0 , 1.60 , 3924 , 1824
