benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1788
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1748
benchexpr20 , exec , clean , 0 , 0.20 , 3924 , 1868
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1872
benchexpr22 , exec , clean , 0 , 0.20 , 3924 , 1780
benchsym10 , comp , clean , 0 , 0.20 , 3924 , 1660
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 56
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1772
benchsym20 , exec , clean , 0 , 0.40 , 3924 , 1780
benchsym22 , comp , clean , 0 , 0.20 , 3924 , 1716
benchsym22 , exec , clean , 0 , 1.50 , 3924 , 1716
benchtree10 , comp , clean , 0 , 0.20 , 3924 , 1764
benchtree10 , exec , clean , 0 , 170.84 , 3924 , 1600
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1868
benchtree20 , exec , clean , timeout , 360.10 , 3924 , 1752
benchtree22 , comp , clean , 0 , 0.30 , 3924 , 1768
benchtree22 , exec , clean , timeout , 360.10 , 3924 , 1828
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1764
binarysearch , exec , clean , 0 , 1.10 , 3924 , 1780
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1724
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1736
bubblesort720 , exec , clean , 0 , 0.50 , 3924 , 1764
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1752
bubblesort1000 , exec , clean , 0 , 1.10 , 3924 , 1764
dart , comp , clean , 0 , 0.20 , 3924 , 1728
dart , exec , clean , 0 , 0.10 , 2020 , 52
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1868
evalexpr , exec , clean , 0 , 0.10 , 2020 , 56
evalsym , comp , clean , 0 , 0.20 , 3924 , 1752
evalsym , exec , clean , 0 , 23.22 , 3924 , 1716
evaltree , comp , clean , 0 , 0.20 , 3924 , 1656
evaltree , exec , clean , 0 , 0.60 , 3924 , 1684
factorial5 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial5 , exec , clean , 0 , 0.10 , 2020 , 52
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1764
factorial6 , exec , clean , 0 , 0.10 , 2020 , 52
factorial7 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial7 , exec , clean , 0 , 0.10 , 2020 , 56
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1776
factorial8 , exec , clean , 0 , 0.10 , 2020 , 52
factorial9 , comp , clean , 0 , 0.20 , 3924 , 1784
factorial9 , exec , clean , 0 , 0.10 , 2020 , 52
fib32 , comp , clean , 0 , 0.20 , 3924 , 1776
fib32 , exec , clean , 0 , 1.00 , 3924 , 1768
fibfree , comp , clean , 0 , 0.20 , 3924 , 1728
fibfree , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1788
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci18 , comp , clean , 0 , 0.20 , 3924 , 1720
fibonacci18 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci19 , comp , clean , 0 , 0.20 , 3924 , 1676
fibonacci19 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci20 , comp , clean , 0 , 0.20 , 3924 , 1732
fibonacci20 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci21 , comp , clean , 0 , 0.20 , 3924 , 1748
fibonacci21 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi4 , comp , clean , 0 , 0.20 , 3924 , 1780
hanoi4 , exec , clean , 0 , 0.10 , 2020 , 56
langton6 , comp , clean , 0 , 0.40 , 3924 , 1764
langton6 , exec , clean , 0 , 0.10 , 2020 , 56
langton7 , comp , clean , 0 , 0.40 , 3924 , 1792
langton7 , exec , clean , 0 , 0.10 , 2020 , 52
logic3 , comp , clean , 0 , 0.20 , 3924 , 1764
logic3 , exec , clean , 0 , 0.10 , 2020 , 52
merge , comp , clean , 0 , 0.20 , 3924 , 1776
merge , exec , clean , 0 , 0.10 , 2020 , 48
mergesort10 , comp , clean , 0 , 0.20 , 3924 , 1868
mergesort10 , exec , clean , 0 , 0.10 , 2020 , 56
mergesort100 , comp , clean , 0 , 0.20 , 3924 , 1732
mergesort100 , exec , clean , timeout , 360.10 , 3924 , 1596
mergesort1000 , comp , clean , 0 , 0.20 , 3924 , 1596
mergesort1000 , exec , clean , timeout , 360.10 , 3924 , 1728
missionaries2 , comp , clean , 0 , 0.20 , 3924 , 1780
missionaries2 , exec , clean , 0 , 0.10 , 2020 , 48
missionaries3 , comp , clean , 0 , 0.20 , 3924 , 1732
missionaries3 , exec , clean , 0 , 0.10 , 2020 , 52
permutations6 , comp , clean , 0 , 0.20 , 3924 , 1788
permutations6 , exec , clean , 0 , 0.10 , 2020 , 52
permutations7 , comp , clean , 0 , 0.20 , 3924 , 1748
permutations7 , exec , clean , 0 , 0.20 , 3924 , 1828
quicksort10 , comp , clean , 0 , 0.20 , 3924 , 1592
quicksort10 , exec , clean , 0 , 0.10 , 2020 , 56
quicksort100 , comp , clean , 0 , 0.20 , 3924 , 1768
quicksort100 , exec , clean , timeout , 360.10 , 3924 , 1784
quicksort1000 , comp , clean , 0 , 0.20 , 3924 , 1784
quicksort1000 , exec , clean , timeout , 360.09 , 3924 , 1664
revnat100 , comp , clean , 0 , 0.20 , 3924 , 1780
revnat100 , exec , clean , 0 , 0.10 , 2020 , 56
revnat1000 , comp , clean , 0 , 0.20 , 3924 , 1724
revnat1000 , exec , clean , 0 , 0.20 , 3924 , 1824
revnat10000 , comp , clean , 0 , 0.20 , 3924 , 1716
revnat10000 , exec , clean , 0 , 165.05 , 3924 , 1728
sieve20 , comp , clean , 0 , 0.20 , 3924 , 1724
sieve20 , exec , clean , 0 , 0.10 , 2020 , 52
sieve100 , comp , clean , 0 , 0.20 , 3924 , 1764
sieve100 , exec , clean , timeout , 360.10 , 3924 , 1784
sieve1000 , comp , clean , 0 , 0.20 , 3924 , 1760
sieve1000 , exec , clean , timeout , 360.10 , 3924 , 1748
sieve2000 , comp , clean , 0 , 0.20 , 3924 , 1764
sieve2000 , exec , clean , timeout , 360.09 , 3924 , 1764
sieve10000 , comp , clean , 0 , 0.20 , 3924 , 1824
sieve10000 , exec , clean , timeout , 360.10 , 3924 , 1768
tak18 , comp , clean , 0 , 0.20 , 3924 , 1764
tak18 , exec , clean , 0 , 0.10 , 2020 , 52
tak36 , comp , clean , 0 , 0.20 , 3924 , 1788
tak36 , exec , clean , 0 , 0.40 , 3924 , 1744
benchexpr10 , comp , haskell , 0 , 1.60 , 3924 , 1748
benchexpr10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchexpr20 , comp , haskell , 0 , 1.60 , 3924 , 1868
benchexpr20 , exec , haskell , 0 , 1.10 , 3924 , 1768
benchexpr22 , comp , haskell , 0 , 1.60 , 3924 , 1776
benchexpr22 , exec , haskell , 0 , 4.40 , 3924 , 1780
benchsym10 , comp , haskell , 0 , 1.60 , 3924 , 1716
benchsym10 , exec , haskell , 0 , 0.10 , 2020 , 56
benchsym20 , comp , haskell , 0 , 1.60 , 3924 , 1780
benchsym20 , exec , haskell , 0 , 0.70 , 3924 , 1780
benchsym22 , comp , haskell , 0 , 1.60 , 3924 , 1768
benchsym22 , exec , haskell , 0 , 2.70 , 3924 , 1732
benchtree10 , comp , haskell , 0 , 1.60 , 3924 , 1868
benchtree10 , exec , haskell , 0 , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 0 , 1.60 , 3924 , 1596
benchtree20 , exec , haskell , 0 , 6.61 , 3924 , 1660
benchtree22 , comp , haskell , 0 , 1.60 , 3924 , 1748
benchtree22 , exec , haskell , 0 , 31.33 , 3924 , 1776
binarysearch , comp , haskell , 0 , 1.50 , 3924 , 1748
binarysearch , exec , haskell , 0 , 4.30 , 3924 , 1768
bubblesort10 , comp , haskell , 0 , 1.30 , 3924 , 1596
bubblesort10 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , haskell , 0 , 1.20 , 3924 , 1768
bubblesort20 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort100 , comp , haskell , 0 , 1.20 , 3924 , 1788
bubblesort100 , exec , haskell , 0 , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 0 , 1.30 , 3924 , 1784
bubblesort720 , exec , haskell , 0 , 0.90 , 3924 , 1748
bubblesort1000 , comp , haskell , 0 , 1.20 , 3924 , 1736
bubblesort1000 , exec , haskell , 0 , 2.00 , 3924 , 1684
dart , comp , haskell , 0 , 1.30 , 3924 , 1792
dart , exec , haskell , 0 , 0.10 , 2020 , 52
evalexpr , comp , haskell , 0 , 1.50 , 3924 , 1828
evalexpr , exec , haskell , 0 , 1.20 , 3924 , 1780
evalsym , comp , haskell , 0 , 1.50 , 3924 , 1660
evalsym , exec , haskell , 0 , 43.94 , 3924 , 1732
evaltree , comp , haskell , 0 , 1.40 , 3924 , 1748
evaltree , exec , haskell , 0 , 4.80 , 3924 , 1768
factorial5 , comp , haskell , 0 , 1.10 , 3924 , 1736
factorial5 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial6 , comp , haskell , 0 , 1.10 , 3924 , 1784
factorial6 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial7 , comp , haskell , 0 , 1.10 , 3924 , 1724
factorial7 , exec , haskell , 0 , 0.10 , 2020 , 56
factorial8 , comp , haskell , 0 , 1.10 , 3924 , 1768
factorial8 , exec , haskell , 0 , 0.10 , 2020 , 52
factorial9 , comp , haskell , 0 , 1.10 , 3924 , 1772
factorial9 , exec , haskell , 0 , 0.40 , 3924 , 1788
fib32 , comp , haskell , 0 , 1.40 , 3924 , 1768
fib32 , exec , haskell , 0 , 4.70 , 3924 , 1736
fibfree , comp , haskell , 0 , 1.70 , 3924 , 1784
fibfree , exec , haskell , 0 , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 0 , 1.20 , 3924 , 1748
fibonacci05 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , haskell , 0 , 1.10 , 3924 , 1776
fibonacci18 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci19 , comp , haskell , 0 , 1.10 , 3924 , 1764
fibonacci19 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci20 , comp , haskell , 0 , 1.10 , 3924 , 1720
fibonacci20 , exec , haskell , 0 , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 0 , 1.10 , 3924 , 1724
fibonacci21 , exec , haskell , 0 , 0.10 , 2020 , 56
hanoi4 , comp , haskell , 0 , 1.40 , 3924 , 1788
hanoi4 , exec , haskell , 0 , 0.10 , 2020 , 52
langton6 , comp , haskell , 0 , 2.40 , 3924 , 1736
langton6 , exec , haskell , 0 , 165.74 , 3924 , 1764
langton7 , comp , haskell , 0 , 2.30 , 3924 , 1784
langton7 , exec , haskell , 0 , 344.08 , 3924 , 1728
logic3 , comp , haskell , 0 , 1.20 , 3924 , 1864
logic3 , exec , haskell , 0 , 0.10 , 2020 , 52
merge , comp , haskell , 0 , 1.30 , 3924 , 1688
merge , exec , haskell , 0 , 0.10 , 2020 , 52
mergesort10 , comp , haskell , 0 , 1.30 , 3924 , 1772
mergesort10 , exec , haskell , 0 , 0.10 , 2020 , 56
mergesort100 , comp , haskell , 0 , 1.40 , 3924 , 1660
mergesort100 , exec , haskell , 0 , 0.10 , 2020 , 56
mergesort1000 , comp , haskell , 0 , 1.40 , 3924 , 1724
mergesort1000 , exec , haskell , 0 , 0.50 , 3924 , 1748
missionaries2 , comp , haskell , 0 , 1.90 , 3924 , 1732
missionaries2 , exec , haskell , 0 , 0.10 , 2020 , 56
missionaries3 , comp , haskell , 0 , 1.90 , 3924 , 1776
missionaries3 , exec , haskell , 0 , 0.10 , 2020 , 48
permutations6 , comp , haskell , 0 , 1.30 , 3924 , 1736
permutations6 , exec , haskell , 0 , 0.10 , 2020 , 52
permutations7 , comp , haskell , 0 , 1.30 , 3924 , 1868
permutations7 , exec , haskell , 0 , 0.40 , 3924 , 1788
quicksort10 , comp , haskell , 0 , 1.30 , 3924 , 1748
quicksort10 , exec , haskell , 0 , 0.10 , 2020 , 52
quicksort100 , comp , haskell , 0 , 1.40 , 3924 , 1784
quicksort100 , exec , haskell , 0 , 0.10 , 2020 , 56
quicksort1000 , comp , haskell , 0 , 1.30 , 3924 , 1764
quicksort1000 , exec , haskell , 0 , 8.51 , 3924 , 1728
revnat100 , comp , haskell , 0 , 1.20 , 3924 , 1660
revnat100 , exec , haskell , 0 , 0.10 , 2020 , 52
revnat1000 , comp , haskell , 0 , 1.20 , 3924 , 1768
revnat1000 , exec , haskell , 0 , 0.50 , 3924 , 1768
revnat10000 , comp , haskell , 0 , 1.20 , 3924 , 1828
revnat10000 , exec , haskell , 0 , 161.38 , 3924 , 1724
sieve20 , comp , haskell , 0 , 1.40 , 3924 , 1596
sieve20 , exec , haskell , 0 , 0.10 , 2020 , 52
sieve100 , comp , haskell , 0 , 1.40 , 3924 , 1768
sieve100 , exec , haskell , 0 , 0.10 , 2020 , 52
sieve1000 , comp , haskell , 0 , 1.30 , 3924 , 1772
sieve1000 , exec , haskell , 0 , 0.20 , 3924 , 1736
sieve2000 , comp , haskell , 0 , 1.30 , 3924 , 1768
sieve2000 , exec , haskell , 0 , 0.90 , 3924 , 1868
sieve10000 , comp , haskell , 0 , 1.40 , 3924 , 1660
sieve10000 , exec , haskell , 0 , 54.86 , 3924 , 1724
tak18 , comp , haskell , 0 , 1.20 , 3924 , 1748
tak18 , exec , haskell , 0 , 0.10 , 2020 , 52
tak36 , comp , haskell , 0 , 1.20 , 3924 , 1748
tak36 , exec , haskell , 0 , 1.00 , 3924 , 1828
benchexpr10 , comp-exec , lnt , 0 , 1.60 , 3924 , 1732
benchexpr20 , comp-exec , lnt , 0 , 3.30 , 3924 , 1788
benchexpr22 , comp-exec , lnt , 0 , 8.21 , 3924 , 1736
benchsym10 , comp-exec , lnt , 0 , 1.70 , 3924 , 1824
benchsym20 , comp-exec , lnt , 0 , 2.70 , 3924 , 1868
benchsym22 , comp-exec , lnt , 0 , 5.50 , 3924 , 1724
benchtree10 , comp-exec , lnt , 1 , 23.42 , 3924 , 1728
benchtree20 , comp-exec , lnt , 1 , 23.22 , 3924 , 1724
benchtree22 , comp-exec , lnt , 1 , 23.32 , 3924 , 1788
binarysearch , comp-exec , lnt , 0 , 4.40 , 3924 , 1824
bubblesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1768
bubblesort20 , comp-exec , lnt , 0 , 1.30 , 3924 , 1664
bubblesort100 , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
bubblesort720 , comp-exec , lnt , 0 , 1.80 , 3924 , 1716
bubblesort1000 , comp-exec , lnt , 0 , 2.50 , 3924 , 1660
dart , comp-exec , lnt , 0 , 1.40 , 3924 , 1724
evalexpr , comp-exec , lnt , 0 , 2.20 , 3924 , 1768
evalsym , comp-exec , lnt , 0 , 26.52 , 3924 , 1596
evaltree , comp-exec , lnt , 0 , 2.40 , 3924 , 1728
factorial5 , comp-exec , lnt , 0 , 1.20 , 3924 , 1748
factorial6 , comp-exec , lnt , 0 , 1.20 , 3924 , 1664
factorial7 , comp-exec , lnt , 0 , 1.20 , 3924 , 1724
factorial8 , comp-exec , lnt , 0 , 1.20 , 3924 , 1728
factorial9 , comp-exec , lnt , 0 , 1.20 , 3924 , 1752
fib32 , comp-exec , lnt , 0 , 4.20 , 3924 , 1776
fibfree , comp-exec , lnt , 0 , 2.00 , 3924 , 1784
fibonacci05 , comp-exec , lnt , 0 , 1.20 , 3924 , 1776
fibonacci18 , comp-exec , lnt , 0 , 1.20 , 3924 , 1768
fibonacci19 , comp-exec , lnt , 0 , 1.20 , 3924 , 1716
fibonacci20 , comp-exec , lnt , 0 , 1.20 , 3924 , 1768
fibonacci21 , comp-exec , lnt , 0 , 1.20 , 3924 , 1772
hanoi4 , comp-exec , lnt , 0 , 1.30 , 3924 , 1732
langton6 , comp-exec , lnt , 0 , 35.83 , 3924 , 1784
langton7 , comp-exec , lnt , 0 , 49.84 , 3924 , 1596
logic3 , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
merge , comp-exec , lnt , 0 , 1.40 , 3924 , 1736
mergesort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1768
mergesort100 , comp-exec , lnt , 1 , 28.12 , 3924 , 1792
mergesort1000 , comp-exec , lnt , 1 , 27.72 , 3924 , 1768
missionaries2 , comp-exec , lnt , 0 , 1.70 , 3924 , 1788
missionaries3 , comp-exec , lnt , 0 , 1.60 , 3924 , 1824
permutations6 , comp-exec , lnt , 0 , 1.40 , 3924 , 1596
permutations7 , comp-exec , lnt , 0 , 1.70 , 3924 , 1728
quicksort10 , comp-exec , lnt , 0 , 1.30 , 3924 , 1752
quicksort100 , comp-exec , lnt , 1 , 37.83 , 3924 , 1732
quicksort1000 , comp-exec , lnt , 1 , 37.63 , 3924 , 1664
revnat100 , comp-exec , lnt , 0 , 1.30 , 3924 , 1764
revnat1000 , comp-exec , lnt , 0 , 1.40 , 3924 , 1748
revnat10000 , comp-exec , lnt , 0 , 7.71 , 3924 , 1744
sieve20 , comp-exec , lnt , 0 , 1.40 , 3924 , 1596
sieve100 , comp-exec , lnt , 0 , 1.40 , 3924 , 1728
sieve1000 , comp-exec , lnt , 0 , 1.50 , 3924 , 1720
sieve2000 , comp-exec , lnt , 0 , 2.00 , 3924 , 1768
sieve10000 , comp-exec , lnt , 0 , 81.57 , 3924 , 1716
tak18 , comp-exec , lnt , 0 , 1.30 , 3924 , 1776
tak36 , comp-exec , lnt , 0 , 1.90 , 3924 , 1764
benchexpr10 , comp-exec , lotos , 0 , 0.90 , 3924 , 1724
benchexpr20 , comp-exec , lotos , 0 , 2.50 , 3924 , 1868
benchexpr22 , comp-exec , lotos , 0 , 7.11 , 3924 , 1768
