add8 , comp , clean , kill-13 , 4.00 , 3924 , 1868
add16 , comp , clean , kill-13 , 2.80 , 3924 , 1776
add32 , comp , clean , kill-13 , 6.80 , 3924 , 1736
benchexpr10 , comp , clean , 0 , 0.20 , 3924 , 1748
benchexpr10 , exec , clean , 0 , 0.10 , 2020 , 48
benchexpr20 , comp , clean , 0 , 0.20 , 3924 , 1736
benchexpr20 , exec , clean , 0 , 0.10 , 2020 , 52
benchexpr22 , comp , clean , 0 , 0.20 , 3924 , 1868
benchexpr22 , exec , clean , 0 , 0.10 , 2020 , 52
benchsym10 , comp , clean , 0 , 0.30 , 3924 , 1748
benchsym10 , exec , clean , 0 , 0.10 , 2020 , 56
benchsym20 , comp , clean , 0 , 0.20 , 3924 , 1732
benchsym20 , exec , clean , 0 , 0.50 , 3924 , 1772
benchsym22 , comp , clean , 0 , 0.20 , 3924 , 1664
benchsym22 , exec , clean , 0 , 1.60 , 3924 , 1872
benchtree10 , comp , clean , 0 , 0.20 , 3924 , 1776
benchtree10 , exec , clean , 0 , 0.30 , 3924 , 1776
benchtree20 , comp , clean , 0 , 0.20 , 3924 , 1724
benchtree20 , exec , clean , 0 , 0.40 , 3924 , 1788
benchtree22 , comp , clean , 0 , 0.20 , 3924 , 1788
benchtree22 , exec , clean , 0 , 0.30 , 3924 , 1552
binarysearch , comp , clean , 0 , 0.20 , 3924 , 1824
binarysearch , exec , clean , 0 , 2.90 , 3924 , 1732
bubblesort10 , comp , clean , 0 , 0.20 , 3924 , 1720
bubblesort10 , exec , clean , 0 , 0.10 , 2020 , 52
bubblesort20 , comp , clean , 0 , 0.20 , 3924 , 1792
bubblesort20 , exec , clean , 0 , 0.10 , 2020 , 56
bubblesort100 , comp , clean , 0 , 0.20 , 3924 , 1732
bubblesort100 , exec , clean , 0 , 0.10 , 2020 , 48
bubblesort720 , comp , clean , 0 , 0.20 , 3924 , 1764
bubblesort720 , exec , clean , 0 , 0.40 , 3924 , 1868
bubblesort1000 , comp , clean , 0 , 0.20 , 3924 , 1796
bubblesort1000 , exec , clean , 0 , 1.30 , 3924 , 1872
dart , comp , clean , 0 , 0.20 , 3924 , 1776
dart , exec , clean , 0 , 0.10 , 2020 , 56
evalexpr , comp , clean , 0 , 0.20 , 3924 , 1736
evalexpr , exec , clean , 0 , 0.10 , 2020 , 56
evalsym , comp , clean , 0 , 0.20 , 3924 , 1764
evalsym , exec , clean , 0 , 26.15 , 3924 , 1780
evaltree , comp , clean , 0 , 0.20 , 3924 , 1724
evaltree , exec , clean , 0 , 0.10 , 2020 , 56
factorial5 , comp , clean , 0 , 0.20 , 3924 , 1792
factorial5 , exec , clean , 0 , 0.10 , 2020 , 52
factorial6 , comp , clean , 0 , 0.20 , 3924 , 1724
factorial6 , exec , clean , 0 , 0.10 , 2020 , 52
factorial7 , comp , clean , 0 , 0.30 , 3924 , 1788
factorial7 , exec , clean , 0 , 0.10 , 2020 , 56
factorial8 , comp , clean , 0 , 0.20 , 3924 , 1780
factorial8 , exec , clean , 0 , 0.10 , 2020 , 52
factorial9 , comp , clean , 0 , 0.20 , 3924 , 1784
factorial9 , exec , clean , 0 , 0.10 , 2020 , 52
fib32 , comp , clean , 0 , 0.20 , 3924 , 1792
fib32 , exec , clean , 0 , 1.10 , 3924 , 1772
fibfree , comp , clean , 0 , 0.20 , 3924 , 1712
fibfree , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci05 , comp , clean , 0 , 0.20 , 3924 , 1824
fibonacci05 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci18 , comp , clean , 0 , 0.20 , 3924 , 1748
fibonacci18 , exec , clean , 0 , 0.10 , 2020 , 52
fibonacci19 , comp , clean , 0 , 0.20 , 3924 , 1732
fibonacci19 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci20 , comp , clean , 0 , 0.20 , 3924 , 1716
fibonacci20 , exec , clean , 0 , 0.10 , 2020 , 56
fibonacci21 , comp , clean , 0 , 0.20 , 3924 , 1824
fibonacci21 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi8 , comp , clean , 0 , 0.30 , 3924 , 1788
hanoi8 , exec , clean , 0 , 0.10 , 2020 , 56
hanoi12 , comp , clean , 0 , 0.20 , 3924 , 1780
hanoi12 , exec , clean , 0 , 0.10 , 2020 , 52
hanoi16 , comp , clean , 0 , 0.20 , 3924 , 1792
hanoi16 , exec , clean , 0 , 0.10 , 2020 , 52
hanoi20 , comp , clean , 0 , 0.20 , 3924 , 1792
hanoi20 , exec , clean , 0 , 0.10 , 2020 , 52
intnat , comp , clean , 0 , 3.80 , 3924 , 1768
intnat , exec , clean , 0 , 0.10 , 2020 , 56
langton6 , comp , clean , 0 , 0.40 , 3924 , 1660
langton6 , exec , clean , 0 , 0.10 , 2020 , 56
langton7 , comp , clean , 0 , 0.40 , 3924 , 1732
langton7 , exec , clean , 0 , 0.10 , 2020 , 56
logic3 , comp , clean , 0 , 0.20 , 3924 , 1824
logic3 , exec , clean , 0 , 0.10 , 2020 , 52
maa , comp , clean , 0 , 0.50 , 3924 , 1716
maa , exec , clean , 0 , 0.10 , 2020 , 56
merge , comp , clean , 0 , 0.20 , 3924 , 1824
merge , exec , clean , 0 , 0.10 , 2020 , 52
mergesort10 , comp , clean , 0 , 0.20 , 3924 , 1684
mergesort10 , exec , clean , 0 , 0.10 , 2020 , 52
mergesort100 , comp , clean , 0 , 0.20 , 3924 , 1776
mergesort100 , exec , clean , timeout , 360.02 , 3924 , 1724
mergesort1000 , comp , clean , 0 , 0.20 , 3924 , 1776
mergesort1000 , exec , clean , 0 , 0.10 , 2020 , 56
missionaries2 , comp , clean , 0 , 0.20 , 3924 , 1600
missionaries2 , exec , clean , 0 , 0.10 , 2020 , 52
missionaries3 , comp , clean , 0 , 0.20 , 3924 , 1676
missionaries3 , exec , clean , 0 , 0.10 , 2020 , 52
mul8 , comp , clean , kill-13 , 1.60 , 3924 , 1736
mul16 , comp , clean , kill-13 , 2.50 , 3924 , 1824
mul32 , comp , clean , kill-13 , 4.31 , 3924 , 1724
natlist , comp , clean , 0 , 0.30 , 3924 , 1724
natlist , exec , clean , 0 , 0.10 , 2020 , 52
omul8 , comp , clean , kill-13 , 1.60 , 3924 , 1728
omul32 , comp , clean , kill-13 , 4.30 , 3924 , 1768
permutations6 , comp , clean , 0 , 0.20 , 3924 , 1736
permutations6 , exec , clean , 0 , 0.10 , 2020 , 56
permutations7 , comp , clean , 0 , 0.20 , 3924 , 1776
permutations7 , exec , clean , 0 , 0.10 , 2020 , 52
quicksort10 , comp , clean , 0 , 0.20 , 3924 , 1716
quicksort10 , exec , clean , 0 , 0.10 , 2020 , 52
quicksort100 , comp , clean , 0 , 0.20 , 3924 , 1732
quicksort100 , exec , clean , timeout , 360.01 , 3924 , 1728
quicksort1000 , comp , clean , 0 , 0.20 , 3924 , 1720
quicksort1000 , exec , clean , 0 , 0.10 , 2020 , 56
revnat100 , comp , clean , 0 , 0.20 , 3924 , 1596
revnat100 , exec , clean , 0 , 0.10 , 2020 , 52
revnat1000 , comp , clean , 0 , 0.20 , 3924 , 1736
revnat1000 , exec , clean , 0 , 0.10 , 2020 , 56
revnat10000 , comp , clean , 0 , 0.20 , 3924 , 1764
revnat10000 , exec , clean , 0 , 0.10 , 2020 , 52
sieve20 , comp , clean , 0 , 0.20 , 3924 , 1780
sieve20 , exec , clean , 0 , 0.10 , 2020 , 52
sieve100 , comp , clean , 0 , 0.20 , 3924 , 1868
