sieve20 , comp , haskell , 0 , 1.80 , 10076 , 1796
sieve20 , exec , haskell , 0 , 0.10 , 4080 , 76
sieve100 , comp , haskell , 0 , 1.80 , 10076 , 1848
sieve100 , exec , haskell , 0 , 0.10 , 4080 , 76
sieve1000 , comp , haskell , 0 , 1.80 , 10076 , 1888
sieve1000 , exec , haskell , 0 , 0.20 , 10076 , 1776
sieve2000 , comp , haskell , 0 , 1.80 , 10076 , 1884
sieve2000 , exec , haskell , 0 , 0.90 , 10076 , 1728
sieve10000 , comp , haskell , 0 , 1.80 , 10076 , 1904
sieve10000 , exec , haskell , 0 , 49.56 , 10076 , 1908
tak18 , comp , haskell , 0 , 1.60 , 10076 , 1796
tak18 , exec , haskell , 0 , 0.10 , 4080 , 76
tak36 , comp , haskell , 0 , 1.60 , 10076 , 1728
tak36 , exec , haskell , 0 , 1.00 , 10076 , 1904
benchexpr10 , comp-exec , lnt , 0 , 1.80 , 10076 , 1732
benchexpr20 , comp-exec , lnt , 0 , 3.31 , 10076 , 1908
benchexpr22 , comp-exec , lnt , 0 , 7.81 , 10076 , 1732
benchsym10 , comp-exec , lnt , 0 , 1.80 , 10076 , 1724
benchsym20 , comp-exec , lnt , 0 , 2.70 , 10076 , 1848
benchsym22 , comp-exec , lnt , 0 , 5.41 , 10076 , 1728
benchtree10 , comp-exec , lnt , timeout , 142.34 , 10076 , 1908
benchtree20 , comp-exec , lnt , timeout , 143.04 , 10076 , 1672
benchtree22 , comp-exec , lnt , timeout , 142.54 , 10076 , 1772
binarysearch , comp-exec , lnt , 0 , 7.41 , 10076 , 1724
bubblesort10 , comp-exec , lnt , 0 , 1.40 , 10076 , 1804
bubblesort20 , comp-exec , lnt , 0 , 1.40 , 10076 , 1668
bubblesort100 , comp-exec , lnt , 0 , 1.40 , 10076 , 1760
bubblesort720 , comp-exec , lnt , 0 , 1.90 , 10076 , 1756
bubblesort1000 , comp-exec , lnt , 0 , 2.60 , 10076 , 1760
dart , comp-exec , lnt , 0 , 1.50 , 10076 , 1680
evalexpr , comp-exec , lnt , 0 , 2.30 , 10076 , 1732
evalsym , comp-exec , lnt , 0 , 27.13 , 10076 , 1740
evaltree , comp-exec , lnt , 0 , 2.60 , 10076 , 1688
factorial5 , comp-exec , lnt , 0 , 1.40 , 10076 , 1780
factorial6 , comp-exec , lnt , 0 , 1.40 , 10076 , 1820
factorial7 , comp-exec , lnt , 0 , 1.40 , 10076 , 1688
factorial8 , comp-exec , lnt , 0 , 1.40 , 10076 , 1724
