add8 , comp-exec , cafeobj-a , 0 , 49.06 , 10076 , 1748
add16 , comp-exec , cafeobj-a , 0 , 47.94 , 10076 , 1920
add32 , comp-exec , cafeobj-a , 0 , 94.07 , 10076 , 1896
benchexpr10 , comp-exec , cafeobj-a , 0 , 0.90 , 10076 , 1744
benchexpr20 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1892
benchexpr22 , comp-exec , cafeobj-a , unexpected , 360.02 , 10076 , 1856
benchsym10 , comp-exec , cafeobj-a , 0 , 0.70 , 10076 , 1748
benchsym20 , comp-exec , cafeobj-a , unexpected , 360.10 , 10076 , 1916
benchsym22 , comp-exec , cafeobj-a , unexpected , 360.10 , 10076 , 1788
benchtree10 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1748
benchtree20 , comp-exec , cafeobj-a , kill-9 , 360.07 , 10076 , 1912
benchtree22 , comp-exec , cafeobj-a , kill-9 , 360.07 , 10076 , 1916
binarysearch , comp-exec , cafeobj-a , unexpected , 360.01 , 10076 , 1856
bubblesort10 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1808
bubblesort20 , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1896
bubblesort100 , comp-exec , cafeobj-a , 0 , 37.55 , 10076 , 1920
bubblesort720 , comp-exec , cafeobj-a , unexpected , 360.08 , 10076 , 1904
bubblesort1000 , comp-exec , cafeobj-a , unexpected , 360.08 , 10076 , 1744
closure , comp-exec , cafeobj-a , unexpected , 360.05 , 10076 , 1784
dart , comp-exec , cafeobj-a , unexpected , 360.03 , 10076 , 1744
evalexpr , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1856
evalsym , comp-exec , cafeobj-a , unexpected , 360.08 , 10076 , 1904
evaltree , comp-exec , cafeobj-a , unexpected , 360.04 , 10076 , 1784
factorial5 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1924
factorial6 , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1752
factorial7 , comp-exec , cafeobj-a , 0 , 6.31 , 10076 , 1808
factorial8 , comp-exec , cafeobj-a , kill-9 , 360.09 , 10076 , 1892
factorial9 , comp-exec , cafeobj-a , kill-9 , 360.02 , 10076 , 1744
fib32 , comp-exec , cafeobj-a , unexpected , 360.06 , 10076 , 1744
fibfree , comp-exec , cafeobj-a , 0 , 0.40 , 10076 , 1896
fibonacci18 , comp-exec , cafeobj-a , 0 , 4.91 , 10076 , 1908
fibonacci19 , comp-exec , cafeobj-a , 0 , 12.71 , 10076 , 1744
fibonacci20 , comp-exec , cafeobj-a , 0 , 35.34 , 10076 , 1760
fibonacci21 , comp-exec , cafeobj-a , 0 , 35.34 , 10076 , 1740
hanoi8 , comp-exec , cafeobj-a , 0 , 0.70 , 10076 , 1748
hanoi12 , comp-exec , cafeobj-a , 0 , 143.63 , 10076 , 1900
hanoi16 , comp-exec , cafeobj-a , unexpected , 360.09 , 10076 , 1744
hanoi20 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1920
intnat , comp-exec , cafeobj-a , 0 , 4.61 , 10076 , 1900
langton6 , comp-exec , cafeobj-a , kill-9 , 360.07 , 10076 , 1812
langton7 , comp-exec , cafeobj-a , kill-9 , 360.07 , 10076 , 1812
logic3 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1892
maa , comp-exec , cafeobj-a , unexpected , 360.04 , 10076 , 1864
merge , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1860
mergesort10 , comp-exec , cafeobj-a , 0 , 0.20 , 10076 , 1752
mergesort100 , comp-exec , cafeobj-a , unexpected , 360.09 , 10076 , 1908
mergesort1000 , comp-exec , cafeobj-a , timeout , 360.00 , 10076 , 1744
missionaries2 , comp-exec , cafeobj-a , 0 , 1.00 , 10076 , 1748
missionaries3 , comp-exec , cafeobj-a , 0 , 2.00 , 10076 , 1904
mul8 , comp-exec , cafeobj-a , 0 , 167.63 , 10076 , 1856
mul16 , comp-exec , cafeobj-a , unexpected , 360.08 , 10076 , 1852
mul32 , comp-exec , cafeobj-a , unexpected , 360.05 , 10076 , 1908
natlist , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1748
omul8 , comp-exec , cafeobj-a , 0 , 168.63 , 10076 , 1920
omul32 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1912
permutations6 , comp-exec , cafeobj-a , unexpected , 360.09 , 10076 , 1744
permutations7 , comp-exec , cafeobj-a , unexpected , 360.06 , 10076 , 1860
quicksort10 , comp-exec , cafeobj-a , 0 , 0.90 , 10076 , 1788
quicksort100 , comp-exec , cafeobj-a , unexpected , 360.01 , 10076 , 1896
quicksort1000 , comp-exec , cafeobj-a , timeout , 360.06 , 10076 , 1896
revnat100 , comp-exec , cafeobj-a , 0 , 15.22 , 10076 , 1784
revnat1000 , comp-exec , cafeobj-a , unexpected , 360.08 , 10076 , 1908
revnat10000 , comp-exec , cafeobj-a , timeout , 360.10 , 10076 , 1908
sieve20 , comp-exec , cafeobj-a , 0 , 0.30 , 10076 , 1896
sieve100 , comp-exec , cafeobj-a , 0 , 6.01 , 10076 , 1924
sieve1000 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1752
sieve2000 , comp-exec , cafeobj-a , timeout , 360.07 , 10076 , 1744
sieve10000 , comp-exec , cafeobj-a , unexpected , 360.03 , 10076 , 1752
tak18 , comp-exec , cafeobj-a , unexpected , 360.07 , 10076 , 1744
tak36 , comp-exec , cafeobj-a , unexpected , 360.05 , 10076 , 1712
add8 , comp-exec , cafeobj-b , 0 , 50.14 , 10076 , 1856
add16 , comp-exec , cafeobj-b , 0 , 49.14 , 10076 , 1748
add32 , comp-exec , cafeobj-b , 0 , 95.97 , 10076 , 1912
benchexpr10 , comp-exec , cafeobj-b , 0 , 1.10 , 10076 , 1752
benchexpr20 , comp-exec , cafeobj-b , unexpected , 360.07 , 10076 , 1904
benchexpr22 , comp-exec , cafeobj-b , unexpected , 360.05 , 10076 , 1744
