revnat1000 , comp-exec , lotos , 1.10 , 2272 , 1268
revnat100 , comp-exec , lotos , 1.10 , 2272 , 1268
sieve10000 , comp-exec , lotos , 89.47 , 2272 , 1408
sieve1000 , comp-exec , lotos , 1.40 , 2272 , 1252
sieve100 , comp-exec , lotos , 1.20 , 2272 , 1412
sieve2000 , comp-exec , lotos , 2.30 , 2272 , 1268
sieve20 , comp-exec , lotos , 1.20 , 2272 , 1416
tak18 , comp-exec , lotos , 1.20 , 2272 , 1232
tak36 , comp-exec , lotos , 2.30 , 2272 , 1212
benchexpr10 , comp , haskell , 7.41 , 119648 , 76152
benchexpr10 , exec , haskell , 0.10 , 2020 , 56
benchexpr20 , comp , haskell , 2.00 , 119648 , 76440
benchexpr20 , exec , haskell , 1.60 , 7548 , 4484
benchexpr22 , comp , haskell , 2.40 , 119648 , 76852
benchexpr22 , exec , haskell , 5.01 , 7548 , 4536
benchsym10 , comp , haskell , 2.00 , 119648 , 76300
benchsym10 , exec , haskell , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 2.50 , 119648 , 76784
benchsym20 , exec , haskell , 1.10 , 7548 , 3824
benchsym22 , comp , haskell , 2.40 , 119648 , 76728
benchsym22 , exec , haskell , 3.50 , 7548 , 4552
benchtree10 , comp , haskell , 2.21 , 119648 , 76808
benchtree10 , exec , haskell , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 2.10 , 119648 , 77148
benchtree20 , exec , haskell , 7.11 , 54652 , 51888
benchtree22 , comp , haskell , 2.00 , 119648 , 76600
benchtree22 , exec , haskell , 32.83 , 199036 , 196320
binarysearch , comp , haskell , 1.60 , 117600 , 77204
binarysearch , exec , haskell , 4.21 , 91508 , 88560
bubblesort1000 , comp , haskell , 1.40 , 118624 , 75732
bubblesort1000 , exec , haskell , 2.00 , 6504 , 3164
bubblesort100 , comp , haskell , 1.40 , 118624 , 75688
bubblesort100 , exec , haskell , 0.10 , 2020 , 56
bubblesort10 , comp , haskell , 1.30 , 118624 , 75860
bubblesort10 , exec , haskell , 0.10 , 2020 , 56
bubblesort20 , comp , haskell , 1.30 , 118624 , 75512
bubblesort20 , exec , haskell , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 1.40 , 118624 , 76492
bubblesort720 , exec , haskell , 0.90 , 6504 , 3220
dart , comp , haskell , 1.40 , 117600 , 74616
dart , exec , haskell , 0.10 , 2020 , 56
evalexpr , comp , haskell , 1.50 , 116576 , 73116
evalexpr , exec , haskell , 1.20 , 7540 , 4556
