asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , failed with exit status 1
tak , exec , haskell , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 1.20 , 115552 , 73276
tautologyhard , exec , haskell , 0.10 , 2020 , 56
asfsdfbenchmark , comp-exec , maude , failed with exit status 1
binarysearch , comp-exec , maude , failed with exit status 1
bubblesort , comp-exec , maude , 20.42 , 11632 , 9760
closure , comp-exec , maude , 0.70 , 11356 , 9252
dart , comp-exec , maude , 0.20 , 11956 , 9448
evalexpr , comp-exec , maude , failed with exit status 1
evalsym , comp-exec , maude , 220.39 , 10640 , 8544
evaltree , comp-exec , maude , 19.02 , 299472 , 297568
factorial6 , comp-exec , maude , 0.10 , 2020 , 52
factorial7 , comp-exec , maude , 0.20 , 13812 , 11612
factorial8 , comp-exec , maude , 0.20 , 14668 , 12700
factorial9 , comp-exec , maude , failed with exit status 1
fib32 , comp-exec , maude , 57.25 , 10944 , 8472
fibfree , comp-exec , maude , 0.10 , 2020 , 56
fibonacci , comp-exec , maude , failed with exit status 1
garbagecollection , comp-exec , maude , 0.10 , 2020 , 52
hanoi , comp-exec , maude , 0.20 , 13380 , 8740
langton , comp-exec , maude , failed with exit status 1
logic3 , comp-exec , maude , 0.20 , 13380 , 10060
merge , comp-exec , maude , 0.10 , 2020 , 52
mergesort , comp-exec , maude , 1.40 , 13380 , 9208
missionariescannibals , comp-exec , maude , failed with exit status 1
oddeven , comp-exec , maude , 3.50 , 13380 , 8704
permutations , comp-exec , maude , 0.20 , 13380 , 10044
quicksort , comp-exec , maude , 42.24 , 34132 , 32220
revelt , comp-exec , maude , 0.10 , 2020 , 52
revnat , comp-exec , maude , 48.85 , 16204 , 14492
sieve , comp-exec , maude , failed with exit status 1
tak , comp-exec , maude , 0.40 , 10528 , 8648
tautologyhard , comp-exec , maude , 0.20 , 10040 , 7892
asfsdfbenchmark , comp , mcrl2 , timed out after 2500
asfsdfbenchmark , comp , mcrl2-jittyc , timed out after 2500
binarysearch , comp , mcrl2 , 0.20 , 13488 , 9920
binarysearch , exec , mcrl2 , 267.53 , 14412 , 9488
binarysearch , comp , mcrl2-jittyc , 0.20 , 13620 , 9576
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort , comp , mcrl2 , 337.29 , 18648 , 15536
bubblesort , exec , mcrl2 , 5.81 , 17336 , 12268
bubblesort , comp , mcrl2-jittyc , 319.67 , 18644 , 15420
bubblesort , exec , mcrl2-jittyc , 18.02 , 17300 , 12872
closure , comp , mcrl2 , 3.91 , 22280 , 18128
closure , exec , mcrl2 , 0.20 , 14408 , 9428
closure , comp , mcrl2-jittyc , 3.80 , 23044 , 18128
closure , exec , mcrl2-jittyc , 13.51 , 14588 , 10560
dart , comp , mcrl2 , 0.20 , 12820 , 8868
dart , exec , mcrl2 , 0.20 , 15160 , 10572
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 52
dart , exec , mcrl2-jittyc , 11.01 , 15280 , 11260
evalexpr , comp , mcrl2 , 0.20 , 13224 , 9732
evalexpr , exec , mcrl2 , 45.65 , 14368 , 9252
evalexpr , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evalexpr , exec , mcrl2-jittyc , 15.42 , 14568 , 10384
evalsym , comp , mcrl2 , 0.10 , 2020 , 52
evalsym , exec , mcrl2 , 2266.41 , 14516 , 9848
evalsym , comp , mcrl2-jittyc , 0.10 , 2020 , 52
evalsym , exec , mcrl2-jittyc , 46.05 , 14548 , 10504
evaltree , comp , mcrl2 , 0.20 , 12952 , 9520
evaltree , exec , mcrl2 , 118.91 , 14416 , 9716
evaltree , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evaltree , exec , mcrl2-jittyc , 134.82 , 14500 , 10412
factorial6 , comp , mcrl2 , 0.10 , 2020 , 52
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 9868
factorial7 , comp , mcrl2 , 0.10 , 2020 , 56
factorial7 , exec , mcrl2 , 0.10 , 2020 , 52
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial7 , exec , mcrl2-jittyc , 9.31 , 14312 , 10136
factorial8 , comp , mcrl2 , 0.10 , 2020 , 56
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp , mcrl2 , 0.10 , 2020 , 52
factorial9 , exec , mcrl2 , failed with exit status 1
factorial9 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial9 , exec , mcrl2-jittyc , failed with exit status 1
fib32 , comp , mcrl2 , 0.10 , 2020 , 52
fib32 , exec , mcrl2 , 274.54 , 14280 , 9488
fib32 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fib32 , exec , mcrl2-jittyc , 22.52 , 14692 , 10532
fibfree , comp , mcrl2 , 0.30 , 15560 , 12000
fibfree , exec , mcrl2 , 0.10 , 2020 , 56
fibfree , comp , mcrl2-jittyc , 0.20 , 15560 , 10016
fibfree , exec , mcrl2-jittyc , 17.32 , 14556 , 10356
fibonacci , comp , mcrl2 , failed with exit status 1
fibonacci , comp , mcrl2-jittyc , failed with exit status 1
garbagecollection , comp , mcrl2 , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2 , 0.10 , 2020 , 52
garbagecollection , comp , mcrl2-jittyc , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2-jittyc , 10.72 , 14312 , 9860
hanoi , comp , mcrl2 , 0.10 , 2020 , 56
hanoi , exec , mcrl2 , 0.10 , 2020 , 56
hanoi , comp , mcrl2-jittyc , 0.10 , 2020 , 52
hanoi , exec , mcrl2-jittyc , 12.01 , 14408 , 10016
langton , comp , mcrl2 , 0.30 , 15628 , 12128
langton , exec , mcrl2 , failed with exit status 1
langton , comp , mcrl2-jittyc , 0.20 , 15628 , 11216
langton , exec , mcrl2-jittyc , failed with exit status 1
