asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
revnat , comp-exec , maude , 45.94 , 12328 , 11372
sieve , comp-exec , maude , failed with exit status 1
tak , comp-exec , maude , 0.40 , 7840 , 6624
tautologyhard , comp-exec , maude , 0.10 , 2020 , 56
asfsdfbenchmark , comp , mcrl2 , timed out after 2500
asfsdfbenchmark , comp , mcrl2-jittyc , timed out after 2500
binarysearch , comp , mcrl2 , 0.20 , 13620 , 9520
binarysearch , exec , mcrl2 , 269.83 , 14412 , 9432
binarysearch , comp , mcrl2-jittyc , 0.20 , 13620 , 9884
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort , comp , mcrl2 , 339.60 , 18640 , 15504
bubblesort , exec , mcrl2 , 5.71 , 17336 , 12260
bubblesort , comp , mcrl2-jittyc , 326.19 , 18648 , 15452
bubblesort , exec , mcrl2-jittyc , 18.12 , 17300 , 12800
closure , comp , mcrl2 , 3.81 , 22276 , 18120
closure , exec , mcrl2 , 0.20 , 14408 , 9288
closure , comp , mcrl2-jittyc , 3.80 , 23044 , 18464
closure , exec , mcrl2-jittyc , 13.51 , 14588 , 10392
dart , comp , mcrl2 , 0.10 , 2020 , 52
dart , exec , mcrl2 , 0.20 , 15160 , 10408
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 56
dart , exec , mcrl2-jittyc , 10.93 , 15192 , 11028
evalexpr , comp , mcrl2 , 0.10 , 2020 , 56
evalexpr , exec , mcrl2 , 45.94 , 14368 , 9840
evalexpr , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evalexpr , exec , mcrl2-jittyc , 15.42 , 14568 , 10576
evalsym , comp , mcrl2 , 0.20 , 13084 , 8816
evalsym , exec , mcrl2 , 2271.09 , 14516 , 9864
evalsym , comp , mcrl2-jittyc , 0.20 , 13084 , 9100
evalsym , exec , mcrl2-jittyc , 43.44 , 14548 , 10596
evaltree , comp , mcrl2 , 0.10 , 2020 , 52
evaltree , exec , mcrl2 , 119.00 , 14416 , 9792
evaltree , comp , mcrl2-jittyc , 0.10 , 2020 , 52
evaltree , exec , mcrl2-jittyc , 134.12 , 14500 , 10252
factorial6 , comp , mcrl2 , 0.10 , 2020 , 52
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 9880
factorial7 , comp , mcrl2 , 0.10 , 2020 , 52
factorial7 , exec , mcrl2 , 0.20 , 19532 , 15048
