revnat1000 , comp-exec , lotos , 1.00 , 2272 , 1344
revnat10000 , comp-exec , lotos , 7.21 , 2272 , 1264
sieve20 , comp-exec , lotos , 0.91 , 2272 , 1408
sieve100 , comp-exec , lotos , 0.90 , 2272 , 1208
sieve1000 , comp-exec , lotos , 1.11 , 2272 , 1208
sieve2000 , comp-exec , lotos , 1.50 , 2272 , 1336
sieve10000 , comp-exec , lotos , 86.88 , 2272 , 1264
tak18 , comp-exec , lotos , 0.90 , 2272 , 1204
tak36 , comp-exec , lotos , 1.70 , 2272 , 1344
benchexpr10 , comp , haskell , 1.70 , 119648 , 76512
benchexpr10 , exec , haskell , 0.10 , 2020 , 52
benchexpr20 , comp , haskell , 1.80 , 119648 , 76636
benchexpr20 , exec , haskell , 1.20 , 7548 , 4480
benchexpr22 , comp , haskell , 1.80 , 119648 , 76884
benchexpr22 , exec , haskell , 4.51 , 7548 , 4576
benchsym10 , comp , haskell , 1.80 , 119648 , 77768
benchsym10 , exec , haskell , 0.10 , 2020 , 52
benchsym20 , comp , haskell , 1.80 , 119648 , 76884
benchsym20 , exec , haskell , 0.90 , 7548 , 3832
benchsym22 , comp , haskell , 1.91 , 119648 , 76464
benchsym22 , exec , haskell , 2.90 , 7548 , 4532
benchtree10 , comp , haskell , 1.71 , 119648 , 76628
benchtree10 , exec , haskell , 0.10 , 2020 , 52
benchtree20 , comp , haskell , 1.81 , 119648 , 77900
benchtree20 , exec , haskell , 6.52 , 54652 , 51836
benchtree22 , comp , haskell , 1.81 , 119648 , 76296
benchtree22 , exec , haskell , 31.33 , 199036 , 196200
binarysearch , comp , haskell , 1.70 , 117600 , 76712
binarysearch , exec , haskell , 4.31 , 91508 , 88768
bubblesort10 , comp , haskell , 1.50 , 118624 , 76660
bubblesort10 , exec , haskell , 0.10 , 2020 , 56
bubblesort20 , comp , haskell , 1.40 , 118624 , 76712
bubblesort20 , exec , haskell , 0.10 , 2020 , 56
bubblesort100 , comp , haskell , 1.41 , 118624 , 76784
bubblesort100 , exec , haskell , 0.10 , 2020 , 52
bubblesort720 , comp , haskell , 1.40 , 118624 , 75552
bubblesort720 , exec , haskell , 0.90 , 6504 , 3284
bubblesort1000 , comp , haskell , 1.50 , 118624 , 77292
bubblesort1000 , exec , haskell , 2.20 , 6504 , 3212
dart , comp , haskell , 1.50 , 118624 , 77372
dart , exec , haskell , 0.10 , 2020 , 56
evalexpr , comp , haskell , 1.60 , 116576 , 74224
evalexpr , exec , haskell , 1.10 , 7540 , 4620
evalsym , comp , haskell , 1.70 , 118624 , 77460
evalsym , exec , haskell , 43.84 , 7540 , 4532
evaltree , comp , haskell , 1.50 , 116576 , 73764
evaltree , exec , haskell , 4.91 , 170352 , 167432
factorial5 , comp , haskell , 1.20 , 117600 , 75088
factorial5 , exec , haskell , 0.10 , 2020 , 56
factorial6 , comp , haskell , 1.30 , 117600 , 75292
factorial6 , exec , haskell , 0.10 , 2020 , 56
factorial7 , comp , haskell , 1.20 , 116576 , 75028
factorial7 , exec , haskell , 0.10 , 2020 , 52
factorial8 , comp , haskell , 1.20 , 117600 , 75020
factorial8 , exec , haskell , 0.10 , 2020 , 56
factorial9 , comp , haskell , 1.40 , 116576 , 75504
factorial9 , exec , haskell , 0.60 , 15708 , 12664
fib32 , comp , haskell , 1.70 , 118624 , 77180
fib32 , exec , haskell , 4.80 , 91508 , 88432
fibfree , comp , haskell , 1.90 , 117600 , 76964
fibfree , exec , haskell , 0.10 , 2020 , 56
fibonacci05 , comp , haskell , 1.41 , 117600 , 76788
fibonacci05 , exec , haskell , 0.10 , 2020 , 56
fibonacci18 , comp , haskell , 1.20 , 116576 , 75468
fibonacci18 , exec , haskell , 0.10 , 2020 , 56
fibonacci19 , comp , haskell , 1.20 , 116576 , 75120
fibonacci19 , exec , haskell , 0.10 , 2020 , 56
fibonacci20 , comp , haskell , 1.30 , 117600 , 75420
fibonacci20 , exec , haskell , 0.10 , 2020 , 52
fibonacci21 , comp , haskell , 1.20 , 117600 , 74868
fibonacci21 , exec , haskell , 0.10 , 2020 , 52
hanoi4 , comp , haskell , 1.61 , 118624 , 76456
hanoi4 , exec , haskell , 0.10 , 2020 , 52
langton6 , comp , haskell , 2.50 , 130912 , 90680
langton6 , exec , haskell , 167.24 , 11652 , 8920
langton7 , comp , haskell , 2.50 , 130912 , 90540
langton7 , exec , haskell , 344.09 , 12676 , 9868
