asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
factorial7 , comp , scala , 8.02 , 5136 , 2908
factorial7 , exec , scala , failed with exit status 1
factorial8 , comp , scala , 7.21 , 5136 , 2868
factorial8 , exec , scala , failed with exit status 1
factorial9 , comp , scala , 8.22 , 5136 , 2992
factorial9 , exec , scala , failed with exit status 1
fib32 , comp , scala , 11.52 , 5136 , 2856
fib32 , exec , scala , 3.21 , 1322024 , 247236
fibfree , comp , scala , 22.04 , 5136 , 2868
fibfree , exec , scala , 0.80 , 1310320 , 29272
fibonacci05 , comp , scala , 8.11 , 5136 , 2908
fibonacci05 , exec , scala , failed with exit status 1
fibonacci18 , comp , scala , 7.12 , 5136 , 2804
fibonacci18 , exec , scala , failed with exit status 1
fibonacci19 , comp , scala , 8.01 , 5136 , 3048
fibonacci19 , exec , scala , failed with exit status 1
fibonacci20 , comp , scala , 6.81 , 5136 , 2904
fibonacci20 , exec , scala , failed with exit status 1
fibonacci21 , comp , scala , 7.52 , 5136 , 2904
fibonacci21 , exec , scala , failed with exit status 1
garbagecollection , comp , scala , 8.81 , 5136 , 2984
garbagecollection , exec , scala , 0.70 , 1310376 , 27960
hanoi , comp , scala , 12.42 , 5136 , 2904
hanoi , exec , scala , 0.70 , 1310480 , 29196
langton , comp , scala , 184.09 , 5136 , 2804
langton , exec , scala , failed with exit status 1
logic3 , comp , scala , 9.22 , 5136 , 2804
logic3 , exec , scala , 0.80 , 1310512 , 26828
merge , comp , scala , 11.22 , 5136 , 2904
merge , exec , scala , 0.70 , 1310216 , 28796
mergesort , comp , scala , 10.81 , 5136 , 2908
mergesort , exec , scala , timed out after 2500
missionariescannibals , comp , tom , 19.85 , 2272 , 624
missionariescannibals , exec , tom , 0.80 , 1374272 , 23548
oddeven , comp , scala , 8.12 , 5136 , 2872
oddeven , exec , scala , 0.90 , 1314984 , 34288
permutations , comp , scala , 9.62 , 5136 , 2972
permutations , exec , scala , failed with exit status 1
quicksort , comp , scala , 10.42 , 5136 , 2988
quicksort , exec , scala , timed out after 2500
revelt , comp , scala , 9.22 , 5136 , 2908
revelt , exec , scala , 0.70 , 1310512 , 28452
revnat , comp , scala , 7.81 , 5136 , 3044
revnat , exec , scala , failed with exit status 1
sieve , comp , scala , 12.52 , 5136 , 2976
sieve , exec , scala , timed out after 2500
tak , comp , scala , 9.92 , 5136 , 2908
tak , exec , scala , 1.31 , 1317464 , 38372
tautologyhard , comp , scala , 9.51 , 5136 , 2868
tautologyhard , exec , scala , 0.70 , 1310480 , 28008
asfsdfbenchmark , comp-exec , sml-smlnj , timed out after 2500
asfsdfbenchmark , comp , sml-mlton , 6.61 , 2272 , 576
asfsdfbenchmark , exec , sml-mlton , timed out after 2500
binarysearch , comp-exec , sml-smlnj , failed with exit status 1
binarysearch , comp , sml-mlton , failed with exit status 1
bubblesort , comp-exec , sml-smlnj , 6.41 , 2272 , 620
bubblesort , comp , sml-mlton , 8.91 , 2272 , 632
bubblesort , exec , sml-mlton , 3.30 , 4232 , 2404
closure , comp-exec , sml-smlnj , 3.00 , 2272 , 572
closure , comp , sml-mlton , 9.41 , 2272 , 620
closure , exec , sml-mlton , 0.30 , 4116 , 2384
dart , comp-exec , sml-smlnj , 1.30 , 2272 , 580
dart , comp , sml-mlton , 9.01 , 2272 , 600
dart , exec , sml-mlton , 0.20 , 6036 , 1580
evalexpr , comp-exec , sml-smlnj , 1.71 , 2272 , 596
evalexpr , comp , sml-mlton , 8.71 , 2272 , 576
evalexpr , exec , sml-mlton , 0.70 , 52688 , 23980
evalsym , comp-exec , sml-smlnj , 23.52 , 2272 , 580
evalsym , comp , sml-mlton , 8.31 , 2272 , 596
evalsym , exec , sml-mlton , 7.41 , 3440 , 1552
evaltree , comp-exec , sml-smlnj , 4.11 , 2272 , 572
evaltree , comp , sml-mlton , 8.41 , 2272 , 620
evaltree , exec , sml-mlton , 0.80 , 3372 , 1544
factorial6 , comp-exec , sml-smlnj , 0.40 , 2272 , 588
factorial6 , comp , sml-mlton , 8.61 , 2272 , 628
factorial6 , exec , sml-mlton , 0.10 , 2020 , 56
factorial7 , comp-exec , sml-smlnj , 0.60 , 2272 , 588
factorial7 , comp , sml-mlton , 6.61 , 2272 , 600
factorial7 , exec , sml-mlton , 0.10 , 2020 , 56
factorial8 , comp-exec , sml-smlnj , 1.00 , 2272 , 592
factorial8 , comp , sml-mlton , 8.91 , 2272 , 600
factorial8 , exec , sml-mlton , 0.40 , 6916 , 3468
factorial9 , comp-exec , sml-smlnj , 3.20 , 2272 , 612
factorial9 , comp , sml-mlton , 7.51 , 2272 , 580
factorial9 , exec , sml-mlton , 1.90 , 37380 , 25840
fib32 , comp-exec , sml-smlnj , failed with exit status 1
fib32 , comp , sml-mlton , failed with exit status 1
fibfree , comp-exec , sml-smlnj , 2.50 , 2272 , 624
fibfree , comp , sml-mlton , 9.01 , 2272 , 588
fibfree , exec , sml-mlton , 0.10 , 2020 , 56
fibonacci05 , comp-exec , sml-smlnj , 0.50 , 2272 , 624
fibonacci05 , comp , sml-mlton , 7.61 , 2272 , 596
fibonacci05 , exec , sml-mlton , 0.10 , 2020 , 56
fibonacci18 , comp-exec , sml-smlnj , 0.30 , 2272 , 612
fibonacci18 , comp , sml-mlton , 7.01 , 2272 , 632
fibonacci18 , exec , sml-mlton , 0.10 , 2020 , 56
fibonacci19 , comp-exec , sml-smlnj , 0.41 , 2272 , 584
fibonacci19 , comp , sml-mlton , 8.01 , 2272 , 620
fibonacci19 , exec , sml-mlton , 0.10 , 2020 , 52
fibonacci20 , comp-exec , sml-smlnj , 0.60 , 2272 , 588
fibonacci20 , comp , sml-mlton , 6.71 , 2272 , 576
fibonacci20 , exec , sml-mlton , 0.20 , 4260 , 1496
fibonacci21 , comp-exec , sml-smlnj , 0.70 , 2272 , 632
fibonacci21 , comp , sml-mlton , 8.92 , 2272 , 584
fibonacci21 , exec , sml-mlton , 0.10 , 2020 , 52
garbagecollection , comp-exec , sml-smlnj , 0.50 , 2272 , 612
garbagecollection , comp , sml-mlton , 6.81 , 2272 , 620
garbagecollection , exec , sml-mlton , 0.10 , 2020 , 52
hanoi , comp-exec , sml-smlnj , 0.40 , 2272 , 616
hanoi , comp , sml-mlton , 8.71 , 2272 , 596
hanoi , exec , sml-mlton , 0.10 , 2020 , 52
langton , comp-exec , sml-smlnj , 120.43 , 2272 , 608
langton , comp , sml-mlton , 9.31 , 2272 , 596
langton , exec , sml-mlton , 26.83 , 39920 , 35852
logic3 , comp-exec , sml-smlnj , 0.60 , 2272 , 592
logic3 , comp , sml-mlton , 8.81 , 2272 , 624
logic3 , exec , sml-mlton , 0.10 , 2020 , 56
merge , comp-exec , sml-smlnj , failed with exit status 1
merge , comp , sml-mlton , failed with exit status 1
mergesort , comp-exec , sml-smlnj , timed out after 2500
mergesort , comp , sml-mlton , 6.41 , 2272 , 616
mergesort , exec , sml-mlton , timed out after 2500
missionariescannibals , comp-exec , sml-smlnj , failed with exit status 1
missionariescannibals , comp , sml-mlton , failed with exit status 1
oddeven , comp-exec , sml-smlnj , 0.20 , 2272 , 636
oddeven , comp , sml-mlton , 6.21 , 2272 , 628
oddeven , exec , sml-mlton , 0.10 , 2020 , 56
permutations , comp-exec , sml-smlnj , 1.50 , 2272 , 636
permutations , comp , sml-mlton , 6.31 , 2272 , 576
permutations , exec , sml-mlton , 0.91 , 13868 , 12132
quicksort , comp-exec , sml-smlnj , timed out after 2500
quicksort , comp , sml-mlton , 6.21 , 2272 , 592
quicksort , exec , sml-mlton , timed out after 2500
revelt , comp-exec , sml-smlnj , 0.30 , 2272 , 632
revelt , comp , sml-mlton , 6.32 , 2272 , 616
revelt , exec , sml-mlton , 0.10 , 2020 , 56
revnat , comp-exec , sml-smlnj , 250.06 , 2272 , 584
revnat , comp , sml-mlton , 6.42 , 2272 , 588
revnat , exec , sml-mlton , 207.32 , 10348 , 8512
sieve , comp-exec , sml-smlnj , timed out after 2500
sieve , comp , sml-mlton , 6.41 , 2272 , 592
sieve , exec , sml-mlton , timed out after 2500
tak , comp-exec , sml-smlnj , 0.20 , 2272 , 608
tak , comp , sml-mlton , 6.30 , 2272 , 616
tak , exec , sml-mlton , 0.10 , 2020 , 52
tautologyhard , comp-exec , sml-smlnj , 0.30 , 2272 , 584
tautologyhard , comp , sml-mlton , 6.30 , 2272 , 580
tautologyhard , exec , sml-mlton , 0.10 , 2020 , 56
asfsdfbenchmark , comp , tom , 33.54 , 2272 , 632
asfsdfbenchmark , exec , tom , timed out after 2500
binarysearch , comp , tom , 17.63 , 2272 , 580
binarysearch , exec , tom , failed with exit status 1
bubblesort , comp , tom , failed with exit status 1
closure , comp , tom , 11.43 , 2272 , 596
closure , exec , tom , 0.80 , 1312772 , 23900
dart , comp , tom , 11.82 , 2272 , 616
dart , exec , tom , failed with exit status 1
evalexpr , comp , tom , 12.82 , 2272 , 604
evalexpr , exec , tom , 7.51 , 1316240 , 26872
evalsym , comp , tom , 14.74 , 2272 , 592
evalsym , exec , tom , 297.80 , 1316748 , 26180
evaltree , comp , tom , 14.82 , 2272 , 596
evaltree , exec , tom , 9.41 , 1324424 , 33928
factorial6 , comp , tom , 5.51 , 2272 , 620
factorial6 , exec , tom , 0.30 , 1309252 , 19060
factorial7 , comp , tom , 6.11 , 2272 , 620
factorial7 , exec , tom , 0.40 , 1309252 , 20196
factorial8 , comp , tom , 5.51 , 2272 , 616
factorial8 , exec , tom , failed with exit status 1
factorial9 , comp , tom , 5.81 , 2272 , 600
factorial9 , exec , tom , failed with exit status 1
fib32 , comp , tom , 16.33 , 2272 , 596
fib32 , exec , tom , 8.52 , 1316792 , 28144
fibfree , comp , tom , 19.86 , 2272 , 620
fibfree , exec , tom , 0.40 , 1309108 , 19220
fibonacci05 , comp , tom , failed with exit status 1
fibonacci18 , comp , tom , 4.71 , 2272 , 624
fibonacci18 , exec , tom , 0.40 , 1309536 , 20880
fibonacci19 , comp , tom , 4.71 , 2272 , 616
fibonacci19 , exec , tom , 0.40 , 1310532 , 21168
fibonacci20 , comp , tom , 5.51 , 2272 , 572
fibonacci20 , exec , tom , failed with exit status 1
fibonacci21 , comp , tom , 6.31 , 2272 , 584
fibonacci21 , exec , tom , failed with exit status 1
garbagecollection , comp , tom , 6.01 , 2272 , 576
garbagecollection , exec , tom , 0.30 , 1309388 , 18876
hanoi , comp , tom , 7.81 , 2272 , 588
hanoi , exec , tom , 0.40 , 1308968 , 16692
langton , comp , tom , 23.45 , 2272 , 636
langton , exec , tom , failed with exit status 1
logic3 , comp , tom , 10.51 , 2272 , 636
logic3 , exec , tom , 0.30 , 1309252 , 18488
mergesort , comp , tom , 9.22 , 2272 , 624
mergesort , exec , tom , failed with exit status 129
merge , comp , tom , 8.74 , 2272 , 616
merge , exec , tom , 0.40 , 1309388 , 19328
missionariescannibals , comp , tom , 14.92 , 2272 , 584
missionariescannibals , exec , tom , failed with exit status 1
oddeven , comp , tom , 5.51 , 2272 , 632
oddeven , exec , tom , 0.41 , 1309724 , 20124
permutations , comp , tom , 7.81 , 2272 , 600
permutations , exec , tom , 1.50 , 1313860 , 34008
quicksort , comp , tom , 10.11 , 2272 , 620
quicksort , exec , tom , failed with exit status 129
revelt , comp , tom , 6.52 , 2272 , 628
revelt , exec , tom , 0.40 , 1309252 , 18952
revnat , comp , tom , 7.61 , 2272 , 576
revnat , exec , tom , failed with exit status 1
sieve , comp , tom , 14.64 , 2272 , 628
sieve , exec , tom , failed with exit status 129
tak , comp , tom , 7.81 , 2272 , 628
tak , exec , tom , 0.90 , 1319676 , 27804
tautologyhard , comp , tom , 14.72 , 2272 , 592
tautologyhard , exec , tom , 0.40 , 1309252 , 19332
