asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
hanoi , exec , haskell , 0.10 , 2020 , 56
langton , comp , haskell , 2.40 , 130912 , 90540
langton , exec , haskell , 344.29 , 12676 , 9820
logic3 , comp , haskell , 1.20 , 117600 , 74856
logic3 , exec , haskell , 0.10 , 2020 , 52
merge , comp , haskell , 1.40 , 115552 , 73700
merge , exec , haskell , 0.10 , 2020 , 52
mergesort , comp , haskell , 1.40 , 117600 , 75160
mergesort , exec , haskell , 0.60 , 6512 , 3436
missionariescannibals , comp , haskell , 2.20 , 119648 , 79112
missionariescannibals , exec , haskell , 0.10 , 2020 , 56
oddeven , comp , haskell , 1.20 , 116576 , 75160
oddeven , exec , haskell , 0.20 , 6500 , 3168
permutations , comp , haskell , 1.40 , 118624 , 76116
permutations , exec , haskell , 0.40 , 8556 , 5616
quicksort , comp , haskell , 1.51 , 117600 , 75716
quicksort , exec , haskell , 7.61 , 20848 , 17420
revelt , comp , haskell , 1.30 , 117600 , 74808
revelt , exec , haskell , 0.10 , 2020 , 52
revnat , comp , haskell , 1.30 , 117600 , 75400
revnat , exec , haskell , 192.93 , 8548 , 5544
sieve , comp , haskell , 1.50 , 116576 , 73548
sieve , exec , haskell , 58.67 , 8564 , 4880
tak , comp , haskell , 1.30 , 117600 , 75312
tak , exec , haskell , 0.10 , 2020 , 56
tautologyhard , comp , haskell , 1.20 , 115552 , 71944
tautologyhard , exec , haskell , 0.10 , 2020 , 52
asfsdfbenchmark , comp-exec , maude , failed with exit status 1
binarysearch , comp-exec , maude , failed with exit status 1
bubblesort , comp-exec , maude , 22.04 , 11636 , 9528
closure , comp-exec , maude , 0.70 , 12220 , 10220
dart , comp-exec , maude , 0.20 , 11548 , 9540
evalexpr , comp-exec , maude , 17.62 , 59700 , 57564
evalsym , comp-exec , maude , 728.31 , 10648 , 8864
evaltree , comp-exec , maude , 46.05 , 299480 , 297304
factorial6 , comp-exec , maude , 0.20 , 14404 , 12196
factorial7 , comp-exec , maude , 0.10 , 2020 , 56
factorial8 , comp-exec , maude , 0.20 , 12396 , 10316
factorial9 , comp-exec , maude , failed with exit status 1
fib32 , comp-exec , maude , 50.55 , 10940 , 8476
fibfree , comp-exec , maude , 0.20 , 12220 , 10216
fibonacci05 , comp-exec , maude , 0.10 , 2020 , 56
fibonacci18 , comp-exec , maude , 0.10 , 2020 , 56
fibonacci19 , comp-exec , maude , 0.20 , 11272 , 9264
fibonacci20 , comp-exec , maude , 0.20 , 11924 , 10220
fibonacci21 , comp-exec , maude , 0.20 , 11360 , 9104
garbagecollection , comp-exec , maude , 0.10 , 2020 , 52
hanoi , comp-exec , maude , 0.10 , 2020 , 52
langton , comp-exec , maude , failed with exit status 1
logic3 , comp-exec , maude , 0.10 , 2020 , 52
merge , comp-exec , maude , 0.20 , 10216 , 8376
mergesort , comp-exec , maude , 1.40 , 14404 , 11916
missionariescannibals , comp-exec , maude , 0.20 , 11952 , 9892
oddeven , comp-exec , maude , 3.40 , 10480 , 8640
permutations , comp-exec , maude , 1.00 , 13808 , 12148
quicksort , comp-exec , maude , 42.04 , 34136 , 32620
revelt , comp-exec , maude , 0.10 , 2020 , 56
revnat , comp-exec , maude , 49.44 , 16200 , 14616
sieve , comp-exec , maude , 642.65 , 14472 , 12660
tak , comp-exec , maude , 0.40 , 12628 , 10260
tautologyhard , comp-exec , maude , 0.10 , 2020 , 52
asfsdfbenchmark , comp , mcrl2 , timed out after 2500
asfsdfbenchmark , comp , mcrl2-jittyc , timed out after 2500
binarysearch , comp , mcrl2 , 0.20 , 13620 , 10020
binarysearch , exec , mcrl2 , 264.32 , 14412 , 9284
binarysearch , comp , mcrl2-jittyc , 0.20 , 13488 , 9944
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort , comp , mcrl2 , 316.96 , 18644 , 15424
bubblesort , exec , mcrl2 , 5.81 , 17332 , 12268
bubblesort , comp , mcrl2-jittyc , 321.07 , 18644 , 15548
bubblesort , exec , mcrl2-jittyc , 18.22 , 17304 , 12600
closure , comp , mcrl2 , 3.90 , 22444 , 19388
closure , exec , mcrl2 , 0.20 , 14408 , 9380
closure , comp , mcrl2-jittyc , 3.80 , 22280 , 18212
closure , exec , mcrl2-jittyc , 13.71 , 14588 , 10332
dart , comp , mcrl2 , 0.20 , 12820 , 9236
dart , exec , mcrl2 , failed with exit status 1
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 52
dart , exec , mcrl2-jittyc , failed with exit status 1
evalexpr , comp , mcrl2 , 0.20 , 13224 , 9216
evalexpr , exec , mcrl2 , 94.39 , 14368 , 9820
evalexpr , comp , mcrl2-jittyc , 0.20 , 13224 , 9768
evalexpr , exec , mcrl2-jittyc , 15.72 , 14584 , 10332
evalsym , comp , mcrl2 , 0.10 , 2020 , 52
evalsym , exec , mcrl2 , timed out after 2500
evalsym , comp , mcrl2-jittyc , 0.10 , 2020 , 52
evalsym , exec , mcrl2-jittyc , 56.35 , 14552 , 10368
evaltree , comp , mcrl2 , 0.20 , 12952 , 9016
evaltree , exec , mcrl2 , 249.01 , 14420 , 9288
evaltree , comp , mcrl2-jittyc , 0.10 , 2020 , 52
evaltree , exec , mcrl2-jittyc , 263.12 , 14484 , 10192
factorial6 , comp , mcrl2 , 0.10 , 2020 , 56
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
