tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 5.2 , 89160 , 59660
haskell , 15 , 0 , 0 , 0 , 100% , 21.4 , 91064 , 61288
lnt , 15 , 0 , 0 , 0 , 100% , 21 , 58860 , 25928
lotos , 15 , 0 , 0 , 0 , 100% , 11.1 , 58860 , 26664
maude , 15 , 0 , 0 , 0 , 100% , 6.9 , 53148 , 21008
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 20.01 , 73928 , 43980
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 166.16 , 96776 , 64012
ocaml , 15 , 0 , 0 , 0 , 100% , 4.3 , 72024 , 42036
opal , 14 , 0 , 0 , 1 , 93.3% , 162.22 , 87140 , 57420
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 488.09 , 109872 , 77224
rascal-interp , 15 , 0 , 0 , 0 , 100% , 145.4 , 58860 , 26092
scala , 14 , 1 , 0 , 0 , 93.3% , 112.86 , 113796 , 81236
sml-mlton , 15 , 0 , 0 , 0 , 100% , 99.62 , 89160 , 59644
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.6 , 58860 , 25948
tom , 14 , 1 , 0 , 0 , 93.3% , 99.95 , 113796 , 81184
