tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 5.5 , 212340 , 152384
clean-hack , 14 , 0 , 1 , 0 , 93.3% , 7.5 , 212340 , 152376
haskell , 15 , 0 , 0 , 0 , 100% , 32.71 , 218336 , 154036
lnt , 15 , 0 , 0 , 0 , 100% , 22.01 , 151140 , 27724
lotos , 15 , 0 , 0 , 0 , 100% , 10.7 , 151140 , 27540
maude , 15 , 0 , 0 , 0 , 100% , 5.2 , 73192 , 4648
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.41 , 140388 , 71892
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 165.99 , 212340 , 88584
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5 , 212340 , 152372
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 134392 , 70240
opal , 15 , 0 , 0 , 0 , 100% , 17.3 , 212340 , 152392
rascal-compil , 15 , 0 , 0 , 0 , 100% , 385.65 , 302280 , 179200
rascal-interp , 15 , 0 , 0 , 0 , 100% , 95.47 , 151140 , 27620
scala , 15 , 0 , 0 , 0 , 100% , 128.63 , 302280 , 179400
sml-mlton , 15 , 0 , 0 , 0 , 100% , 145.85 , 212340 , 152376
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.5 , 151140 , 27696
stratego , 15 , 0 , 0 , 0 , 100% , 151.17 , 151140 , 27576
tom-a , 15 , 0 , 0 , 0 , 100% , 109.79 , 302280 , 178940
tom-b , 15 , 0 , 0 , 0 , 100% , 84.18 , 302280 , 179068
