tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 212340 , 152304
haskell , 15 , 0 , 0 , 0 , 100% , 31.41 , 218336 , 154152
lnt , 15 , 0 , 0 , 0 , 100% , 22.3 , 151140 , 27796
lotos , 15 , 0 , 0 , 0 , 100% , 10.7 , 151140 , 27836
maude , 15 , 0 , 0 , 0 , 100% , 5.4 , 73192 , 4704
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.61 , 140388 , 71916
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 165.86 , 212340 , 88496
ocaml , 15 , 0 , 0 , 0 , 100% , 3.4 , 140388 , 76184
opal , 15 , 0 , 0 , 0 , 100% , 16.9 , 212340 , 152328
rascal-compil , 15 , 0 , 0 , 0 , 100% , 384.67 , 302280 , 178820
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.88 , 151140 , 27100
scala , 15 , 0 , 0 , 0 , 100% , 124.78 , 302280 , 178868
sml-mlton , 15 , 0 , 0 , 0 , 100% , 145.06 , 212340 , 152324
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 27728
stratego , 15 , 0 , 0 , 0 , 100% , 150.71 , 151140 , 27584
tom-a , 15 , 0 , 0 , 0 , 100% , 107.29 , 302280 , 178036
tom-b , 15 , 0 , 0 , 0 , 100% , 83.48 , 302280 , 178680
