tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 226496 , 162472
haskell , 16 , 0 , 0 , 0 , 100% , 35.71 , 232492 , 164296
lnt , 16 , 0 , 0 , 0 , 100% , 25.4 , 161216 , 29324
lotos , 16 , 0 , 0 , 0 , 100% , 12.8 , 161216 , 29616
maude , 16 , 0 , 0 , 0 , 100% , 6.2 , 89264 , 8144
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 16.01 , 166536 , 89740
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 179.39 , 238488 , 106812
ocaml , 16 , 0 , 0 , 0 , 100% , 4.5 , 166536 , 93920
opal , 15 , 0 , 0 , 1 , 93.8% , 158.17 , 222416 , 154120
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 510.81 , 302280 , 170492
rascal-interp , 16 , 0 , 0 , 0 , 100% , 142.37 , 161216 , 29696
scala , 15 , 1 , 0 , 0 , 93.8% , 137.05 , 312356 , 180396
sml-mlton , 16 , 0 , 0 , 0 , 100% , 157.16 , 226496 , 162468
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.1 , 161216 , 29368
stratego , 16 , 0 , 0 , 0 , 100% , 180.77 , 161216 , 29572
tom , 15 , 1 , 0 , 0 , 93.8% , 121.01 , 312356 , 180548
