tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 15 , 0 , 0 , 0 , 100% , 30.92 , 58860 , 26088
cafeobj-b , 15 , 0 , 0 , 0 , 100% , 5.6 , 58860 , 26380
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59708
clean-hack , 15 , 0 , 0 , 0 , 100% , 4.6 , 91064 , 61432
haskell , 15 , 0 , 0 , 0 , 100% , 19 , 91064 , 61388
lnt , 15 , 0 , 0 , 0 , 100% , 19.5 , 58860 , 26496
lotos , 15 , 0 , 0 , 0 , 100% , 10 , 58860 , 26488
maude , 15 , 0 , 0 , 0 , 100% , 5 , 32204 , 2560
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.72 , 62504 , 32968
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 165.38 , 89160 , 56304
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.8 , 89160 , 59720
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.1 , 62504 , 32892
opal , 15 , 0 , 0 , 0 , 100% , 19.1 , 89160 , 59712
rascal-compil , 15 , 0 , 0 , 0 , 100% , 398.94 , 117720 , 85100
rascal-interp , 15 , 0 , 0 , 0 , 100% , 90.98 , 58860 , 26092
scala , 15 , 0 , 0 , 0 , 100% , 113.36 , 117720 , 85272
sml-mlton , 15 , 0 , 0 , 0 , 100% , 95.79 , 89160 , 59724
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.4 , 58860 , 26636
stratego , 15 , 0 , 0 , 0 , 100% , 139.29 , 58860 , 25924
tom-a , 15 , 0 , 0 , 0 , 100% , 93.09 , 117720 , 85132
tom-b , 15 , 0 , 0 , 0 , 100% , 75.73 , 117720 , 85264
