tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5 , 97008 , 65364
haskell , 16 , 0 , 0 , 0 , 100% , 22.71 , 97008 , 65456
lnt , 16 , 0 , 0 , 0 , 100% , 21.4 , 62784 , 28504
lotos , 16 , 0 , 0 , 0 , 100% , 11.5 , 62784 , 27908
maude , 16 , 0 , 0 , 0 , 100% , 6.2 , 38032 , 5788
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.51 , 72256 , 40248
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 179.37 , 98912 , 64192
ocaml , 16 , 0 , 0 , 0 , 100% , 4.3 , 74160 , 42368
opal , 15 , 0 , 0 , 1 , 93.8% , 161.03 , 93084 , 61380
rascal-compil , 14 , 1 , 0 , 1 , 87.5% , 729.22 , 117720 , 82788
rascal-interp , 16 , 0 , 0 , 0 , 100% , 200.03 , 62784 , 28468
scala , 15 , 1 , 0 , 0 , 93.8% , 165.26 , 121644 , 86972
sml-mlton , 16 , 0 , 0 , 0 , 100% , 104.1 , 97008 , 65284
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.51 , 62784 , 28168
stratego , 16 , 0 , 0 , 0 , 100% , 225.72 , 62784 , 27480
tom , 15 , 1 , 0 , 0 , 93.8% , 139.79 , 121644 , 86840
