tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 226496 , 162472
haskell , 16 , 0 , 0 , 0 , 100% , 28.1 , 226496 , 162476
lnt , 16 , 0 , 0 , 0 , 100% , 24.3 , 161216 , 29464
lotos , 16 , 0 , 0 , 0 , 100% , 12.8 , 161216 , 29096
maude , 16 , 0 , 0 , 0 , 100% , 6.1 , 83268 , 6528
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 16.51 , 154544 , 82096
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 177.87 , 238488 , 106844
ocaml , 16 , 0 , 0 , 0 , 100% , 4.3 , 160540 , 88160
opal , 15 , 0 , 0 , 1 , 93.8% , 158.24 , 222416 , 154152
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 515.27 , 302280 , 170408
rascal-interp , 16 , 0 , 0 , 0 , 100% , 144.76 , 161216 , 29152
scala , 15 , 1 , 0 , 0 , 93.8% , 137.74 , 312356 , 180580
sml-mlton , 16 , 0 , 0 , 0 , 100% , 157.58 , 232492 , 164308
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.1 , 161216 , 29020
stratego , 16 , 0 , 0 , 0 , 100% , 181.93 , 161216 , 29592
tom , 15 , 1 , 0 , 0 , 93.8% , 120.83 , 312356 , 180256
