tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59680
haskell , 15 , 0 , 0 , 0 , 100% , 19.4 , 91064 , 61376
lnt , 15 , 0 , 0 , 0 , 100% , 19.11 , 58860 , 26184
lotos , 15 , 0 , 0 , 0 , 100% , 9.9 , 58860 , 25836
maude , 15 , 0 , 0 , 0 , 100% , 6 , 45532 , 14356
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.84 , 62504 , 32832
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.26 , 89160 , 56964
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5.1 , 89160 , 59656
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.1 , 62504 , 32820
opal , 15 , 0 , 0 , 0 , 100% , 18.7 , 89160 , 59660
rascal-compil , 15 , 0 , 0 , 0 , 100% , 401.88 , 117720 , 84932
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.85 , 58860 , 26080
scala , 15 , 0 , 0 , 0 , 100% , 111.19 , 117720 , 85000
sml-mlton , 15 , 0 , 0 , 0 , 100% , 95.02 , 89160 , 59660
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.3 , 58860 , 26400
stratego , 15 , 0 , 0 , 0 , 100% , 139.08 , 58860 , 26008
tom-a , 15 , 0 , 0 , 0 , 100% , 93.16 , 117720 , 84816
tom-b , 15 , 0 , 0 , 0 , 100% , 75.25 , 117720 , 85416
