tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 8.2 , 212340 , 152308
haskell , 15 , 0 , 0 , 0 , 100% , 31.21 , 212340 , 152316
lnt , 15 , 0 , 0 , 0 , 100% , 22.2 , 151140 , 26872
lotos , 15 , 0 , 0 , 0 , 100% , 10.8 , 151140 , 26840
maude , 15 , 0 , 0 , 0 , 100% , 5.4 , 79188 , 6424
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.71 , 140388 , 71764
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 165.87 , 212340 , 87680
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5 , 212340 , 152308
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.5 , 134392 , 70096
opal , 15 , 0 , 0 , 0 , 100% , 16.7 , 212340 , 152304
rascal-compil , 15 , 0 , 0 , 0 , 100% , 382.51 , 302280 , 178420
rascal-interp , 15 , 0 , 0 , 0 , 100% , 95.58 , 151140 , 27020
scala , 15 , 0 , 0 , 0 , 100% , 124.54 , 302280 , 177764
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.36 , 212340 , 152300
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 26632
stratego , 15 , 0 , 0 , 0 , 100% , 149.47 , 151140 , 26816
tom-a , 15 , 0 , 0 , 0 , 100% , 108.32 , 302280 , 177644
tom-b , 15 , 0 , 0 , 0 , 100% , 83.3 , 302280 , 177972
