tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 15 , 0 , 0 , 0 , 100% , 30.42 , 151140 , 28004
cafeobj-b , 15 , 0 , 0 , 0 , 100% , 5.7 , 151140 , 27684
clean , 15 , 0 , 0 , 0 , 100% , 5.8 , 212340 , 152376
clean-hack , 15 , 0 , 0 , 0 , 100% , 7.5 , 212340 , 152368
haskell , 15 , 0 , 0 , 0 , 100% , 33.21 , 212340 , 152384
lnt , 15 , 0 , 0 , 0 , 100% , 22.3 , 151140 , 27824
lotos , 15 , 0 , 0 , 0 , 100% , 10.8 , 151140 , 28096
maude , 15 , 0 , 0 , 0 , 100% , 5.6 , 79188 , 6468
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 13.01 , 146384 , 78020
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 170.46 , 212340 , 89056
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5.1 , 212340 , 152388
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 134392 , 70252
opal , 15 , 0 , 0 , 0 , 100% , 17.9 , 212340 , 152372
rascal-compil , 15 , 0 , 0 , 0 , 100% , 403.92 , 302280 , 179060
rascal-interp , 15 , 0 , 0 , 0 , 100% , 99.69 , 151140 , 27800
scala , 15 , 0 , 0 , 0 , 100% , 133.64 , 302280 , 178476
sml-mlton , 15 , 0 , 0 , 0 , 100% , 153.99 , 212340 , 152368
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.5 , 151140 , 27576
stratego , 15 , 0 , 0 , 0 , 100% , 156.18 , 151140 , 27900
tom-a , 15 , 0 , 0 , 0 , 100% , 113.92 , 302280 , 178496
tom-b , 15 , 0 , 0 , 0 , 100% , 85.98 , 302280 , 179084
