tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 15 , 0 , 0 , 0 , 100% , 20.6 , 91064 , 61376
lnt , 15 , 0 , 0 , 0 , 100% , 20.1 , 58860 , 26120
lotos , 15 , 0 , 0 , 0 , 100% , 10.6 , 58860 , 26540
maude , 15 , 0 , 0 , 0 , 100% , 5.8 , 36012 , 5796
mcrl2-innermost , 15 , 0 , 0 , 0 , 100% , 19.61 , 68216 , 38524
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 171.92 , 94872 , 62288
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 70120 , 40152
opal , 13 , 1 , 0 , 1 , 86.7% , 159.35 , 85120 , 55296
rascal , 14 , 1 , 0 , 0 , 93.3% , 180.5 , 58860 , 26436
scala , 13 , 2 , 0 , 0 , 86.7% , 150.15 , 113796 , 80748
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.25 , 91064 , 61328
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.3 , 58860 , 25800
tom , 13 , 2 , 0 , 0 , 86.7% , 131.02 , 109872 , 77272
