tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 15 , 0 , 0 , 0 , 100% , 30.03 , 151140 , 27440
cafeobj-b , 15 , 0 , 0 , 0 , 100% , 5.7 , 151140 , 28048
clean , 15 , 0 , 0 , 0 , 100% , 5.4 , 212340 , 152364
clean-hack , 14 , 0 , 1 , 0 , 93.3% , 7.5 , 212340 , 152380
haskell , 15 , 0 , 0 , 0 , 100% , 31.21 , 218336 , 154032
lnt , 15 , 0 , 0 , 0 , 100% , 22.2 , 151140 , 27836
lotos , 15 , 0 , 0 , 0 , 100% , 10.9 , 151140 , 27340
maude , 15 , 0 , 0 , 0 , 100% , 1.7 , 67196 , 3072
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.71 , 140388 , 72020
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 166.17 , 212340 , 88256
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5 , 212340 , 152368
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 134392 , 70208
opal , 15 , 0 , 0 , 0 , 100% , 16.8 , 212340 , 152372
rascal-compil , 15 , 0 , 0 , 0 , 100% , 380.01 , 302280 , 178708
rascal-interp , 15 , 0 , 0 , 0 , 100% , 93.51 , 151140 , 27648
scala , 15 , 0 , 0 , 0 , 100% , 125.92 , 302280 , 178932
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.55 , 212340 , 152372
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 27812
stratego , 15 , 0 , 0 , 0 , 100% , 151.49 , 151140 , 27272
tom-a , 15 , 0 , 0 , 0 , 100% , 108.01 , 302280 , 178824
tom-b , 15 , 0 , 0 , 0 , 100% , 83.88 , 302280 , 179268
