tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 6.4 , 226496 , 162480
haskell , 16 , 0 , 0 , 0 , 100% , 40.55 , 226496 , 162464
lnt , 16 , 0 , 0 , 0 , 100% , 31.31 , 161216 , 29808
lotos , 16 , 0 , 0 , 0 , 100% , 12.7 , 161216 , 29220
maude , 16 , 0 , 0 , 0 , 100% , 6.5 , 95260 , 10248
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 17.61 , 232492 , 155684
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 185.91 , 238488 , 107060
ocaml , 16 , 0 , 0 , 0 , 100% , 4.7 , 166536 , 93992
opal , 15 , 0 , 0 , 1 , 93.8% , 160.22 , 222416 , 154248
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 534.08 , 302280 , 170324
rascal-interp , 16 , 0 , 0 , 0 , 100% , 156.27 , 161216 , 29552
scala , 15 , 1 , 0 , 0 , 93.8% , 145.23 , 312356 , 181124
sml-mlton , 16 , 0 , 0 , 0 , 100% , 168.3 , 226496 , 162464
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 9.8 , 161216 , 29320
stratego , 16 , 0 , 0 , 0 , 100% , 192.89 , 161216 , 29932
tom , 15 , 1 , 0 , 0 , 93.8% , 131.33 , 312356 , 180952
