tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 95104 , 63628
haskell , 16 , 0 , 0 , 0 , 100% , 22.9 , 97008 , 65372
lnt , 16 , 0 , 0 , 0 , 100% , 22.2 , 62784 , 28320
lotos , 16 , 0 , 0 , 0 , 100% , 12 , 62784 , 28772
maude , 16 , 0 , 0 , 0 , 100% , 6.7 , 49456 , 15688
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.91 , 74160 , 42236
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 177.97 , 102720 , 68156
ocaml , 16 , 0 , 0 , 0 , 100% , 4.8 , 77968 , 46176
opal , 15 , 0 , 0 , 1 , 93.8% , 162.72 , 93084 , 61372
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 525.6 , 117720 , 83016
rascal-interp , 16 , 0 , 0 , 0 , 100% , 144.62 , 62784 , 27852
scala , 15 , 1 , 0 , 0 , 93.8% , 122.19 , 121644 , 86764
sml-mlton , 16 , 0 , 0 , 0 , 100% , 103.93 , 97008 , 65192
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.4 , 62784 , 28184
stratego , 16 , 0 , 0 , 0 , 100% , 169.25 , 62784 , 28160
tom , 15 , 1 , 0 , 0 , 93.8% , 105.81 , 121644 , 86788
