tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 5.3 , 212340 , 152320
haskell , 15 , 0 , 0 , 0 , 100% , 25.91 , 212340 , 152308
lnt , 15 , 0 , 0 , 0 , 100% , 23.1 , 151140 , 27504
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 27264
maude , 15 , 0 , 0 , 0 , 100% , 5.81 , 79188 , 6424
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 15.51 , 146384 , 77960
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.36 , 224332 , 100856
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 152380 , 83900
opal , 14 , 0 , 0 , 1 , 93.3% , 156.76 , 208260 , 144040
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 486.73 , 282128 , 158232
rascal-interp , 15 , 0 , 0 , 0 , 100% , 145.25 , 151140 , 27284
scala , 14 , 1 , 0 , 0 , 93.3% , 122.51 , 292204 , 168556
sml-mlton , 15 , 0 , 0 , 0 , 100% , 147.95 , 218336 , 154112
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6 , 151140 , 27356
tom , 14 , 1 , 0 , 0 , 93.3% , 111.11 , 292204 , 168488
