tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 6.04 , 206344 , 146316
haskell , 15 , 0 , 0 , 0 , 100% , 33.41 , 212340 , 152312
lnt , 15 , 0 , 0 , 0 , 100% , 23.8 , 151140 , 27900
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 27332
maude , 15 , 0 , 0 , 0 , 100% , 6 , 85184 , 7868
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 15.41 , 158376 , 85544
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 167.16 , 224332 , 100536
ocaml , 15 , 0 , 0 , 0 , 100% , 4.3 , 158376 , 89924
opal , 14 , 0 , 0 , 1 , 93.3% , 156.56 , 208260 , 144048
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 486.16 , 282128 , 158460
rascal-interp , 15 , 0 , 0 , 0 , 100% , 145.56 , 151140 , 27684
scala , 14 , 1 , 0 , 0 , 93.3% , 122 , 292204 , 168312
sml-mlton , 15 , 0 , 0 , 0 , 100% , 147.55 , 218336 , 154124
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.9 , 151140 , 27292
tom , 14 , 1 , 0 , 0 , 93.3% , 112.7 , 292204 , 168136
