tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.7 , 91064 , 61380
haskell , 15 , 0 , 0 , 0 , 100% , 21.4 , 91064 , 61436
lnt , 15 , 0 , 0 , 0 , 100% , 20.11 , 58860 , 26516
lotos , 15 , 0 , 0 , 0 , 100% , 10.91 , 58860 , 26204
maude , 15 , 0 , 0 , 0 , 100% , 6.2 , 47436 , 16456
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 19.31 , 68216 , 38312
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 167.29 , 91064 , 58464
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 72024 , 41928
opal , 14 , 0 , 0 , 1 , 93.3% , 137.55 , 87140 , 57388
rascal-compil , 14 , 1 , 0 , 0 , 93.3% , 468.78 , 113796 , 80988
rascal-interp , 15 , 0 , 0 , 0 , 100% , 138.8 , 58860 , 26324
scala , 15 , 0 , 0 , 0 , 100% , 118.49 , 117720 , 85076
sml-mlton , 15 , 0 , 0 , 0 , 100% , 96.85 , 89160 , 59648
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.5 , 58860 , 25996
stratego , 15 , 0 , 0 , 0 , 100% , 153.99 , 58860 , 26456
tom-a , 15 , 0 , 0 , 0 , 100% , 97.97 , 117720 , 85072
tom-b , 15 , 0 , 0 , 0 , 100% , 80.17 , 117720 , 85564
