tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 15 , 0 , 0 , 0 , 100% , 23.07 , 91064 , 61344
lnt , 15 , 0 , 0 , 0 , 100% , 20.6 , 58860 , 26568
lotos , 15 , 0 , 0 , 0 , 100% , 11.2 , 58860 , 26124
maude , 15 , 0 , 0 , 0 , 100% , 5.8 , 36012 , 5836
mcrl2 , 15 , 0 , 0 , 0 , 100% , 19.52 , 70120 , 40380
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 171.56 , 96776 , 64108
ocaml , 15 , 0 , 0 , 0 , 100% , 4.2 , 72024 , 42200
opal , 13 , 1 , 0 , 1 , 86.7% , 160.62 , 85120 , 55208
rascal , 14 , 1 , 0 , 0 , 93.3% , 132.6 , 58860 , 26424
scala , 13 , 2 , 0 , 0 , 86.7% , 108.97 , 113796 , 81308
sml-mlton , 15 , 0 , 0 , 0 , 100% , 98.39 , 89160 , 59656
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.1 , 58860 , 26284
tom , 13 , 2 , 0 , 0 , 86.7% , 95.56 , 109872 , 77388
