tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.7 , 89160 , 59656
haskell , 15 , 0 , 0 , 0 , 100% , 21.4 , 91064 , 61340
lnt , 15 , 0 , 0 , 0 , 100% , 20.4 , 58860 , 25680
lotos , 15 , 0 , 0 , 0 , 100% , 11 , 58860 , 26160
maude , 15 , 0 , 0 , 0 , 100% , 7.1 , 53148 , 21220
mcrl2-innermost , 15 , 0 , 0 , 0 , 100% , 19.91 , 68216 , 38624
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 170.76 , 96776 , 63840
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 70120 , 40136
opal , 14 , 0 , 0 , 1 , 93.3% , 160.92 , 87140 , 57548
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 481.25 , 109872 , 77256
rascal-interp , 15 , 0 , 0 , 0 , 100% , 140.3 , 58860 , 26224
scala , 14 , 1 , 0 , 0 , 93.3% , 109.86 , 113796 , 81224
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.59 , 89160 , 59644
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.3 , 58860 , 26364
tom , 14 , 1 , 0 , 0 , 93.3% , 96.68 , 113796 , 81236
