tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 226496 , 162468
haskell , 16 , 0 , 0 , 0 , 100% , 27.9 , 226496 , 162476
lnt , 16 , 0 , 0 , 0 , 100% , 24.3 , 161216 , 29224
lotos , 16 , 0 , 0 , 0 , 100% , 12.8 , 161216 , 29208
maude , 16 , 0 , 0 , 0 , 100% , 5.9 , 83268 , 6428
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 15.51 , 166536 , 89984
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 179.27 , 238488 , 106444
ocaml , 16 , 0 , 0 , 0 , 100% , 4.3 , 160540 , 87980
opal , 15 , 0 , 0 , 1 , 93.8% , 158.33 , 222416 , 154088
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 511.73 , 302280 , 170028
rascal-interp , 16 , 0 , 0 , 0 , 100% , 150.36 , 161216 , 29352
scala , 15 , 1 , 0 , 0 , 93.8% , 135.11 , 312356 , 180032
sml-mlton , 16 , 0 , 0 , 0 , 100% , 158.56 , 226496 , 162456
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6 , 161216 , 29412
stratego , 16 , 0 , 0 , 0 , 100% , 185.25 , 161216 , 29444
tom , 15 , 1 , 0 , 0 , 93.8% , 122.72 , 312356 , 179996
