tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 97008 , 65360
haskell , 16 , 0 , 0 , 0 , 100% , 22.6 , 97008 , 65324
lnt , 16 , 0 , 0 , 0 , 100% , 22.3 , 62784 , 28292
lotos , 16 , 0 , 0 , 0 , 100% , 11.6 , 62784 , 27728
maude , 16 , 0 , 0 , 0 , 100% , 6.8 , 49456 , 16212
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.61 , 74160 , 42140
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 178.31 , 98912 , 63900
ocaml , 16 , 0 , 0 , 0 , 100% , 4.4 , 76064 , 44176
opal , 15 , 0 , 0 , 1 , 93.8% , 163 , 93084 , 61420
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 513.98 , 117720 , 83392
rascal-interp , 16 , 0 , 0 , 0 , 100% , 143.03 , 62784 , 28168
scala , 15 , 1 , 0 , 0 , 93.8% , 121.61 , 121644 , 86636
sml-mlton , 16 , 0 , 0 , 0 , 100% , 103.17 , 95104 , 63636
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.5 , 62784 , 28072
stratego , 16 , 0 , 0 , 0 , 100% , 167.47 , 62784 , 28780
tom , 15 , 1 , 0 , 0 , 93.8% , 104.5 , 121644 , 86968
