tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.1 , 97008 , 65304
haskell , 16 , 0 , 0 , 0 , 100% , 22.6 , 97008 , 65280
lnt , 16 , 0 , 0 , 0 , 100% , 21.51 , 62784 , 28164
lotos , 16 , 0 , 0 , 0 , 100% , 11.5 , 62784 , 27900
maude , 16 , 0 , 0 , 0 , 100% , 7.6 , 58976 , 24448
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.63 , 72256 , 40380
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 177.81 , 98912 , 64228
ocaml , 16 , 0 , 0 , 0 , 100% , 4.4 , 76064 , 44120
opal , 15 , 0 , 0 , 1 , 93.8% , 161.89 , 93084 , 61416
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 517.86 , 117720 , 83256
rascal-interp , 16 , 0 , 0 , 0 , 100% , 141.02 , 62784 , 28212
scala , 15 , 1 , 0 , 0 , 93.8% , 121.67 , 121644 , 86968
sml-mlton , 16 , 0 , 0 , 0 , 100% , 103.55 , 95104 , 63636
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.4 , 62784 , 28016
stratego , 16 , 0 , 0 , 0 , 100% , 166.46 , 62784 , 28092
tom-a , 15 , 1 , 0 , 0 , 93.8% , 100.89 , 121644 , 86964
tom-b , 15 , 1 , 0 , 0 , 93.8% , 80.03 , 127796 , 86956
