tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5 , 95104 , 63624
haskell , 16 , 0 , 0 , 0 , 100% , 22.7 , 97008 , 65244
lnt , 16 , 0 , 0 , 0 , 100% , 21.8 , 62784 , 28260
lotos , 16 , 0 , 0 , 0 , 100% , 12 , 62784 , 27792
maude , 16 , 0 , 0 , 0 , 100% , 6.2 , 43744 , 10992
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.81 , 76064 , 44216
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 177.97 , 100816 , 66112
ocaml , 16 , 0 , 0 , 0 , 100% , 4.5 , 77968 , 46068
opal , 15 , 0 , 0 , 1 , 93.8% , 163.12 , 93084 , 61376
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 513.31 , 117720 , 82844
rascal-interp , 16 , 0 , 0 , 0 , 100% , 144.29 , 62784 , 28108
scala , 15 , 1 , 0 , 0 , 93.8% , 121.06 , 121644 , 86436
sml-mlton , 16 , 0 , 0 , 0 , 100% , 104.03 , 95104 , 63632
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.5 , 62784 , 27548
stratego , 16 , 0 , 0 , 0 , 100% , 168.64 , 62784 , 28280
tom , 15 , 1 , 0 , 0 , 93.8% , 105.97 , 121644 , 87256
