tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 7.5 , 212340 , 152312
haskell , 15 , 0 , 0 , 0 , 100% , 31.31 , 218336 , 153964
lnt , 15 , 0 , 0 , 0 , 100% , 22.2 , 151140 , 27232
lotos , 15 , 0 , 0 , 0 , 100% , 10.7 , 151140 , 27648
maude , 15 , 0 , 0 , 0 , 100% , 5.5 , 79188 , 6412
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.61 , 140388 , 71956
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 166.37 , 212340 , 88464
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.5 , 212340 , 152308
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.3 , 140388 , 76204
opal , 15 , 0 , 0 , 0 , 100% , 16.9 , 212340 , 152316
rascal-compil , 15 , 0 , 0 , 0 , 100% , 386.93 , 302280 , 178228
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.58 , 151140 , 27636
scala , 15 , 0 , 0 , 0 , 100% , 127.24 , 302280 , 178972
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.35 , 212340 , 152308
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 27844
stratego , 15 , 0 , 0 , 0 , 100% , 151.82 , 151140 , 27592
tom-a , 15 , 0 , 0 , 0 , 100% , 110.18 , 302280 , 178708
tom-b , 15 , 0 , 0 , 0 , 100% , 83.48 , 302280 , 178664
