tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 5.4 , 212340 , 152320
haskell , 15 , 0 , 0 , 0 , 100% , 34.11 , 212340 , 152316
lnt , 15 , 0 , 0 , 0 , 100% , 22.8 , 151140 , 27616
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 27592
maude , 15 , 0 , 0 , 0 , 100% , 6.11 , 85184 , 8328
mcrl2-innermost , 15 , 0 , 0 , 0 , 100% , 15.81 , 158376 , 89916
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 171.96 , 230328 , 106896
ocaml , 15 , 0 , 0 , 0 , 100% , 4.3 , 158376 , 89904
opal , 14 , 0 , 0 , 1 , 93.3% , 157.31 , 208260 , 144088
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 485.18 , 282128 , 158668
rascal-interp , 15 , 0 , 0 , 0 , 100% , 145.74 , 151140 , 27596
scala , 14 , 1 , 0 , 0 , 93.3% , 126.34 , 292204 , 168212
sml-mlton , 15 , 0 , 0 , 0 , 100% , 148.66 , 212340 , 152324
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.4 , 151140 , 27944
tom , 14 , 1 , 0 , 0 , 93.3% , 113.72 , 292204 , 169368
