tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 212340 , 152312
haskell , 15 , 0 , 0 , 0 , 100% , 31.34 , 212340 , 152312
lnt , 15 , 0 , 0 , 0 , 100% , 22.2 , 151140 , 27480
lotos , 15 , 0 , 0 , 0 , 100% , 10.7 , 151140 , 27728
maude , 15 , 0 , 0 , 0 , 100% , 5.4 , 79188 , 6480
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.01 , 140388 , 71824
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 167.16 , 212340 , 88668
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5.6 , 212340 , 152312
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.3 , 140388 , 76128
opal , 15 , 0 , 0 , 0 , 100% , 16.8 , 212340 , 152316
rascal-compil , 15 , 0 , 0 , 0 , 100% , 395.42 , 302280 , 178628
rascal-interp , 15 , 0 , 0 , 0 , 100% , 98.28 , 151140 , 27584
scala , 15 , 0 , 0 , 0 , 100% , 123.72 , 302280 , 178356
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.56 , 212340 , 152304
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 26616
stratego , 15 , 0 , 0 , 0 , 100% , 152.59 , 151140 , 27296
tom-a , 15 , 0 , 0 , 0 , 100% , 108.7 , 302280 , 178356
tom-b , 15 , 0 , 0 , 0 , 100% , 83.68 , 302280 , 178920
