tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 8.1 , 212340 , 152320
haskell , 15 , 0 , 0 , 0 , 100% , 31.21 , 212340 , 152312
lnt , 15 , 0 , 0 , 0 , 100% , 22.2 , 151140 , 27208
lotos , 15 , 0 , 0 , 0 , 100% , 10.7 , 151140 , 27420
maude , 15 , 0 , 0 , 0 , 100% , 5.3 , 73192 , 4828
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.51 , 140388 , 71856
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 166.28 , 212340 , 88596
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.8 , 212340 , 152316
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.5 , 134392 , 70168
opal , 15 , 0 , 0 , 0 , 100% , 16.9 , 212340 , 152316
rascal-compil , 15 , 0 , 0 , 0 , 100% , 385.19 , 302280 , 178660
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.29 , 151140 , 27500
scala , 15 , 0 , 0 , 0 , 100% , 126.14 , 302280 , 178340
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.85 , 212340 , 152316
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 27368
stratego , 15 , 0 , 0 , 0 , 100% , 150.87 , 151140 , 27104
tom-a , 15 , 0 , 0 , 0 , 100% , 108.31 , 302280 , 178944
tom-b , 15 , 0 , 0 , 0 , 100% , 83.88 , 302280 , 178576
