tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.9 , 89160 , 59652
haskell , 15 , 0 , 0 , 0 , 100% , 21.3 , 91064 , 61348
lnt , 15 , 0 , 0 , 0 , 100% , 20.6 , 58860 , 26572
lotos , 15 , 0 , 0 , 0 , 100% , 10.9 , 58860 , 26316
maude , 15 , 0 , 0 , 0 , 100% , 6.6 , 47436 , 16284
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 19.61 , 68216 , 38440
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 165.56 , 94872 , 61952
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 70120 , 40144
opal , 14 , 0 , 0 , 1 , 93.3% , 161.12 , 87140 , 57396
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 481.98 , 109872 , 77268
rascal-interp , 15 , 0 , 0 , 0 , 100% , 139.99 , 58860 , 26444
scala , 14 , 1 , 0 , 0 , 93.3% , 110.36 , 113796 , 81460
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.42 , 89160 , 59668
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.2 , 58860 , 26100
tom , 14 , 1 , 0 , 0 , 93.3% , 97.04 , 113796 , 81184
