tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59660
haskell , 15 , 0 , 0 , 0 , 100% , 19.63 , 91064 , 61424
lnt , 15 , 0 , 0 , 0 , 100% , 18.8 , 58860 , 26060
lotos , 15 , 0 , 0 , 0 , 100% , 9.6 , 58860 , 26284
maude , 15 , 0 , 0 , 0 , 100% , 5.2 , 37916 , 7548
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.51 , 62504 , 32816
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.9 , 89160 , 56576
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.9 , 89160 , 59648
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 68216 , 38420
opal , 15 , 0 , 0 , 0 , 100% , 19 , 89160 , 59652
rascal-compil , 15 , 0 , 0 , 0 , 100% , 402.44 , 117720 , 85216
rascal-interp , 15 , 0 , 0 , 0 , 100% , 96.77 , 58860 , 26412
scala , 15 , 0 , 0 , 0 , 100% , 111.89 , 117720 , 84904
sml-mlton , 15 , 0 , 0 , 0 , 100% , 95.62 , 89160 , 59644
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.3 , 58860 , 26048
stratego , 15 , 0 , 0 , 0 , 100% , 140.25 , 58860 , 26328
tom-a , 15 , 0 , 0 , 0 , 100% , 92.9 , 117720 , 85016
tom-b , 15 , 0 , 0 , 0 , 100% , 74.83 , 117720 , 84784
