tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
cafeobj-a , 15 , 0 , 0 , 0 , 100% , 27.84 , 151140 , 27620
cafeobj-b , 15 , 0 , 0 , 0 , 100% , 5.6 , 151140 , 28288
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 212340 , 152360
clean-hack , 15 , 0 , 0 , 0 , 100% , 7.5 , 212340 , 152364
haskell , 15 , 0 , 0 , 0 , 100% , 31.41 , 218336 , 154060
lnt , 15 , 0 , 0 , 0 , 100% , 22.52 , 151140 , 27888
lotos , 15 , 0 , 0 , 0 , 100% , 11 , 151140 , 28200
maude , 15 , 0 , 0 , 0 , 100% , 1.7 , 67196 , 3092
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 12.91 , 140388 , 72100
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 168.01 , 212340 , 89432
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 5 , 212340 , 152364
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 134392 , 70208
opal , 15 , 0 , 0 , 0 , 100% , 17 , 212340 , 152372
rascal-compil , 15 , 0 , 0 , 0 , 100% , 384.43 , 302280 , 178964
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.08 , 151140 , 28452
scala , 15 , 0 , 0 , 0 , 100% , 125.1 , 302280 , 178956
sml-mlton , 15 , 0 , 0 , 0 , 100% , 144.35 , 212340 , 152388
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.1 , 151140 , 28036
stratego , 15 , 0 , 0 , 0 , 100% , 149.38 , 151140 , 27720
tom-a , 15 , 0 , 0 , 0 , 100% , 108.88 , 302280 , 179444
tom-b , 15 , 0 , 0 , 0 , 100% , 83.25 , 302280 , 179388
