tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 5.4 , 212340 , 152308
haskell , 15 , 0 , 0 , 0 , 100% , 33.61 , 218336 , 154068
lnt , 15 , 0 , 0 , 0 , 100% , 23.7 , 151140 , 26688
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 26272
maude , 15 , 0 , 0 , 0 , 100% , 5.7 , 79188 , 6312
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 15.41 , 152380 , 79468
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 169.17 , 218336 , 94052
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 152380 , 83788
opal , 14 , 0 , 0 , 1 , 93.3% , 135.69 , 208260 , 143872
rascal-compil , 14 , 1 , 0 , 0 , 93.3% , 470.02 , 292204 , 167608
rascal-interp , 15 , 0 , 0 , 0 , 100% , 138.63 , 151140 , 26636
scala , 15 , 0 , 0 , 0 , 100% , 133.82 , 302280 , 177600
sml-mlton , 15 , 0 , 0 , 0 , 100% , 147.75 , 212340 , 152316
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.21 , 151140 , 26456
stratego , 15 , 0 , 0 , 0 , 100% , 165.6 , 151140 , 26500
tom-a , 15 , 0 , 0 , 0 , 100% , 114.82 , 302280 , 177740
tom-b , 15 , 0 , 0 , 0 , 100% , 89.37 , 302280 , 177624
