tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 14 , 0 , 0 , 0 , 100% , 20.65 , 85120 , 57456
lnt , 14 , 0 , 0 , 0 , 100% , 19.5 , 54936 , 24580
lotos , 14 , 0 , 0 , 0 , 100% , 10.8 , 54936 , 24340
maude , 14 , 0 , 0 , 0 , 100% , 5.8 , 35896 , 7420
mcrl2 , 14 , 0 , 0 , 0 , 100% , 19.51 , 64176 , 36432
mcrl2-jittyc , 14 , 0 , 0 , 0 , 100% , 161.76 , 90832 , 60396
ocaml , 14 , 0 , 0 , 0 , 100% , 3.9 , 66080 , 38284
opal , 13 , 0 , 0 , 1 , 92.9% , 160.42 , 81196 , 53488
rascal , 14 , 0 , 0 , 0 , 100% , 136.51 , 54936 , 24592
scala , 13 , 1 , 0 , 0 , 92.9% , 103.55 , 105948 , 75584
sml-mlton , 14 , 0 , 0 , 0 , 100% , 91.21 , 85120 , 57288
sml-smlnj , 14 , 0 , 0 , 0 , 100% , 5.9 , 54936 , 24556
tom , 13 , 1 , 0 , 0 , 92.9% , 89.54 , 105948 , 75664
