tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
haskell , 15 , 0 , 0 , 0 , 100% , 26 , 212340 , 152312
lnt , 15 , 0 , 0 , 0 , 100% , 24.87 , 151140 , 27140
lotos , 15 , 0 , 0 , 0 , 100% , 12 , 151140 , 27620
maude , 15 , 0 , 0 , 0 , 100% , 6.2 , 85184 , 8164
mcrl2 , 15 , 0 , 0 , 0 , 100% , 17.01 , 158376 , 89768
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 171.87 , 230328 , 106764
ocaml , 15 , 0 , 0 , 0 , 100% , 4.3 , 158376 , 89860
opal , 13 , 1 , 0 , 1 , 86.7% , 156.13 , 204180 , 135816
rascal , 14 , 1 , 0 , 0 , 93.3% , 134.72 , 151140 , 27272
scala , 13 , 2 , 0 , 0 , 86.7% , 121.59 , 292204 , 168480
sml-mlton , 15 , 0 , 0 , 0 , 100% , 147.36 , 212340 , 152300
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.9 , 151140 , 27768
tom , 13 , 2 , 0 , 0 , 86.7% , 109.9 , 282128 , 158832
