tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.2 , 97008 , 65240
haskell , 16 , 0 , 0 , 0 , 100% , 23.02 , 97008 , 65320
lnt , 16 , 0 , 0 , 0 , 100% , 22.32 , 62784 , 27812
lotos , 16 , 0 , 0 , 0 , 100% , 11.8 , 62784 , 28540
maude , 16 , 0 , 0 , 0 , 100% , 6.4 , 49456 , 16136
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 19.61 , 74160 , 41984
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 178.48 , 98912 , 64432
ocaml , 16 , 0 , 0 , 0 , 100% , 4.6 , 77968 , 46076
opal , 15 , 0 , 0 , 1 , 93.8% , 162.62 , 93084 , 61384
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 512.06 , 117720 , 82944
rascal-interp , 16 , 0 , 0 , 0 , 100% , 148.03 , 62784 , 27868
scala , 15 , 1 , 0 , 0 , 93.8% , 121.01 , 121644 , 86628
sml-mlton , 16 , 0 , 0 , 0 , 100% , 103.87 , 95104 , 63644
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.5 , 62784 , 27916
stratego , 16 , 0 , 0 , 0 , 100% , 168.16 , 62784 , 27716
tom , 15 , 1 , 0 , 0 , 93.8% , 106.03 , 121644 , 87312
