tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.7 , 89160 , 59656
haskell , 15 , 0 , 0 , 0 , 100% , 21.6 , 91064 , 61396
lnt , 15 , 0 , 0 , 0 , 100% , 20.3 , 58860 , 25876
lotos , 15 , 0 , 0 , 0 , 100% , 11.1 , 58860 , 26104
maude , 15 , 0 , 0 , 0 , 100% , 6.8 , 47436 , 15952
mcrl2-innermost , 15 , 0 , 0 , 0 , 100% , 19.91 , 70120 , 40456
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 171.56 , 96776 , 64268
ocaml , 15 , 0 , 0 , 0 , 100% , 4.3 , 72024 , 42124
opal , 14 , 0 , 0 , 1 , 93.3% , 161.02 , 87140 , 57412
rascal-compil , 13 , 2 , 0 , 0 , 86.7% , 483.83 , 109872 , 77508
rascal-interp , 15 , 0 , 0 , 0 , 100% , 137.5 , 58860 , 25940
scala , 14 , 1 , 0 , 0 , 93.3% , 110.28 , 113796 , 81376
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.87 , 89160 , 59656
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.1 , 58860 , 26308
tom , 14 , 1 , 0 , 0 , 93.3% , 97.48 , 113796 , 81424
