tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59720
clean-hack , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59720
haskell , 15 , 0 , 0 , 0 , 100% , 19.3 , 91064 , 61452
lnt , 15 , 0 , 0 , 0 , 100% , 19.82 , 58860 , 26448
lotos , 15 , 0 , 0 , 0 , 100% , 10.4 , 58860 , 26300
maude , 15 , 0 , 0 , 0 , 100% , 4.8 , 32204 , 2500
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.31 , 62504 , 32936
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.52 , 89160 , 57088
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.7 , 89160 , 59720
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.1 , 62504 , 32948
opal , 15 , 0 , 0 , 0 , 100% , 19.3 , 89160 , 59716
rascal-compil , 15 , 0 , 0 , 0 , 100% , 399.08 , 117720 , 85128
rascal-interp , 15 , 0 , 0 , 0 , 100% , 95.55 , 58860 , 26004
scala , 15 , 0 , 0 , 0 , 100% , 111.29 , 117720 , 85328
sml-mlton , 15 , 0 , 0 , 0 , 100% , 95.54 , 89160 , 59704
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.3 , 58860 , 26412
stratego , 15 , 0 , 0 , 0 , 100% , 137.83 , 58860 , 26296
tom-a , 15 , 0 , 0 , 0 , 100% , 93.97 , 117720 , 85516
tom-b , 15 , 0 , 0 , 0 , 100% , 75.06 , 117720 , 85340
