tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 16 , 0 , 0 , 0 , 100% , 5.8 , 226496 , 162480
haskell , 16 , 0 , 0 , 0 , 100% , 35.81 , 232492 , 164208
lnt , 16 , 0 , 0 , 0 , 100% , 25 , 161216 , 28216
lotos , 16 , 0 , 0 , 0 , 100% , 12.7 , 161216 , 28292
maude , 16 , 0 , 0 , 0 , 100% , 6.5 , 89264 , 7844
mcrl2-default , 16 , 0 , 0 , 0 , 100% , 16.01 , 166536 , 89596
mcrl2-jittyc , 16 , 0 , 0 , 0 , 100% , 179.29 , 238488 , 105356
ocaml , 16 , 0 , 0 , 0 , 100% , 4.5 , 166536 , 93996
opal , 15 , 0 , 0 , 1 , 93.8% , 157.84 , 222416 , 153996
rascal-compil , 14 , 2 , 0 , 0 , 87.5% , 505.73 , 302280 , 169108
rascal-interp , 16 , 0 , 0 , 0 , 100% , 143.84 , 161216 , 28268
scala , 15 , 1 , 0 , 0 , 93.8% , 137.6 , 312356 , 179408
sml-mlton , 16 , 0 , 0 , 0 , 100% , 157.99 , 232492 , 164136
sml-smlnj , 16 , 0 , 0 , 0 , 100% , 6.1 , 161216 , 28012
stratego , 16 , 0 , 0 , 0 , 100% , 183.65 , 161216 , 29448
tom , 15 , 1 , 0 , 0 , 93.8% , 118.98 , 312356 , 179720
