tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.5 , 89160 , 59656
haskell , 15 , 0 , 0 , 0 , 100% , 19.4 , 91064 , 61360
lnt , 15 , 0 , 0 , 0 , 100% , 19.1 , 58860 , 26224
lotos , 15 , 0 , 0 , 0 , 100% , 9.5 , 58860 , 26284
maude , 15 , 0 , 0 , 0 , 100% , 5.9 , 43628 , 12836
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.41 , 62504 , 32804
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.58 , 89160 , 55968
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 4.9 , 89160 , 59660
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.1 , 62504 , 32824
opal , 15 , 0 , 0 , 0 , 100% , 19.2 , 89160 , 59656
rascal-compil , 15 , 0 , 0 , 0 , 100% , 404.56 , 117720 , 85168
rascal-interp , 15 , 0 , 0 , 0 , 100% , 91.85 , 58860 , 26380
scala , 15 , 0 , 0 , 0 , 100% , 111.65 , 117720 , 84636
sml-mlton , 15 , 0 , 0 , 0 , 100% , 96.05 , 89160 , 59656
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.3 , 58860 , 26208
stratego , 15 , 0 , 0 , 0 , 100% , 140.71 , 58860 , 26016
tom-a , 15 , 0 , 0 , 0 , 100% , 92.68 , 117720 , 84780
tom-b , 15 , 0 , 0 , 0 , 100% , 74.75 , 117720 , 85104
