tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 0 , 15 , 0 , 0 , 0.0% , 1.5 , 30300 , 792
haskell , 15 , 0 , 0 , 0 , 100% , 21.4 , 91064 , 61428
lnt , 15 , 0 , 0 , 0 , 100% , 20.3 , 58860 , 26276
lotos , 15 , 0 , 0 , 0 , 100% , 10.8 , 58860 , 25916
maude , 15 , 0 , 0 , 0 , 100% , 6.8 , 47436 , 16124
mcrl2-innermost , 15 , 0 , 0 , 0 , 100% , 19.81 , 70120 , 40396
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 170.46 , 96776 , 64072
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 70120 , 40216
opal , 13 , 1 , 0 , 1 , 86.7% , 160.62 , 85120 , 55184
rascal-compil , 12 , 3 , 0 , 0 , 80.0% , 472.55 , 105948 , 73152
rascal-interp , 14 , 1 , 0 , 0 , 93.3% , 134.37 , 58860 , 26396
scala , 13 , 2 , 0 , 0 , 86.7% , 109.86 , 113796 , 81432
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.32 , 89160 , 59664
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 6.1 , 58860 , 26100
tom , 13 , 2 , 0 , 0 , 86.7% , 95.86 , 109872 , 77212
