tool , successes , failures , crashes , timeouts , score , CPU , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.7 , 91064 , 61340
haskell , 15 , 0 , 0 , 0 , 100% , 21 , 91064 , 61424
lnt , 15 , 0 , 0 , 0 , 100% , 19.9 , 58860 , 26692
lotos , 15 , 0 , 0 , 0 , 100% , 10.9 , 58860 , 25984
maude , 15 , 0 , 0 , 0 , 100% , 5.3 , 34108 , 4196
mcrl2-default , 15 , 0 , 0 , 0 , 100% , 19.11 , 66312 , 36356
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 167.9 , 91064 , 58248
ocaml , 15 , 0 , 0 , 0 , 100% , 4.1 , 72024 , 42124
opal , 14 , 0 , 0 , 1 , 93.3% , 137.67 , 87140 , 57392
rascal-compil , 14 , 1 , 0 , 0 , 93.3% , 466.91 , 113796 , 81288
rascal-interp , 15 , 0 , 0 , 0 , 100% , 132.3 , 58860 , 26576
scala , 15 , 0 , 0 , 0 , 100% , 118.59 , 117720 , 84992
sml-mlton , 15 , 0 , 0 , 0 , 100% , 97.11 , 89160 , 59648
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 5.5 , 58860 , 26708
stratego , 15 , 0 , 0 , 0 , 100% , 153.88 , 58860 , 26244
tom-a , 15 , 0 , 0 , 0 , 100% , 98.79 , 117720 , 85156
tom-b , 15 , 0 , 0 , 0 , 100% , 80.06 , 117720 , 85044
