tool , successes , failures , crashes , timeouts , score , TIM , MEM , RSS
clean , 15 , 0 , 0 , 0 , 100% , 4.6 , 89160 , 59660
haskell , 15 , 0 , 0 , 0 , 100% , 19.6 , 91064 , 61392
lnt , 15 , 0 , 0 , 0 , 100% , 18.6 , 58860 , 26232
lotos , 15 , 0 , 0 , 0 , 100% , 9.5 , 58860 , 26184
maude , 15 , 0 , 0 , 0 , 100% , 4.9 , 32204 , 2612
mcrl2-jitty , 15 , 0 , 0 , 0 , 100% , 15.51 , 62504 , 32744
mcrl2-jittyc , 15 , 0 , 0 , 0 , 100% , 164.69 , 89160 , 56248
ocaml-compil , 15 , 0 , 0 , 0 , 100% , 6.2 , 89160 , 59648
ocaml-interp , 15 , 0 , 0 , 0 , 100% , 3.4 , 68216 , 38520
opal , 15 , 0 , 0 , 0 , 100% , 18.9 , 89160 , 59660
rascal-compil , 15 , 0 , 0 , 0 , 100% , 399.36 , 117720 , 84880
rascal-interp , 15 , 0 , 0 , 0 , 100% , 94.17 , 58860 , 26276
scala , 15 , 0 , 0 , 0 , 100% , 113.06 , 117720 , 85292
sml-mlton , 15 , 0 , 0 , 0 , 100% , 95.87 , 89160 , 59656
sml-smlnj , 15 , 0 , 0 , 0 , 100% , 3.3 , 58860 , 25936
stratego , 15 , 0 , 0 , 0 , 100% , 139.29 , 58860 , 26216
tom-a , 15 , 0 , 0 , 0 , 100% , 93.41 , 117720 , 84908
tom-b , 15 , 0 , 0 , 0 , 100% , 75.49 , 117720 , 85292
