calls , comp , scala , 7.41 , 5136 , 2804
calls , exec , scala , 0.70 , 1310376 , 26152
check1 , comp , scala , 7.31 , 5136 , 2872
check1 , exec , scala , 0.70 , 1310512 , 26416
confluence , comp , scala , 6.41 , 5136 , 2912
confluence , exec , scala , 0.70 , 1310376 , 27760
empty , comp , scala , 7.41 , 5136 , 3044
empty , exec , scala , 0.70 , 1310376 , 27824
order , comp , scala , 6.11 , 5136 , 2980
order , exec , scala , 0.60 , 1310376 , 26280
searchinconditions , comp , scala , 6.61 , 5136 , 3044
searchinconditions , exec , scala , 0.70 , 1310200 , 25376
soundnessofparallelengines , comp , scala , 6.61 , 5136 , 2972
soundnessofparallelengines , exec , scala , 0.60 , 1310512 , 26360
tricky , comp , scala , 8.01 , 5136 , 3052
tricky , exec , scala , 0.70 , 1310376 , 27952
calls , comp-exec , sml-smlnj , 0.20 , 2272 , 624
calls , comp , sml-mlton , 6.30 , 2272 , 592
calls , exec , sml-mlton , 0.10 , 2020 , 52
check1 , comp-exec , sml-smlnj , 0.20 , 2272 , 572
check1 , comp , sml-mlton , 6.21 , 2272 , 576
check1 , exec , sml-mlton , 0.10 , 2020 , 56
confluence , comp-exec , sml-smlnj , 0.30 , 2272 , 616
confluence , comp , sml-mlton , 6.31 , 2272 , 600
confluence , exec , sml-mlton , 0.10 , 2020 , 52
empty , comp-exec , sml-smlnj , 0.20 , 2272 , 572
empty , comp , sml-mlton , 6.21 , 2272 , 600
empty , exec , sml-mlton , 0.10 , 2020 , 52
order , comp-exec , sml-smlnj , 0.20 , 2272 , 616
order , comp , sml-mlton , 6.21 , 2272 , 584
order , exec , sml-mlton , 0.10 , 2020 , 56
searchinconditions , comp-exec , sml-smlnj , 0.20 , 2272 , 604
searchinconditions , comp , sml-mlton , 6.32 , 2272 , 580
searchinconditions , exec , sml-mlton , 0.10 , 2020 , 52
soundnessofparallelengines , comp-exec , sml-smlnj , 0.20 , 2272 , 580
soundnessofparallelengines , comp , sml-mlton , 6.31 , 2272 , 600
soundnessofparallelengines , exec , sml-mlton , 0.10 , 2020 , 52
tricky , comp-exec , sml-smlnj , 0.20 , 2272 , 604
tricky , comp , sml-mlton , 6.31 , 2272 , 616
tricky , exec , sml-mlton , 0.10 , 2020 , 56
calls , comp , tom , 6.81 , 2272 , 600
calls , exec , tom , 0.40 , 1308968 , 16900
check1 , comp , tom , 4.11 , 2272 , 624
check1 , exec , tom , 0.30 , 1308968 , 17148
confluence , comp , tom , 4.50 , 2272 , 616
confluence , exec , tom , 0.30 , 1309252 , 18512
empty , comp , tom , 3.61 , 2272 , 592
empty , exec , tom , 0.30 , 1309252 , 18672
order , comp , tom , 5.01 , 2272 , 632
order , exec , tom , 0.30 , 1308968 , 16912
searchinconditions , comp , tom , 4.91 , 2272 , 616
searchinconditions , exec , tom , 0.40 , 1308968 , 16828
soundnessofparallelengines , comp , tom , 4.71 , 2272 , 616
soundnessofparallelengines , exec , tom , 0.40 , 1308968 , 16832
tricky , comp , tom , 6.01 , 2272 , 580
tricky , exec , tom , 0.40 , 1309252 , 18832
