calls , comp-exec , lnt , 1.40 , 2272 , 1268
check1 , comp-exec , lnt , 1.60 , 2272 , 1336
closure , comp-exec , lnt , 3.00 , 2272 , 1352
confluence , comp-exec , lnt , 1.61 , 2272 , 1348
empty , comp-exec , lnt , 1.50 , 2272 , 1416
garbagecollection , comp-exec , lnt , 1.60 , 2272 , 1240
natlist , comp-exec , lnt , 1.80 , 2272 , 1344
oddeven , comp-exec , lnt , 1.60 , 2272 , 1208
order , comp-exec , lnt , 1.50 , 2272 , 1268
revelt , comp-exec , lnt , 1.50 , 2272 , 1264
searchinconditions , comp-exec , lnt , 1.41 , 2272 , 1268
soundnessofparallelengines , comp-exec , lnt , 1.40 , 2272 , 1340
tautologyhard , comp-exec , lnt , 1.61 , 2272 , 1212
tricky , comp-exec , lnt , 1.51 , 2272 , 1268
calls , comp-exec , lotos , 0.80 , 2272 , 1404
check1 , comp-exec , lotos , 0.80 , 2272 , 1244
closure , comp-exec , lotos , 2.10 , 2272 , 1336
confluence , comp-exec , lotos , 0.80 , 2272 , 1412
empty , comp-exec , lotos , 0.90 , 2272 , 1408
garbagecollection , comp-exec , lotos , 0.91 , 2272 , 1252
natlist , comp-exec , lotos , 1.00 , 2272 , 1248
oddeven , comp-exec , lotos , 0.70 , 2272 , 1264
order , comp-exec , lotos , 0.80 , 2272 , 1208
revelt , comp-exec , lotos , 0.80 , 2272 , 1208
searchinconditions , comp-exec , lotos , 0.70 , 2272 , 1256
soundnessofparallelengines , comp-exec , lotos , 0.80 , 2272 , 1256
tautologyhard , comp-exec , lotos , 1.00 , 2272 , 1336
tricky , comp-exec , lotos , 0.80 , 2272 , 1232
calls , comp , haskell , 1.20 , 117600 , 75340
calls , exec , haskell , 0.10 , 2020 , 52
check1 , comp , haskell , 1.30 , 117600 , 74864
check1 , exec , haskell , 0.10 , 2020 , 52
closure , comp , haskell , 3.30 , 129888 , 89796
closure , exec , haskell , 0.10 , 2020 , 52
confluence , comp , haskell , 1.30 , 117600 , 76068
confluence , exec , haskell , 0.10 , 2020 , 56
empty , comp , haskell , 1.20 , 117600 , 75016
empty , exec , haskell , 0.10 , 2020 , 52
garbagecollection , comp , haskell , 1.20 , 117600 , 75056
garbagecollection , exec , haskell , 0.10 , 2020 , 56
natlist , comp , haskell , 1.90 , 119648 , 79556
natlist , exec , haskell , 0.10 , 2020 , 56
oddeven , comp , haskell , 1.40 , 117600 , 75124
oddeven , exec , haskell , 0.20 , 6500 , 3300
order , comp , haskell , 1.30 , 116576 , 75404
order , exec , haskell , 0.10 , 2020 , 56
revelt , comp , haskell , 1.40 , 117600 , 75016
revelt , exec , haskell , 0.10 , 2020 , 52
searchinconditions , comp , haskell , 1.30 , 117600 , 76064
searchinconditions , exec , haskell , 0.10 , 2020 , 56
soundnessofparallelengines , comp , haskell , 1.30 , 117600 , 75200
soundnessofparallelengines , exec , haskell , 0.10 , 2020 , 56
tautologyhard , comp , haskell , 1.20 , 115552 , 73492
tautologyhard , exec , haskell , 0.10 , 2020 , 52
tricky , comp , haskell , 1.30 , 117600 , 75148
tricky , exec , haskell , 0.10 , 2020 , 56
calls , comp-exec , maude , 0.10 , 2020 , 52
check1 , comp-exec , maude , 0.10 , 2020 , 52
closure , comp-exec , maude , 0.70 , 11356 , 9244
confluence , comp-exec , maude , 0.10 , 2020 , 52
empty , comp-exec , maude , 0.10 , 2020 , 52
garbagecollection , comp-exec , maude , 0.20 , 13812 , 11864
natlist , comp-exec , maude , 0.60 , 11380 , 9468
oddeven , comp-exec , maude , 3.51 , 10480 , 8756
order , comp-exec , maude , 0.10 , 2020 , 56
revelt , comp-exec , maude , 0.10 , 2020 , 52
searchinconditions , comp-exec , maude , 0.10 , 2020 , 52
soundnessofparallelengines , comp-exec , maude , 0.10 , 2020 , 56
tautologyhard , comp-exec , maude , 0.10 , 2020 , 52
tricky , comp-exec , maude , 0.10 , 2020 , 52
calls , comp , mcrl2 , 0.10 , 2020 , 52
calls , exec , mcrl2 , 0.10 , 2020 , 52
calls , comp , mcrl2-jittyc , 0.10 , 2020 , 56
calls , exec , mcrl2-jittyc , 10.91 , 14372 , 9940
check1 , comp , mcrl2 , 0.10 , 2020 , 56
check1 , exec , mcrl2 , 0.10 , 2020 , 56
check1 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
check1 , exec , mcrl2-jittyc , 9.51 , 14308 , 9904
closure , comp , mcrl2 , 3.90 , 22280 , 17984
closure , exec , mcrl2 , 0.30 , 14408 , 9336
closure , comp , mcrl2-jittyc , 3.81 , 22276 , 18272
closure , exec , mcrl2-jittyc , 13.51 , 14588 , 10560
confluence , comp , mcrl2 , 0.10 , 2020 , 52
confluence , exec , mcrl2 , 0.10 , 2020 , 56
confluence , comp , mcrl2-jittyc , 0.10 , 2020 , 52
confluence , exec , mcrl2-jittyc , 9.31 , 14312 , 9984
empty , comp , mcrl2 , 0.10 , 2020 , 52
empty , exec , mcrl2 , 0.10 , 2020 , 56
empty , comp , mcrl2-jittyc , 0.10 , 2020 , 56
empty , exec , mcrl2-jittyc , 9.21 , 14276 , 9760
garbagecollection , comp , mcrl2 , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2 , 0.10 , 2020 , 56
garbagecollection , comp , mcrl2-jittyc , 0.10 , 2020 , 52
